NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CNOT9	CCR4-NOT transcription complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:10445]	209	17.947725296020508	-0.0048780655	Yes	
row_1	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	358	14.770153045654297	-0.006023703	Yes	
row_2	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1 [Source:HGNC Symbol;Acc:HGNC:11153]	393	14.268540382385254	0.00589691	Yes	
row_3	LYAR	Ly1 antibody reactive [Source:HGNC Symbol;Acc:HGNC:26021]	458	13.326664924621582	0.013175962	Yes	
row_4	MLH1	mutL homolog 1 [Source:HGNC Symbol;Acc:HGNC:7127]	474	13.09019660949707	0.026047837	Yes	
row_5	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	479	13.062483787536621	0.04020367	Yes	
row_6	NOP56	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]	490	12.991008758544922	0.05356215	Yes	
row_7	ASF1A	anti-silencing function 1A histone chaperone [Source:HGNC Symbol;Acc:HGNC:20995]	660	11.48723316192627	0.04622817	Yes	
row_8	CKS1B	CDC28 protein kinase regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:19083]	690	11.31238842010498	0.05543471	Yes	
row_9	POLD1	"DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]"	720	11.004598617553711	0.06429643	Yes	
row_10	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein [Source:HGNC Symbol;Acc:HGNC:16918]	731	10.9522066116333	0.075370826	Yes	
row_11	NUP153	nucleoporin 153 [Source:HGNC Symbol;Acc:HGNC:8062]	736	10.932592391967773	0.08714052	Yes	
row_12	POLD3	"DNA polymerase delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]"	764	10.765835762023926	0.09597385	Yes	
row_13	CKS2	CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]	791	10.615633964538574	0.10475844	Yes	
row_14	DCLRE1B	DNA cross-link repair 1B [Source:HGNC Symbol;Acc:HGNC:17641]	795	10.587804794311523	0.116261415	Yes	
row_15	DEK	DEK proto-oncogene [Source:HGNC Symbol;Acc:HGNC:2768]	806	10.535436630249023	0.1268689	Yes	
row_16	PRPS1	phosphoribosyl pyrophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9462]	891	9.959628105163574	0.12798491	Yes	
row_17	MMS22L	"MMS22 like, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:21475]"	908	9.848052024841309	0.13710505	Yes	
row_18	PRIM2	DNA primase subunit 2 [Source:HGNC Symbol;Acc:HGNC:9370]	910	9.840888977050781	0.14801033	Yes	
row_19	CHEK2	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	974	9.545181274414062	0.15117249	Yes	
