NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BAG1	BAG cochaperone 1 [Source:HGNC Symbol;Acc:HGNC:937]	29	31.226295471191406	0.036008175	No	
row_1	HES1	hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]	372	14.583763122558594	0.013760544	No	
row_2	B4GALT1	"beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]"	636	11.730595588684082	-0.0026965116	No	
row_3	RHOBTB3	Rho related BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18757]	735	10.935517311096191	-5.340547E-4	No	
row_4	SLC24A3	solute carrier family 24 member 3 [Source:HGNC Symbol;Acc:HGNC:10977]	808	10.52552604675293	0.004202634	No	
row_5	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	851	10.221273422241211	0.012122902	No	
row_6	MICB	MHC class I polypeptide-related sequence B [Source:HGNC Symbol;Acc:HGNC:7091]	975	9.54182243347168	0.00955094	No	
row_7	NAV2	neuron navigator 2 [Source:HGNC Symbol;Acc:HGNC:15997]	1081	8.955302238464355	0.008378675	No	
row_8	NPY1R	neuropeptide Y receptor Y1 [Source:HGNC Symbol;Acc:HGNC:7956]	1254	8.194668769836426	-0.0017233216	No	
row_9	MYC	"MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]"	1349	7.848800182342529	-0.0029854756	No	
row_10	AR	androgen receptor [Source:HGNC Symbol;Acc:HGNC:644]	1428	7.590726375579834	-0.0026707796	No	
row_11	BCL11B	BAF chromatin remodeling complex subunit BCL11B [Source:HGNC Symbol;Acc:HGNC:13222]	1447	7.530013561248779	0.004703261	No	
row_12	TUBB2B	tubulin beta 2B class IIb [Source:HGNC Symbol;Acc:HGNC:30829]	1494	7.367204666137695	0.008541415	No	
row_13	OLFM1	olfactomedin 1 [Source:HGNC Symbol;Acc:HGNC:17187]	1495	7.358821868896484	0.017839959	No	
row_14	REEP1	receptor accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:25786]	1546	7.182693004608154	0.020969229	No	
row_15	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	1563	7.117953300476074	0.02806046	No	
row_16	MYBBP1A	MYB binding protein 1a [Source:HGNC Symbol;Acc:HGNC:7546]	1604	7.006425857543945	0.032156345	No	
row_17	RASGRP1	RAS guanyl releasing protein 1 [Source:HGNC Symbol;Acc:HGNC:9878]	1650	6.867262840270996	0.035481714	No	
row_18	RBBP8	"RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]"	1767	6.5458197593688965	0.029956568	No	
row_19	MED24	mediator complex subunit 24 [Source:HGNC Symbol;Acc:HGNC:22963]	1845	6.323542594909668	0.028788995	No	
row_20	CYP26B1	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]	1885	6.228675365447998	0.032021053	No	
row_21	IL17RB	interleukin 17 receptor B [Source:HGNC Symbol;Acc:HGNC:18015]	1950	6.081284046173096	0.032093514	No	
row_22	FRK	fyn related Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3955]	2429	5.079039096832275	-0.018339274	No	
row_23	RRP12	ribosomal RNA processing 12 homolog [Source:HGNC Symbol;Acc:HGNC:29100]	2454	5.020568370819092	-0.014849753	No	
row_24	ISG20L2	interferon stimulated exonuclease gene 20 like 2 [Source:HGNC Symbol;Acc:HGNC:25745]	2567	4.795269012451172	-0.02211114	No	
row_25	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	2848	4.304999351501465	-0.049972996	No	
row_26	FKBP5	FKBP prolyl isomerase 5 [Source:HGNC Symbol;Acc:HGNC:3721]	2853	4.294795513153076	-0.04502187	No	
row_27	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	2937	4.15567684173584	-0.049642343	No	
row_28	CISH	cytokine inducible SH2 containing protein [Source:HGNC Symbol;Acc:HGNC:1984]	2948	4.139690399169922	-0.04560081	No	
