NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	24	33.280120849609375	0.043156125	No	
row_1	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	34	30.096559524536133	0.083692044	No	
row_2	AMACR	alpha-methylacyl-CoA racemase [Source:HGNC Symbol;Acc:HGNC:451]	96	22.82085418701172	0.10799748	No	
row_3	PUS1	pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:15508]	161	19.691749572753906	0.12762123	No	
row_4	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	212	17.900060653686523	0.14643015	No	
row_5	PLPP1	phospholipid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:9228]	233	17.18560028076172	0.16781268	No	
row_6	ITGAE	integrin subunit alpha E [Source:HGNC Symbol;Acc:HGNC:6147]	857	10.186554908752441	0.107938804	No	
row_7	SCN9A	sodium voltage-gated channel alpha subunit 9 [Source:HGNC Symbol;Acc:HGNC:10597]	1151	8.647833824157715	0.085111655	No	
row_8	NOP2	NOP2 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:7867]	1154	8.63348388671875	0.09680882	No	
row_9	GUCY1B1	guanylate cyclase 1 soluble subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4687]	1317	7.950649261474609	0.08856872	No	
row_10	MYC	"MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]"	1349	7.848800182342529	0.09573863	No	
row_11	NCS1	neuronal calcium sensor 1 [Source:HGNC Symbol;Acc:HGNC:3953]	1451	7.515492916107178	0.0941382	No	
row_12	IL1RL1	interleukin 1 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:5998]	1518	7.268635272979736	0.09635131	No	
row_13	UMPS	uridine monophosphate synthetase [Source:HGNC Symbol;Acc:HGNC:12563]	1521	7.264364719390869	0.106155865	No	
