NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTGER4	prostaglandin E receptor 4 [Source:HGNC Symbol;Acc:HGNC:9596]	9	45.59578323364258	0.07184379	No	
row_1	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	169	19.395376205444336	0.08400829	No	
row_2	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	411	13.934680938720703	0.07771937	No	
row_3	RAF1	"Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]"	439	13.61773681640625	0.09629411	No	
row_4	DCBLD2	"discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]"	443	13.545595169067383	0.11759879	No	
row_5	F3	"coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]"	605	11.970349311828613	0.11765306	No	
row_6	CCL20	C-C motif chemokine ligand 20 [Source:HGNC Symbol;Acc:HGNC:10619]	638	11.710220336914062	0.13258478	No	
row_7	SLC31A2	solute carrier family 31 member 2 [Source:HGNC Symbol;Acc:HGNC:11017]	740	10.91409969329834	0.13806325	No	
row_8	ADRM1	ADRM1 26S proteasome ubiquitin receptor [Source:HGNC Symbol;Acc:HGNC:15759]	1114	8.790329933166504	0.107899085	No	
row_9	MYC	"MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]"	1349	7.848800182342529	0.0927083	No	
row_10	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	1431	7.582016944885254	0.09522962	No	
row_11	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	1534	7.208048343658447	0.09466331	No	
row_12	SLC31A1	solute carrier family 31 member 1 [Source:HGNC Symbol;Acc:HGNC:11016]	1599	7.024300575256348	0.09830821	No	
row_13	RASGRP1	RAS guanyl releasing protein 1 [Source:HGNC Symbol;Acc:HGNC:9878]	1650	6.867262840270996	0.10336175	No	
row_14	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	1866	6.269068717956543	0.08789739	No	
row_15	OPRK1	opioid receptor kappa 1 [Source:HGNC Symbol;Acc:HGNC:8154]	1906	6.189953804016113	0.093171954	No	
row_16	FZD5	frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043]	1913	6.171351909637451	0.102329046	No	
