NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MT2A	metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]	118	21.440793991088867	0.012409618	No	
row_1	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	207	18.065587997436523	0.024223994	No	
row_2	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	212	17.900060653686523	0.04582118	No	
row_3	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]	788	10.63190746307373	-0.009431365	No	
row_4	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	963	9.628266334533691	-0.018245844	No	
row_5	PSMB2	proteasome 20S subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9539]	964	9.621989250183105	-0.00638087	No	
row_6	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	1007	9.396777153015137	2.129333E-4	No	
row_7	DDX58	DExD/H-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:19102]	1132	8.72762393951416	-0.0037675423	No	
row_8	ISOC1	isochorismatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24254]	1160	8.601969718933105	0.003629554	No	
row_9	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	1391	7.704942226409912	-0.014214545	No	
row_10	TOR1B	torsin family 1 member B [Source:HGNC Symbol;Acc:HGNC:11995]	1420	7.615494728088379	-0.008152773	No	
row_11	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	1534	7.208048343658447	-0.012699242	No	
row_12	CMTR1	cap methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21077]	1721	6.663564682006836	-0.02659623	No	
row_13	PSMA2	proteasome 20S subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9531]	1859	6.285935401916504	-0.03513317	No	
row_14	OAS3	2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088]	1981	6.011806488037109	-0.042105872	No	
row_15	PSME2	proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]	2090	5.773484706878662	-0.047826856	No	
row_16	TRIM14	tripartite motif containing 14 [Source:HGNC Symbol;Acc:HGNC:16283]	2502	4.929701805114746	-0.090612575	No	
row_17	TDRD7	tudor domain containing 7 [Source:HGNC Symbol;Acc:HGNC:30831]	2720	4.528086185455322	-0.11082849	No	
row_18	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	2797	4.37766695022583	-0.11446613	No	
row_19	IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	2860	4.27945613861084	-0.116560385	No	
row_20	PSMA3	proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]	2877	4.248687267303467	-0.11322356	No	
row_21	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	2978	4.090847492218018	-0.12006828	No	
row_22	PTPN2	protein tyrosine phosphatase non-receptor type 2 [Source:HGNC Symbol;Acc:HGNC:9650]	2995	4.072423934936523	-0.116948806	No	
row_23	SRI	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	3085	3.92516827583313	-0.12269002	No	
row_24	BPGM	bisphosphoglycerate mutase [Source:HGNC Symbol;Acc:HGNC:1093]	3279	3.6458041667938232	-0.14114049	No	
row_25	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	3290	3.635467767715454	-0.13784647	No	
row_26	OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	3399	3.5015201568603516	-0.14636904	No	
row_27	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	3407	3.492493152618408	-0.14289466	No	
row_28	TRIM26	tripartite motif containing 26 [Source:HGNC Symbol;Acc:HGNC:12962]	3626	3.2200756072998047	-0.16484238	No	
row_29	SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:15925]	3717	3.089698553085327	-0.17173272	No	
row_30	NUP93	nucleoporin 93 [Source:HGNC Symbol;Acc:HGNC:28958]	3756	3.039663314819336	-0.17250237	No	
row_31	PNPT1	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]	3779	3.0122783184051514	-0.17140353	No	
row_32	NMI	N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]	3858	2.910010576248169	-0.17708872	No	
row_33	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	4070	2.6594579219818115	-0.19889551	No	
row_34	AUTS2	activator of transcription and developmental regulator AUTS2 [Source:HGNC Symbol;Acc:HGNC:14262]	4080	2.6530120372772217	-0.19669409	No	
row_35	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	4260	2.4442858695983887	-0.21496166	No	
row_36	SLC25A28	solute carrier family 25 member 28 [Source:HGNC Symbol;Acc:HGNC:23472]	4362	2.3457279205322266	-0.22407721	No	
row_37	ITGB7	integrin subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:6162]	4409	-2.3581361770629883	-0.22663839	No	
row_38	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	4728	-2.697816848754883	-0.26111934	No	
row_39	IFIT3	interferon induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:HGNC:5411]	4808	-2.781684637069702	-0.26708165	No	
row_40	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	4914	-2.899881601333618	-0.27598944	No	
row_41	IL18BP	interleukin 18 binding protein [Source:HGNC Symbol;Acc:HGNC:5987]	4915	-2.9013569355010986	-0.27241173	No	
row_42	UBE2L6	ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]	5068	-3.1133534908294678	-0.28664422	No	
row_43	IFI27	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	5082	-3.1284518241882324	-0.28433207	No	
row_44	TRAFD1	TRAF-type zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24808]	5179	-3.2529947757720947	-0.2917344	No	
row_45	CIITA	class II major histocompatibility complex transactivator [Source:HGNC Symbol;Acc:HGNC:7067]	5183	-3.257469892501831	-0.28807425	No	
row_46	RTP4	receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]	5198	-3.2698066234588623	-0.28570673	No	
row_47	SP110	SP110 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:5401]	5216	-3.2972848415374756	-0.28366196	No	
row_48	LY6E	lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]	5365	-3.5236778259277344	-0.29691288	No	
