NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RRP9	"ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16829]"	7	46.78889083862305	0.04202393	Yes	
row_1	GNL3	G protein nucleolar 3 [Source:HGNC Symbol;Acc:HGNC:29931]	147	20.16584587097168	0.04387602	Yes	
row_2	POLE3	"DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]"	153	20.002763748168945	0.061601672	Yes	
row_3	SET	SET nuclear proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10760]	164	19.594152450561523	0.07835515	Yes	
row_4	HDAC2	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	171	19.345407485961914	0.09535906	Yes	
row_5	EXOSC7	exosome component 7 [Source:HGNC Symbol;Acc:HGNC:28112]	208	18.00996208190918	0.1075524	Yes	
row_6	DDX18	DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741]	338	15.066067695617676	0.105928585	Yes	
row_7	HSPE1	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]	387	14.345418930053711	0.11333013	Yes	
row_8	SRM	spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296]	422	13.82364273071289	0.121927746	Yes	
row_9	PHB	prohibitin [Source:HGNC Symbol;Acc:HGNC:8912]	428	13.764913558959961	0.13393922	Yes	
row_10	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	479	13.062483787536621	0.13992639	Yes	
row_11	NOP56	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]	490	12.991008758544922	0.15063106	Yes	
row_12	HDDC2	HD domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21078]	506	12.891278266906738	0.1606465	Yes	
row_13	GLO1	glyoxalase I [Source:HGNC Symbol;Acc:HGNC:4323]	507	12.888951301574707	0.17245342	Yes	
row_14	NOP16	NOP16 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:26934]	510	12.88078784942627	0.18401371	Yes	
row_15	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide [Source:HGNC Symbol;Acc:HGNC:11158]	512	12.821060180664062	0.19563887	Yes	
row_16	RAD23B	"RAD23 homolog B, nucleotide excision repair protein [Source:HGNC Symbol;Acc:HGNC:9813]"	580	12.174919128417969	0.19878021	Yes	
row_17	SERBP1	SERPINE1 mRNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17860]	649	11.61180591583252	0.20128615	Yes	
row_18	TCP1	t-complex 1 [Source:HGNC Symbol;Acc:HGNC:11655]	659	11.494322776794434	0.21073936	Yes	
row_19	PSMC4	"proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]"	700	11.206785202026367	0.21622236	Yes	
row_20	ETF1	eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]	711	11.11998462677002	0.22521307	Yes	
row_21	CCT5	chaperonin containing TCP1 subunit 5 [Source:HGNC Symbol;Acc:HGNC:1618]	716	11.062494277954102	0.23486857	Yes	
row_22	NCBP1	nuclear cap binding protein subunit 1 [Source:HGNC Symbol;Acc:HGNC:7658]	719	11.0077486038208	0.24471307	Yes	
row_23	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein [Source:HGNC Symbol;Acc:HGNC:16918]	731	10.9522066116333	0.25343052	Yes	
row_24	EIF3B	eukaryotic translation initiation factor 3 subunit B [Source:HGNC Symbol;Acc:HGNC:3280]	732	10.9512939453125	0.26346245	Yes	
row_25	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3 [Source:HGNC Symbol;Acc:HGNC:24941]	737	10.923600196838379	0.2729907	Yes	
row_26	SSB	small RNA binding exonuclease protection factor La [Source:HGNC Symbol;Acc:HGNC:11316]	750	10.833037376403809	0.28147942	Yes	
row_27	C1QBP	complement C1q binding protein [Source:HGNC Symbol;Acc:HGNC:1243]	771	10.698071479797363	0.2888879	Yes	
row_28	EIF1AX	eukaryotic translation initiation factor 1A X-linked [Source:HGNC Symbol;Acc:HGNC:3250]	793	10.594941139221191	0.29608232	Yes	
row_29	DEK	DEK proto-oncogene [Source:HGNC Symbol;Acc:HGNC:2768]	806	10.535436630249023	0.30429843	Yes	
row_30	KPNB1	karyopherin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6400]	830	10.366661071777344	0.31104457	Yes	
row_31	SRPK1	SRSF protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:11305]	869	10.111815452575684	0.31576368	Yes	
row_32	FAM120A	family with sequence similarity 120A [Source:HGNC Symbol;Acc:HGNC:13247]	879	10.00151252746582	0.3238494	Yes	
row_33	PSMD1	"proteasome 26S subunit, non-ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9554]"	953	9.678352355957031	0.32398632	Yes	
row_34	PSMB2	proteasome 20S subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9539]	964	9.621989250183105	0.3316048	Yes	
