NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTSV	cathepsin V [Source:HGNC Symbol;Acc:HGNC:2538]	125	20.911640167236328	0.018639544	Yes	
row_1	POLE3	"DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]"	153	20.002763748168945	0.04745877	Yes	
row_2	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	212	17.900060653686523	0.069231145	Yes	
row_3	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	264	16.706607818603516	0.08992383	Yes	
row_4	IGFBP2	insulin like growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5471]	312	15.611644744873047	0.10933836	Yes	
row_5	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	391	14.28016185760498	0.122940764	Yes	
row_6	SIGMAR1	sigma non-opioid intracellular receptor 1 [Source:HGNC Symbol;Acc:HGNC:8157]	432	13.718621253967285	0.14015558	Yes	
row_7	PRPF3	pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:HGNC:17348]	454	13.383262634277344	0.15908922	Yes	
row_8	STK25	serine/threonine kinase 25 [Source:HGNC Symbol;Acc:HGNC:11404]	622	11.842832565307617	0.15822312	Yes	
row_9	AMD1	adenosylmethionine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:457]	643	11.675847053527832	0.17454189	Yes	
row_10	TARS1	threonyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:11572]	646	11.627137184143066	0.19291967	Yes	
row_11	CDC5L	cell division cycle 5 like [Source:HGNC Symbol;Acc:HGNC:1743]	689	11.319951057434082	0.20605674	Yes	
row_12	CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	739	10.921723365783691	0.21772519	Yes	
row_13	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	923	9.808446884155273	0.21170244	Yes	
row_14	HYAL2	hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]	1094	8.906526565551758	0.20577909	Yes	
row_15	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	1211	8.347111701965332	0.20537114	Yes	
row_16	HNRNPU	heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]	1215	8.34004020690918	0.2183675	Yes	
row_17	YKT6	YKT6 v-SNARE homolog [Source:HGNC Symbol;Acc:HGNC:16959]	1281	8.077605247497559	0.22358291	Yes	
row_18	ARRB2	arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712]	1373	7.773221015930176	0.22522421	Yes	
row_19	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	1380	7.759583950042725	0.2369351	Yes	
row_20	OLFM1	olfactomedin 1 [Source:HGNC Symbol;Acc:HGNC:17187]	1495	7.358821868896484	0.2351823	Yes	
row_21	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	1534	7.208048343658447	0.24221104	Yes	
row_22	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	1543	7.1911211013793945	0.25277436	Yes	
row_23	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	1563	7.117953300476074	0.26191458	Yes	
row_24	PDAP1	PDGFA associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14634]	1649	6.869843006134033	0.2628219	Yes	
row_25	RASGRP1	RAS guanyl releasing protein 1 [Source:HGNC Symbol;Acc:HGNC:9878]	1650	6.867262840270996	0.2738165	Yes	
row_26	GRPEL1	"GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]"	1663	6.850850582122803	0.28336015	Yes	
row_27	PPAT	phosphoribosyl pyrophosphate amidotransferase [Source:HGNC Symbol;Acc:HGNC:9238]	1787	6.482143878936768	0.2791353	Yes	
row_28	NAT1	N-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7645]	1819	6.395509243011475	0.2856942	Yes	
row_29	CNP	"2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]"	1853	6.295776844024658	0.291856	Yes	
row_30	CDC34	"cell division cycle 34, ubiqiutin conjugating enzyme [Source:HGNC Symbol;Acc:HGNC:1734]"	1896	6.2024383544921875	0.29679984	Yes	
row_31	TGFBRAP1	transforming growth factor beta receptor associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16836]	2044	5.8716864585876465	0.2887483	No	
row_32	BID	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	2257	5.400402069091797	0.27222523	No	
row_33	FGF18	fibroblast growth factor 18 [Source:HGNC Symbol;Acc:HGNC:3674]	2338	5.256663799285889	0.27114344	No	
row_34	TUBA4A	tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]	2383	5.153769493103027	0.2741709	No	
row_35	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	2430	5.074633598327637	0.27683425	No	
row_36	AP2S1	adaptor related protein complex 2 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:565]	2501	4.932549476623535	0.27642074	No	
row_37	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	2539	4.855907440185547	0.2798024	No	
row_38	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]	2822	4.34859561920166	0.2532848	No	
row_39	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	2848	4.304999351501465	0.25720912	No	
row_40	NUP58	nucleoporin 58 [Source:HGNC Symbol;Acc:HGNC:20261]	2885	4.231144905090332	0.25970924	No	
row_41	TYRO3	TYRO3 protein tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12446]	2892	4.220217704772949	0.26575354	No	
row_42	GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]	2987	4.0824055671691895	0.26112962	No	
row_43	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	3066	3.9551889896392822	0.25820157	No	
