NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPP40	190	18.801395416259766	0.055828992	Yes	
row_1	RIOK1	314	15.632038116455078	0.10405037	Yes	
row_2	RRP36	454	13.514904022216797	0.14405665	Yes	
row_3	BYSL	531	12.68995189666748	0.18443231	Yes	
row_4	WDR46	546	12.55974292755127	0.22755083	Yes	
row_5	PWP2	618	11.950238227844238	0.26560235	Yes	
row_6	UTP6	666	11.567962646484375	0.30355716	Yes	
row_7	DHX37	700	11.32596492767334	0.34138927	Yes	
row_8	SRFBP1	790	10.675105094909668	0.37406158	Yes	
row_9	UTP4	797	10.650480270385742	0.41092828	Yes	
row_10	WDR3	933	9.816120147705078	0.43823	Yes	
row_11	TSR1	970	9.677589416503906	0.47015366	Yes	
row_12	RRS1	972	9.65622615814209	0.5038077	Yes	
row_13	KRI1	1130	8.818371772766113	0.52649224	Yes	
row_14	NGDN	1151	8.73038101196289	0.5559347	Yes	
row_15	DDX52	1152	8.729260444641113	0.5864047	Yes	
row_16	DCAF13	1179	8.614832878112793	0.6151344	Yes	
row_17	UTP20	1183	8.596035957336426	0.64498466	Yes	
row_18	NOL11	1315	8.056560516357422	0.66635084	Yes	
row_19	HEATR1	1696	6.859149932861328	0.6706964	Yes	
row_20	NAT10	1816	6.532631874084473	0.6873621	Yes	
row_21	TSR2	1899	6.312520503997803	0.7051675	Yes	
row_22	NOP9	1915	6.277293682098389	0.7263052	Yes	
row_23	ABT1	2503	5.070522308349609	0.71373236	Yes	
row_24	NOP14	2564	4.956254482269287	0.72793823	Yes	
row_25	RIOK2	2901	4.365036964416504	0.725847	Yes	
row_26	BMS1	3560	3.4570116996765137	0.7039807	Yes	
row_27	UTP25	3569	3.442755699157715	0.71558523	Yes	
row_28	MRPS11	3589	3.417383909225464	0.72653395	Yes	
row_29	LSM6	3756	3.226206064224243	0.7292346	Yes	
row_30	GTF2H5	3798	3.1746740341186523	0.73820156	Yes	
row_31	ERCC2	4491	2.3944613933563232	0.7108729	No	
row_32	UTP3	5622	1.456752896308899	0.6576833	No	
row_33	RCL1	5785	1.3580623865127563	0.6540693	No	
row_34	SNU13	6619	0.8719644546508789	0.6141549	No	
row_35	UTP23	7582	0.4576294422149658	0.5661416	No	
row_36	HELB	8146	0.27613627910614014	0.5380714	No	
row_37	NOB1	8379	0.20792746543884277	0.5268329	No	
row_38	RPS19	8913	0.08436941355466843	0.4996404	No	
row_39	NOL10	9002	0.0629817470908165	0.49532205	No	
row_40	RPS21	9983	-0.12338072806596756	0.44521382	No	
row_41	RPS14	10422	-0.23136605322360992	0.4234336	No	
row_42	RPS28	11490	-0.5314079523086548	0.37026298	No	
row_43	RPS8	12004	-0.6949197053909302	0.34623307	No	
row_44	TBL3	12493	-0.8917707800865173	0.32417953	No	
row_45	RPS16	14255	-1.853892207145691	0.23983532	No	
row_46	TSR3	15325	-2.753310441970825	0.19431724	No	
row_47	RIOK3	16996	-5.082233428955078	0.12593465	No	
