NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPS2	68	25.19312858581543	0.053685606	Yes	
row_1	QRSL1	71	24.831113815307617	0.10995717	Yes	
row_2	TRUB2	194	18.694211959838867	0.14609984	Yes	
row_3	CDK5RAP1	287	16.16512680053711	0.17804967	Yes	
row_4	MRPL44	315	15.625751495361328	0.21213117	Yes	
row_5	RARS2	331	15.294290542602539	0.24607976	Yes	
row_6	FASTKD3	361	14.794821739196777	0.2781715	Yes	
row_7	LARS2	552	12.505501747131348	0.29675263	Yes	
row_8	MRPL58	619	11.947307586669922	0.3204691	Yes	
row_9	RPUSD3	769	10.80756664276123	0.33731234	Yes	
row_10	C1QBP	784	10.698071479797363	0.36087763	Yes	
row_11	MTRF1L	904	9.966209411621094	0.37735975	Yes	
row_12	MRPS15	1006	9.470292091369629	0.39364538	Yes	
row_13	TACO1	1070	9.091641426086426	0.41103345	Yes	
row_14	GATC	1081	9.025775909423828	0.4310086	Yes	
row_15	FASTKD2	1147	8.753581047058105	0.44752592	Yes	
row_16	COA3	1359	7.918544769287109	0.4546088	Yes	
row_17	MRPL2	1385	7.836472988128662	0.47110933	Yes	
row_18	AARS2	1389	7.811777591705322	0.48868975	Yes	
row_19	GFM1	1442	7.642008304595947	0.50335467	Yes	
row_20	UQCC2	1506	7.43585729598999	0.51698357	Yes	
row_21	MALSU1	1572	7.196901321411133	0.52996665	Yes	
row_22	HARS1	1625	7.058602809906006	0.54330707	Yes	
row_23	MRPL47	1673	6.905895233154297	0.5565589	Yes	
row_24	RCC1L	1695	6.859198093414307	0.57104725	Yes	
row_25	IARS2	1795	6.582568168640137	0.58088005	Yes	
row_26	WARS2	1797	6.576956272125244	0.5957603	Yes	
row_27	MRPS12	1866	6.4003214836120605	0.60678	Yes	
row_28	MRPL16	1880	6.360668182373047	0.62054956	Yes	
row_29	RMND1	1943	6.219579696655273	0.6314688	Yes	
row_30	MRPS17	2002	6.082538604736328	0.6422834	Yes	
row_31	MRPS27	2204	5.626453399658203	0.6446788	Yes	
row_32	MRPS18A	2230	5.584728240966797	0.65606713	Yes	
row_33	TSFM	2349	5.350894451141357	0.66212255	Yes	
row_34	MPV17L2	2423	5.21935510635376	0.6702029	Yes	
row_35	MRPS7	2505	5.064761638641357	0.67751926	Yes	
row_36	TRMT10C	3007	4.200049877166748	0.661186	Yes	
row_37	SARS2	3106	4.0656046867370605	0.6653561	Yes	
row_38	ALKBH1	3252	3.837244987487793	0.666581	Yes	
row_39	MRPS28	3337	3.7179877758026123	0.67068475	Yes	
row_40	RPUSD4	3350	3.6953041553497314	0.6784547	Yes	
row_41	MRPS24	3474	3.549283504486084	0.6801618	Yes	
row_42	MRPL57	3492	3.5344834327697754	0.68730843	Yes	
row_43	MRPS18B	3556	3.45893931388855	0.6919084	Yes	
row_44	MTG2	3572	3.439434289932251	0.69894254	Yes	
row_45	MRPS11	3589	3.417383909225464	0.705875	Yes	
row_46	MRPL23	3709	3.27066969871521	0.707156	Yes	
row_47	MRPL51	3749	3.23166823387146	0.71247923	Yes	
row_48	YARS2	3991	2.9510393142700195	0.7067352	No	
row_49	DARS2	4425	2.453183174133301	0.6899471	No	
row_50	GATB	4500	2.382382392883301	0.691535	No	
row_51	GARS1	4717	2.183293581008911	0.6853388	No	
row_52	MRPS14	4839	2.068389892578125	0.683787	No	
row_53	NDUFA7	5200	1.7780169248580933	0.66923535	No	
row_54	LRPPRC	5320	1.6768481731414795	0.6668979	No	
row_55	TUFM	5383	1.626328468322754	0.66738886	No	
row_56	MRPS16	5937	1.2733094692230225	0.64172596	No	
row_57	MTG1	6233	1.0959612131118774	0.62898207	No	
row_58	PTCD3	6263	1.0751209259033203	0.62992555	No	
row_59	GFM2	6273	1.070228934288025	0.6318906	No	
row_60	MRPS21	6437	0.9688104391098022	0.6256738	No	
row_61	MRPS34	6474	0.9543936848640442	0.62598175	No	
row_62	TARS2	9299	0.008754058741033077	0.48018655	No	
row_63	MTIF2	10518	-0.25342226028442383	0.41787142	No	
row_64	NOA1	12005	-0.695451021194458	0.34272188	No	
row_65	MTRF1	12092	-0.726381242275238	0.33993044	No	
row_66	MRPS6	12315	-0.812256932258606	0.33031175	No	
row_67	MTIF3	13549	-1.3867413997650146	0.26979512	No	
row_68	EARS2	14274	-1.8674566745758057	0.23665167	No	
row_69	NSUN3	14413	-1.9720431566238403	0.23400335	No	
row_70	NGRN	16537	-4.317249774932861	0.13418548	No	
row_71	SHMT2	17765	-6.850890636444092	0.08638407	No	
