NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL4I1	7663	0.4283348321914673	-0.3902584	No	
row_1	FOXP3	8794	0.10922480374574661	-0.4473361	No	
row_2	TBX21	10156	-0.16548223793506622	-0.5157353	No	
row_3	XCL1	10354	-0.21488641202449799	-0.5236855	No	
row_4	PPP3CB	10612	-0.2753821015357971	-0.5341076	No	
row_5	LILRB4	10626	-0.2780933976173401	-0.5319364	No	
row_6	NCKAP1L	11305	-0.4755503237247467	-0.56199473	No	
row_7	LILRB1	11540	-0.5477091073989868	-0.56845057	No	
row_8	KLRD1	11837	-0.6437791585922241	-0.577118	No	
row_9	SLAMF1	12308	-0.8086184859275818	-0.5930623	No	
row_10	PTPRC	12333	-0.8191492557525635	-0.58593065	No	
row_11	IL7R	12471	-0.8848623037338257	-0.5839471	No	
row_12	NOD2	13441	-1.3214476108551025	-0.6203507	No	
row_13	DUSP22	16010	-3.5572590827941895	-0.71626186	Yes	
row_14	HFE	16528	-4.30772066116333	-0.6988834	Yes	
row_15	AHR	16925	-4.931999206542969	-0.6688966	Yes	
row_16	SMAD7	17477	-6.117624759674072	-0.634781	Yes	
row_17	HLA-F	18704	-11.204244613647461	-0.58346725	Yes	
row_18	IL20RB	19056	-15.131720542907715	-0.44697315	Yes	
row_19	HLA-G	19305	-22.699440002441406	-0.22787066	Yes	
row_20	CEACAM1	19312	-22.97298240661621	0.006488708	Yes	
