NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	P3H2	2774	4.562146186828613	-0.1172296	No	
row_1	EGLN2	3626	3.3772261142730713	-0.14206445	No	
row_2	JMJD4	3847	3.1046054363250732	-0.13592769	No	
row_3	OGFOD1	4364	2.522857904434204	-0.14831279	No	
row_4	PRDX4	5156	1.817068338394165	-0.17883594	No	
row_5	CRTAP	6887	0.7418699264526367	-0.2637815	No	
row_6	JMJD6	7293	0.5658974647521973	-0.2814605	No	
row_7	P4HA3	8140	0.2781184911727905	-0.3234768	No	
row_8	VIPAS39	10230	-0.18214014172554016	-0.43006572	No	
row_9	P3H1	11044	-0.40040597319602966	-0.4696939	No	
row_10	JMJD7	11699	-0.5975143909454346	-0.5000221	No	
row_11	PLOD1	12020	-0.7022155523300171	-0.5125553	No	
row_12	PLOD3	12482	-0.8877967596054077	-0.5313078	No	
row_13	EGLN1	12533	-0.9079357385635376	-0.52877444	No	
row_14	VPS33B	14003	-1.6770950555801392	-0.5950121	No	
row_15	HIF1AN	14138	-1.771419882774353	-0.5919471	No	
row_16	P3H3	16299	-3.9378445148468018	-0.6810598	No	
row_17	P4HTM	16638	-4.454797267913818	-0.67340404	No	
row_18	P4HB	17903	-7.273252010345459	-0.69759107	Yes	
row_19	P4HA2	18382	-9.341687202453613	-0.6696483	Yes	
row_20	PLOD2	18474	-9.802310943603516	-0.61917746	Yes	
row_21	FKBP10	18846	-12.503962516784668	-0.5679282	Yes	
row_22	ERO1A	18891	-13.020744323730469	-0.49692568	Yes	
row_23	EGLN3	19235	-19.64269256591797	-0.4040636	Yes	
row_24	P3H4	19255	-20.339853286743164	-0.29058784	Yes	
row_25	P4HA1	19334	-24.713380813598633	-0.15554108	Yes	
row_26	ASPH	19374	-28.584306716918945	0.0032968437	Yes	
