NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DHX30	4	49.770015716552734	0.020476554	Yes	
row_1	RRP9	7	46.78889083862305	0.03981916	Yes	
row_2	RPL7L1	23	34.86954879760742	0.05352401	Yes	
row_3	LTV1	51	27.45690155029297	0.063516885	Yes	
row_4	MRPS2	68	25.19312858581543	0.07314716	Yes	
row_5	SHQ1	100	22.69339942932129	0.08094979	Yes	
row_6	EXOSC2	130	20.87666130065918	0.088102445	Yes	
row_7	NOL6	159	19.917617797851562	0.09490905	Yes	
row_8	RPF2	160	19.89490509033203	0.103178345	Yes	
row_9	DIMT1	171	19.459793090820312	0.11074103	Yes	
row_10	IMP4	181	19.175350189208984	0.118238054	Yes	
row_11	SURF6	186	19.02962303161621	0.1259374	Yes	
row_12	RPP40	190	18.801395416259766	0.13359445	Yes	
row_13	PPAN	192	18.732559204101562	0.14132804	Yes	
row_14	MRM3	199	18.519088745117188	0.14871003	Yes	
row_15	EXOSC7	212	18.00996208190918	0.15556493	Yes	
row_16	EXOSC3	236	17.219362258911133	0.1615129	Yes	
row_17	REXO4	261	16.76524543762207	0.16721952	Yes	
row_18	NIFK	306	15.787351608276367	0.17146817	Yes	
row_19	RIOK1	314	15.632038116455078	0.17759757	Yes	
row_20	MAK16	335	15.181209564208984	0.1828561	Yes	
row_21	DDX18	342	15.066067695617676	0.18880284	Yes	
row_22	DDX39B	369	14.695725440979004	0.19354412	Yes	
row_23	NOL8	394	14.312339782714844	0.1982312	Yes	
row_24	SNRPB	398	14.268540382385254	0.20400418	Yes	
row_25	DROSHA	406	14.19287395477295	0.2095354	Yes	
row_26	ERAL1	427	13.835038185119629	0.2142344	Yes	
row_27	TFB1M	437	13.750618934631348	0.21947664	Yes	
row_28	RRP36	454	13.514904022216797	0.22425288	Yes	
row_29	PRKRA	460	13.401363372802734	0.22956026	Yes	
row_30	PRPF3	461	13.383262634277344	0.235123	Yes	
row_31	LYAR	465	13.326664924621582	0.24050449	Yes	
row_32	SNRPC	491	13.03514289855957	0.24460812	Yes	
row_33	XRCC5	493	13.019993782043457	0.24996729	Yes	
row_34	POLR2D	495	13.009008407592773	0.2553219	Yes	
row_35	NOP56	498	12.991008758544922	0.26061645	Yes	
row_36	CUL4A	509	12.94517993927002	0.26547134	Yes	
row_37	DDX27	513	12.904398918151855	0.2706773	Yes	
row_38	NOP16	518	12.88078784942627	0.27582088	Yes	
row_39	SNRPD1	520	12.821060180664062	0.28109738	Yes	
row_40	ZNF622	527	12.744513511657715	0.28607917	Yes	
row_41	BYSL	531	12.68995189666748	0.291196	Yes	
row_42	BRIX1	540	12.6015043258667	0.2960132	Yes	
row_43	WDR46	546	12.55974292755127	0.30097076	Yes	
row_44	DDX54	555	12.463885307312012	0.30573076	Yes	
row_45	DDX56	561	12.41783332824707	0.31062934	Yes	
row_46	PWP2	618	11.950238227844238	0.31265217	Yes	
row_47	RRP1B	621	11.925981521606445	0.31750405	Yes	
row_48	MRPL36	631	11.849530220031738	0.3219561	Yes	
row_49	UTP6	666	11.567962646484375	0.3249767	Yes	
row_50	RRP1	675	11.459162712097168	0.3293191	Yes	
row_51	WDR12	679	11.430956840515137	0.33391264	Yes	
row_52	PAK1IP1	684	11.406064987182617	0.33844325	Yes	
row_53	GEMIN5	694	11.356664657592773	0.34269044	Yes	
row_54	DHX37	700	11.32596492767334	0.3471352	Yes	
row_55	EXOSC10	704	11.296615600585938	0.3516729	Yes	
row_56	YTHDF2	727	11.076409339904785	0.35512012	Yes	
row_57	NCBP1	732	11.0077486038208	0.35948518	Yes	
row_58	LUC7L2	754	10.900888442993164	0.362912	Yes	
row_59	RPUSD3	769	10.80756664276123	0.3666681	Yes	
row_60	C1QBP	784	10.698071479797363	0.37037867	Yes	
row_61	SRFBP1	790	10.675105094909668	0.37455288	Yes	
row_62	UTP4	797	10.650480270385742	0.37866428	Yes	
row_63	MDN1	799	10.636984825134277	0.38303298	Yes	
row_64	NOL9	835	10.440130233764648	0.38553223	Yes	
row_65	NOC4L	843	10.368557929992676	0.3894739	Yes	
row_66	MRTO4	846	10.351844787597656	0.39367145	Yes	
row_67	DDX49	848	10.340999603271484	0.39791712	Yes	
row_68	DKC1	855	10.295644760131836	0.40188104	Yes	
row_69	ESF1	871	10.202383041381836	0.40533298	Yes	
row_70	RPF1	877	10.169437408447266	0.40929702	Yes	
row_71	SRPK1	884	10.111815452575684	0.41318455	Yes	
row_72	MRM2	931	9.81766414642334	0.41484675	Yes	
row_73	UTP15	932	9.817214012145996	0.41892725	Yes	
row_74	WDR3	933	9.816120147705078	0.4230073	Yes	
row_75	GTPBP10	941	9.796592712402344	0.42671123	Yes	
row_76	SBDS	956	9.727835655212402	0.4300185	Yes	
row_77	RPL35	963	9.703286170959473	0.43373623	Yes	
row_78	TSR1	970	9.677589416503906	0.43744326	Yes	
row_79	RRS1	972	9.65622615814209	0.44140428	Yes	
row_80	DDX20	974	9.652311325073242	0.44536367	Yes	
row_81	SF3A3	1022	9.397732734680176	0.44679874	Yes	
row_82	NUP88	1025	9.396414756774902	0.4505992	Yes	
row_83	AATF	1037	9.318340301513672	0.45389402	Yes	
row_84	EXOSC8	1054	9.198126792907715	0.456876	Yes	
row_85	MRPL22	1055	9.190567016601562	0.46069604	Yes	
row_86	WDR18	1060	9.158032417297363	0.46429226	Yes	
row_87	HSP90AA1	1074	9.080790519714355	0.4673832	Yes	
row_88	URB2	1104	8.931548118591309	0.46957088	Yes	
row_89	NLE1	1112	8.915641784667969	0.47290862	Yes	
row_90	RAN	1121	8.872525215148926	0.47617587	Yes	
row_91	KRI1	1130	8.818371772766113	0.4794206	Yes	
row_92	NOP58	1131	8.813285827636719	0.48308384	Yes	
row_93	FASTKD2	1147	8.753581047058105	0.4859336	Yes	
row_94	NGDN	1151	8.73038101196289	0.48940465	Yes	
row_95	DDX52	1152	8.729260444641113	0.49303296	Yes	
row_96	POP7	1158	8.709611892700195	0.49639022	Yes	
row_97	NOP2	1176	8.63348388671875	0.49908492	Yes	
row_98	DCAF13	1179	8.614832878112793	0.5025605	Yes	
row_99	UTP20	1183	8.596035957336426	0.5059757	Yes	
row_100	GEMIN4	1185	8.587718963623047	0.50949264	Yes	
row_101	WDR75	1217	8.44034481048584	0.511371	Yes	
row_102	SF1	1240	8.33602237701416	0.51367915	Yes	
row_103	RRP7A	1254	8.282034873962402	0.5164381	Yes	
row_104	TFB2M	1301	8.100968360900879	0.51738673	Yes	
row_105	NOL11	1315	8.056560516357422	0.52005196	Yes	
row_106	TAF9	1319	8.042749404907227	0.52323717	Yes	
row_107	GTF3A	1329	8.01714038848877	0.52609634	Yes	
row_108	LSM2	1341	7.970962047576904	0.5288311	Yes	
row_109	NIP7	1403	7.770176410675049	0.5288536	Yes	
row_110	MTERF4	1407	7.761106491088867	0.5319218	Yes	
row_111	NOPCHAP1	1410	7.7479681968688965	0.5350371	Yes	
