NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DHX30	4	49.770015716552734	0.02609646	Yes	
row_1	RRP9	7	46.78889083862305	0.050721757	Yes	
row_2	RPL7L1	23	34.86954879760742	0.06836808	Yes	
row_3	LTV1	51	27.45690155029297	0.081469625	Yes	
row_4	MRPS2	68	25.19312858581543	0.09394933	Yes	
row_5	SHQ1	100	22.69339942932129	0.10432422	Yes	
row_6	EXOSC2	130	20.87666130065918	0.11384337	Yes	
row_7	NOL6	159	19.917617797851562	0.12290786	Yes	
row_8	RPF2	160	19.89490509033203	0.1334231	Yes	
row_9	DIMT1	171	19.459793090820312	0.14318597	Yes	
row_10	IMP4	181	19.175350189208984	0.15285073	Yes	
row_11	SURF6	186	19.02962303161621	0.16269967	Yes	
row_12	RPP40	190	18.801395416259766	0.17248024	Yes	
row_13	PPAN	192	18.732559204101562	0.1823289	Yes	
row_14	MRM3	199	18.519088745117188	0.19180351	Yes	
row_15	EXOSC7	212	18.00996208190918	0.2006956	Yes	
row_16	EXOSC3	236	17.219362258911133	0.20859517	Yes	
row_17	REXO4	261	16.76524543762207	0.21620248	Yes	
row_18	NIFK	306	15.787351608276367	0.2222481	Yes	
row_19	RIOK1	314	15.632038116455078	0.23014458	Yes	
row_20	MAK16	335	15.181209564208984	0.23712362	Yes	
row_21	DDX18	342	15.066067695617676	0.24477318	Yes	
row_22	NOL8	394	14.312339782714844	0.24967353	Yes	
row_23	DROSHA	406	14.19287395477295	0.25660038	Yes	
row_24	ERAL1	427	13.835038185119629	0.2628679	Yes	
row_25	TFB1M	437	13.750618934631348	0.26966548	Yes	
row_26	RRP36	454	13.514904022216797	0.27597278	Yes	
row_27	LYAR	465	13.326664924621582	0.28249404	Yes	
row_28	XRCC5	493	13.019993782043457	0.28796512	Yes	
row_29	NOP56	498	12.991008758544922	0.29462242	Yes	
row_30	CUL4A	509	12.94517993927002	0.30094203	Yes	
row_31	DDX27	513	12.904398918151855	0.3076058	Yes	
row_32	NOP16	518	12.88078784942627	0.31420484	Yes	
