NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLE1	57	26.587480545043945	0.057706814	Yes	
row_1	NOL6	159	19.917617797851562	0.097926006	Yes	
row_2	NUP214	189	18.846187591552734	0.1394197	Yes	
row_3	THOC7	217	17.899553298950195	0.17885725	Yes	
row_4	DDX39B	369	14.695725440979004	0.204582	Yes	
row_5	NUP188	371	14.599061965942383	0.2378334	Yes	
row_6	NSUN2	449	13.553933143615723	0.26477543	Yes	
row_7	POLR2D	495	13.009008407592773	0.29212713	Yes	
row_8	RBM15B	512	12.907604217529297	0.3207453	Yes	
row_9	XPO5	668	11.558906555175781	0.3391078	Yes	
row_10	SETD2	711	11.213089942932129	0.36251765	Yes	
row_11	NCBP1	732	11.0077486038208	0.3865953	Yes	
row_12	NUP153	749	10.932592391967773	0.41070813	Yes	
row_13	SSB	763	10.833037376403809	0.43474877	Yes	
row_14	NUP155	785	10.697113990783691	0.4580662	Yes	
row_15	CHTOP	905	9.960856437683105	0.4746426	Yes	
row_16	ALYREF	976	9.641216278076172	0.49302056	Yes	
row_17	NUP88	1025	9.396414756774902	0.51197636	Yes	
row_18	RAN	1121	8.872525215148926	0.52730966	Yes	
row_19	NCBP3	1156	8.714378356933594	0.5454327	Yes	
row_20	PHAX	1298	8.119706153869629	0.5566728	Yes	
row_21	IWS1	1320	8.04143238067627	0.5739322	Yes	
row_22	THOC3	1427	7.6947760581970215	0.58601063	Yes	
row_23	NUP85	1562	7.23109769821167	0.5955853	Yes	
row_24	DDX39A	1670	6.91370153427124	0.6058304	Yes	
row_25	NUP160	1874	6.381120204925537	0.6099024	Yes	
row_26	TSC1	1892	6.331379413604736	0.6234674	Yes	
row_27	SMG5	1970	6.1573405265808105	0.63353646	Yes	
row_28	DHX9	2069	5.9408860206604	0.6420272	Yes	
row_29	THOC1	2124	5.825292587280273	0.6525268	Yes	
row_30	NUP62	2414	5.234367370605469	0.64954114	Yes	
row_31	SRSF3	2473	5.119631290435791	0.65822434	Yes	
row_32	POM121C	2633	4.82623291015625	0.6610219	Yes	
row_33	AGFG1	2681	4.730955600738525	0.6693866	Yes	
row_34	RAE1	2832	4.4818902015686035	0.67186344	Yes	
row_35	DDX19A	2953	4.281641006469727	0.6754329	Yes	
row_36	NUP107	2982	4.2359819412231445	0.68364984	Yes	
row_37	HNRNPA2B1	3008	4.198873996734619	0.69193697	Yes	
row_38	ENY2	3239	3.8579838275909424	0.6888588	Yes	
row_39	NXT1	3521	3.50307035446167	0.6823369	Yes	
row_40	KHDRBS1	3582	3.4271597862243652	0.68705606	Yes	
row_41	CPSF6	3674	3.3183720111846924	0.6899259	Yes	
row_42	AKAP8L	3752	3.228844404220581	0.6933146	Yes	
row_43	SARNP	3864	3.0893309116363525	0.6946291	Yes	
row_44	NUP93	3904	3.039663314819336	0.6995488	Yes	
row_45	NRDE2	3915	3.020296096801758	0.7059221	Yes	
row_46	POM121	4180	2.7207655906677246	0.6984937	No	
row_47	PCID2	4254	2.6498022079467773	0.7007681	No	
row_48	NUP133	4367	2.519845724105835	0.7007318	No	
row_49	POM121B	4744	2.1572444438934326	0.6862334	No	
row_50	SUPT6H	4888	2.0229945182800293	0.6834626	No	
row_51	PABPN1	5252	1.7371997833251953	0.6686774	No	
row_52	TPR	5321	1.6759995222091675	0.6689886	No	
row_53	HHEX	5377	1.6317369937896729	0.66987026	No	
row_54	SMG6	5505	1.528652310371399	0.6667982	No	
row_55	MCM3AP	5611	1.4643422365188599	0.6647156	No	
row_56	THOC5	5913	1.2851245403289795	0.6521013	No	
row_57	UPF1	6251	1.0840201377868652	0.6371689	No	
row_58	YTHDC1	6462	0.9581589698791504	0.6285086	No	
row_59	HNRNPA1	6715	0.825053334236145	0.61737555	No	
row_60	NPM1	7150	0.6239083409309387	0.59638375	No	
row_61	NXF1	7441	0.5098057389259338	0.5825689	No	
row_62	SMG7	7576	0.45822250843048096	0.5766934	No	
row_63	POLDIP3	7858	0.36083245277404785	0.5630036	No	
row_64	NCBP2	8640	0.14875532686710358	0.5230062	No	
row_65	NXF3	8861	0.09432244300842285	0.5118589	No	
row_66	UPF2	9312	0.007371054496616125	0.4886343	No	
row_67	THOC6	10052	-0.13845950365066528	0.4507826	No	
row_68	NUP62CL	10684	-0.2934471368789673	0.4188624	No	
row_69	XPOT	11836	-0.643714964389801	0.3608845	No	
row_70	ZC3H11B	12118	-0.7346730828285217	0.34804744	No	
row_71	DDX19B	13487	-1.3490171432495117	0.28047094	No	
row_72	ZC3H11A	13803	-1.5365382432937622	0.26770708	No	
row_73	THOC2	14015	-1.6820998191833496	0.2606466	No	
row_74	SMG1	14389	-1.9531769752502441	0.2458376	No	
row_75	FYTTD1	14390	-1.95335054397583	0.25029355	No	
row_76	ALKBH5	16697	-4.546588897705078	0.14156584	No	
