NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DUS3L	47	27.89238166809082	0.037937745	Yes	
row_1	TRNT1	91	23.04150390625	0.06906148	Yes	
row_2	URM1	117	21.607650756835938	0.0990418	Yes	
row_3	PUS1	165	19.691749572753906	0.12511005	Yes	
row_4	ADAT2	180	19.221973419189453	0.15220687	Yes	
row_5	RPP40	190	18.801395416259766	0.17895381	Yes	
row_6	TRMT11	201	18.439863204956055	0.2051257	Yes	
row_7	C9orf64	269	16.635101318359375	0.22573434	Yes	
row_8	CDK5RAP1	287	16.16512680053711	0.2482514	Yes	
row_9	MTO1	347	15.027642250061035	0.2669476	Yes	
row_10	NSUN2	449	13.553933143615723	0.2813363	Yes	
row_11	TRMT61A	472	13.210466384887695	0.29931796	Yes	
row_12	DUS1L	545	12.563084602355957	0.31377393	Yes	
row_13	TYW1	567	12.403775215148926	0.33063975	Yes	
row_14	METTL6	584	12.24614429473877	0.3475363	Yes	
row_15	TRMO	628	11.869590759277344	0.36248997	Yes	
row_16	TSEN54	746	10.949394226074219	0.3722805	Yes	
row_17	SSB	763	10.833037376403809	0.38713172	Yes	
row_18	ELP1	771	10.805667877197266	0.40240932	Yes	
row_19	RPP21	827	10.494553565979004	0.41475147	Yes	
row_20	QTRT2	841	10.384297370910645	0.42910853	Yes	
row_21	ELAC2	849	10.332295417785645	0.44370094	Yes	
row_22	RPP14	949	9.761902809143066	0.45270464	Yes	
row_23	METTL8	1010	9.444098472595215	0.46326753	Yes	
row_24	POP7	1158	8.709611892700195	0.46826303	Yes	
row_25	PUS7	1188	8.566612243652344	0.47916082	Yes	
row_26	PTCD1	1231	8.370305061340332	0.48910144	Yes	
row_27	QTRT1	1277	8.197579383850098	0.4986367	Yes	
row_28	TSEN2	1308	8.066481590270996	0.50875884	Yes	
row_29	RPP25L	1334	8.00171184539795	0.51904607	Yes	
row_30	PUSL1	1375	7.866631031036377	0.5283612	Yes	
row_31	AARS2	1389	7.811777591705322	0.53899485	Yes	
row_32	METTL1	1400	7.7746686935424805	0.54973006	Yes	
row_33	THUMPD3	1527	7.357769012451172	0.5538562	Yes	
row_34	TP53RK	1653	6.96793270111084	0.55746984	Yes	
row_35	METTL2B	1672	6.906077861785889	0.5665337	Yes	
row_36	LAGE3	1780	6.614816188812256	0.57056814	Yes	
row_37	NAT10	1816	6.532631874084473	0.5782113	Yes	
row_38	ZBTB8OS	1821	6.51635217666626	0.5874359	Yes	
row_39	METTL2A	1837	6.471681594848633	0.59602636	Yes	
row_40	FARS2	1852	6.437006950378418	0.6046184	Yes	
row_41	PRORP	1896	6.325313568115234	0.6115473	Yes	
row_42	TPRKB	1993	6.1164398193359375	0.61542994	Yes	
row_43	TRMT5	2161	5.7360029220581055	0.615086	Yes	
row_44	POP5	2181	5.677518844604492	0.6223199	Yes	
row_45	TRIT1	2222	5.5940117835998535	0.62834567	Yes	
row_46	POP1	2290	5.454076766967773	0.632771	Yes	
row_47	TRMT6	2378	5.29531717300415	0.63593113	Yes	
row_48	DUS4L	2424	5.2160210609436035	0.64115095	Yes	
row_49	TRMT1	2428	5.212111473083496	0.64853954	Yes	
row_50	ELP3	2562	4.956482410430908	0.6488277	Yes	
row_51	TRMT10B	2626	4.847599506378174	0.65258235	Yes	
row_52	POP4	2650	4.792535305023193	0.6583282	Yes	
row_53	HSD17B10	2651	4.792122840881348	0.66526425	Yes	
row_54	FTSJ1	2773	4.563150405883789	0.66560435	Yes	
row_55	RPP30	2845	4.457026958465576	0.6683795	Yes	
row_56	DPH3	2859	4.435852527618408	0.6741268	Yes	
row_57	TRMT10C	3007	4.200049877166748	0.67259526	Yes	
row_58	ELP5	3059	4.135186195373535	0.67594004	Yes	
row_59	TARBP1	3144	3.9970412254333496	0.6773764	Yes	
row_60	TYW5	3196	3.9149789810180664	0.6804024	Yes	
row_61	TRMT10A	3202	3.907714605331421	0.68579954	Yes	
row_62	OSGEP	3233	3.8630170822143555	0.68983763	Yes	
row_63	ALKBH1	3252	3.837244987487793	0.6944597	Yes	
row_64	CLP1	3312	3.7521631717681885	0.6968359	Yes	
row_65	RPUSD4	3350	3.6953041553497314	0.7002688	Yes	
row_66	WDR4	3406	3.639099359512329	0.70268846	Yes	
row_67	DALRD3	3708	3.2710378170013428	0.6918392	Yes	
row_68	GRSF1	3725	3.2560126781463623	0.69572353	Yes	
row_69	LSM6	3756	3.226206064224243	0.6988399	Yes	
row_70	TYW3	3799	3.173293113708496	0.7012584	Yes	
row_71	TRMU	3918	3.0191116333007812	0.699519	Yes	
row_72	OSGEPL1	3923	3.0156967639923096	0.70367676	Yes	
row_73	LCMT2	4418	2.4644246101379395	0.6816678	No	
row_74	THADA	4769	2.1343953609466553	0.66663647	No	
row_75	TYW1B	5030	1.905752182006836	0.6559338	No	
row_76	ALKBH8	5074	1.874755859375	0.656421	No	
row_77	CDKAL1	5108	1.8536760807037354	0.6573955	No	
row_78	CTU1	5498	1.5310869216918945	0.63947177	No	
row_79	MOCS3	5549	1.5043659210205078	0.6390605	No	
row_80	TRUB1	5617	1.4603115320205688	0.6377053	No	
row_81	KARS1	5839	1.331199288368225	0.6281902	No	
row_82	ADAT1	5852	1.3195981979370117	0.62947893	No	
row_83	RTCB	5940	1.2719224691390991	0.6268156	No	
row_84	ELP4	6110	1.1690787076950073	0.61975807	No	
row_85	RTRAF	6314	1.0387768745422363	0.61075157	No	
row_86	RPP25	6407	0.9870592951774597	0.6074171	No	
row_87	ADAT3	6458	0.9600310325622559	0.606218	No	
row_88	KTI12	6504	0.9383537769317627	0.60524637	No	
row_89	THG1L	6632	0.8668198585510254	0.59992576	No	
row_90	TRMT12	6836	0.7679456472396851	0.59052736	No	
row_91	WDR6	7114	0.6400624513626099	0.57711256	No	
row_92	THUMPD2	7194	0.6014021635055542	0.57389295	No	
row_93	RPPH1	7214	0.5956281423568726	0.57377136	No	
row_94	TRMT44	7235	0.5884643793106079	0.5735876	No	
row_95	CTU2	7286	0.5698865652084351	0.57182384	No	
row_96	ELAC1	7535	0.4717337489128113	0.5596668	No	
row_97	RPP38	7696	0.41485628485679626	0.5519836	No	
row_98	TSEN15	8300	0.23086696863174438	0.52109843	No	
row_99	TSEN34	8452	0.19001339375972748	0.5135557	No	
row_100	GTPBP3	8658	0.14337117969989777	0.50314975	No	
row_101	DTWD2	8728	0.12479061633348465	0.499758	No	
row_102	TRMT9B	8890	0.0894092470407486	0.4915519	No	
row_103	DTWD1	8909	0.08545519411563873	0.4907437	No	
row_104	TRMT1L	8954	0.07237277925014496	0.48857042	No	
row_105	POLR3K	9269	0.015456278808414936	0.472336	No	
row_106	TRMT112	9473	-0.02118883840739727	0.4618567	No	
row_107	DUS2	9599	-0.042621318250894547	0.45544672	No	
row_108	MTFMT	10194	-0.17425519227981567	0.42494565	No	
row_109	SARS1	10327	-0.20781855285167694	0.41841236	No	
row_110	TRDMT1	10406	-0.22794027626514435	0.41470397	No	
row_111	TRMT2B	10572	-0.2661481499671936	0.40654662	No	
row_112	DDX1	11622	-0.5782518982887268	0.35307345	No	
row_113	TRMT13	11786	-0.6273340582847595	0.3455424	No	
row_114	ANKRD16	11891	-0.6593446731567383	0.34111232	No	
row_115	PUS3	12312	-0.8111177682876587	0.32054156	No	
row_116	PUS10	13014	-1.1064122915267944	0.28584993	No	
row_117	NSUN3	14413	-1.9720431566238403	0.21632525	No	
row_118	TRPT1	15101	-2.526113748550415	0.18441331	No	
row_119	TRMT61B	15448	-2.8820252418518066	0.17067118	No	
row_120	AARS1	15947	-3.4708621501922607	0.14991179	No	
row_121	BCDIN3D	16802	-4.719117641448975	0.11252784	No	
row_122	THUMPD1	18095	-8.058640480041504	0.057300802	No	
row_123	NSUN6	18189	-8.414566993713379	0.06466503	No	
