NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_T_CELL_MEDIATED_CYTOTOXICITY	GOBP_T_CELL_MEDIATED_CYTOTOXICITY	Details ...	42	-0.77819896	-2.171162	0.0	0.0010207577	0.001	1314	tags=29%, list=7%, signal=31%	
GOBP_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	GOBP_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	Details ...	33	-0.7844899	-2.1119714	0.0	0.0025574241	0.005	1314	tags=30%, list=7%, signal=32%	
GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	Details ...	25	-0.7907545	-1.9971138	0.0	0.03624308	0.104	1314	tags=32%, list=7%, signal=34%	
GOBP_PROTEIN_HYDROXYLATION	GOBP_PROTEIN_HYDROXYLATION	Details ...	27	-0.7385184	-1.9160706	0.0020449897	0.11922083	0.376	1537	tags=33%, list=8%, signal=36%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN	Details ...	19	-0.8067224	-1.9153208	0.0	0.09639735	0.381	2912	tags=58%, list=15%, signal=68%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	Details ...	29	-0.72318566	-1.8998828	0.0	0.10427419	0.468	2912	tags=48%, list=15%, signal=57%	
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	Details ...	31	-0.70971143	-1.8842056	0.0	0.11312754	0.555	2088	tags=26%, list=11%, signal=29%	
GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	Details ...	64	-0.6184414	-1.8719703	0.0	0.11772246	0.614	2384	tags=38%, list=12%, signal=43%	
GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	Details ...	21	-0.7525992	-1.8592077	0.0	0.12730062	0.677	3430	tags=38%, list=18%, signal=46%	
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS	GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS	Details ...	108	-0.5710692	-1.8527414	0.0	0.1264131	0.713	2384	tags=30%, list=12%, signal=34%	
GOBP_REGULATION_OF_VASCULOGENESIS	GOBP_REGULATION_OF_VASCULOGENESIS	Details ...	15	-0.819217	-1.8489245	0.0019120459	0.12110774	0.734	1878	tags=53%, list=10%, signal=59%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN	Details ...	23	-0.7336458	-1.8224493	0.0019607844	0.15753303	0.849	1725	tags=39%, list=9%, signal=43%	
GOBP_SYNCYTIUM_FORMATION	GOBP_SYNCYTIUM_FORMATION	Details ...	39	-0.65460014	-1.8204442	0.0	0.14922851	0.856	548	tags=18%, list=3%, signal=18%	
GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	Details ...	46	-0.6283727	-1.8059764	0.0	0.16579734	0.9	1314	tags=20%, list=7%, signal=21%	
GOBP_REGULATION_OF_CELL_KILLING	GOBP_REGULATION_OF_CELL_KILLING	Details ...	70	-0.57659864	-1.8025001	0.0	0.1608281	0.904	1314	tags=17%, list=7%, signal=18%	
GOBP_T_CELL_MEDIATED_IMMUNITY	GOBP_T_CELL_MEDIATED_IMMUNITY	Details ...	92	-0.5531136	-1.7923375	0.0	0.17172693	0.929	1314	tags=17%, list=7%, signal=19%	
GOBP_NEUTRAL_LIPID_BIOSYNTHETIC_PROCESS	GOBP_NEUTRAL_LIPID_BIOSYNTHETIC_PROCESS	Details ...	39	-0.6301215	-1.7684362	0.0057471264	0.21430832	0.977	2084	tags=38%, list=11%, signal=43%	
