NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGK1	8	46.3754997253418	0.10099018	Yes	
row_1	NGLY1	112	21.895753860473633	0.14354181	Yes	
row_2	PLPP1	237	17.18560028076172	0.1747086	Yes	
row_3	SRP19	419	13.910897254943848	0.19576804	Yes	
row_4	XRCC5	493	13.019993782043457	0.22046314	Yes	
row_5	B4GALT1	647	11.730595588684082	0.23820278	Yes	
row_6	MAF	1099	8.963181495666504	0.23448437	Yes	
row_7	ADRM1	1136	8.790329933166504	0.2518439	Yes	
row_8	SORD	1441	7.656644344329834	0.25286868	Yes	
row_9	GUCY1A1	1529	7.3430495262146	0.2644269	Yes	
row_10	GSR	1606	7.096546649932861	0.27601478	Yes	
row_11	GNAI3	1918	6.269068717956543	0.2736436	Yes	
row_12	XRCC6	1995	6.111914157867432	0.28307852	Yes	
row_13	PA2G4	2077	5.924556732177734	0.29184526	Yes	
row_14	ABCC4	2132	5.809140205383301	0.30175558	Yes	
row_15	GPD1L	2364	5.3212056159973145	0.3014479	Yes	
row_16	HMGCS1	2413	5.2353057861328125	0.3104137	Yes	
row_17	RRP12	2527	5.020568370819092	0.31554934	Yes	
row_18	TMPRSS2	2746	4.609190940856934	0.31435692	Yes	
row_19	FKBP5	2948	4.294795513153076	0.31335592	Yes	
row_20	DBI	3161	3.9739387035369873	0.31108466	Yes	
row_21	CENPN	3174	3.953882932662964	0.31910974	Yes	
row_22	SMS	3246	3.84415864944458	0.32384455	Yes	
row_23	CCND3	3445	3.5818369388580322	0.3214397	Yes	
row_24	NKX3-1	3476	3.547112226486206	0.32764474	Yes	
row_25	SRF	3495	3.533970355987549	0.33444145	Yes	
row_26	AKT1	3649	3.3487608432769775	0.33385354	Yes	
row_27	STEAP4	3897	3.049849510192871	0.32775214	Yes	
row_28	SELENOP	3939	3.0002293586730957	0.33219263	Yes	
row_29	TPD52	3947	2.9913156032562256	0.3383715	Yes	
row_30	MAP7	4455	2.4290263652801514	0.31747037	No	
row_31	CDC14B	4654	2.231343984603882	0.3121126	No	
row_32	STK39	4878	2.03133225440979	0.30502495	No	
row_33	ANKH	5203	1.7749220132827759	0.29215485	No	
row_34	AKAP12	5953	1.2642498016357422	0.25619522	No	
row_35	CAMKK2	5975	1.2510310411453247	0.25784498	No	
row_36	ELOVL5	6753	0.8069227933883667	0.21943772	No	
row_37	APPBP2	6785	0.7911779284477234	0.21956497	No	
row_38	KRT8	6894	0.7393634915351868	0.21559794	No	
row_39	BMPR1B	7182	0.6072418093681335	0.20208755	No	
row_40	SLC26A2	7308	0.5615893602371216	0.1968529	No	
row_41	HMGCR	7456	0.5039038062095642	0.19035468	No	
row_42	UBE2J1	7693	0.41624677181243896	0.17906341	No	
row_43	VAPA	7742	0.39683961868286133	0.17744948	No	
row_44	MAK	8018	0.3078407943248749	0.16390485	No	
row_45	ABHD2	8359	0.21156218647956848	0.1467891	No	
row_46	CDK6	8695	0.13306871056556702	0.12976025	No	
row_47	LIFR	8914	0.08384429663419724	0.11867277	No	
row_48	ELL2	9308	0.00802802573889494	0.09837185	No	
row_49	PDLIM5	9341	5.492225755006075E-4	0.096718624	No	
row_50	ITGAV	9413	-0.011319912038743496	0.09307261	No	
row_51	MYL12A	9659	-0.05315060541033745	0.08052209	No	
row_52	PGM3	9669	-0.054981768131256104	0.080177	No	
row_53	MERTK	9798	-0.07733946293592453	0.07372839	No	
row_54	UBE2I	9838	-0.08683091402053833	0.07190191	No	
row_55	CCND1	10017	-0.12919029593467712	0.06298163	No	
row_56	ACTN1	10050	-0.1382226049900055	0.06162943	No	
row_57	IQGAP2	10079	-0.14593449234962463	0.0605009	No	
row_58	RPS6KA3	10521	-0.2538580894470215	0.03825586	No	
row_59	RAB4A	10585	-0.26926517486572266	0.035587467	No	
row_60	SPDEF	10876	-0.3472590744495392	0.0213535	No	
row_61	TNFAIP8	11127	-0.4272873103618622	0.009362558	No	
row_62	SAT1	11927	-0.6691364645957947	-0.03048339	No	
row_63	ACSL3	12033	-0.7063025832176208	-0.034367602	No	
row_64	ARID5B	12093	-0.7265285849571228	-0.035829347	No	
row_65	NDRG1	12586	-0.9298043847084045	-0.059233125	No	
row_66	DHCR24	12642	-0.9568639993667603	-0.059984416	No	
row_67	IDI1	13018	-1.1078652143478394	-0.07694984	No	
row_68	NCOA4	13293	-1.235276460647583	-0.08841487	No	
row_69	TMEM50A	13301	-1.2403472661972046	-0.08606466	No	
row_70	HSD17B14	13668	-1.4491702318191528	-0.10181848	No	
row_71	ELK4	14187	-1.8047279119491577	-0.1246534	No	
row_72	ZBTB10	14259	-1.8571217060089111	-0.12426342	No	
row_73	HOMER2	14265	-1.8618130683898926	-0.12045092	No	
row_74	FADS1	15047	-2.483652353286743	-0.15539867	No	
row_75	TSC22D1	15157	-2.577857494354248	-0.15539737	No	
row_76	HPGD	15189	-2.620260715484619	-0.15127069	No	
row_77	PTPN21	15276	-2.7087230682373047	-0.14979413	No	
row_78	ALDH1A3	16025	-3.5822911262512207	-0.18063349	No	
row_79	PTK2B	16031	-3.5867438316345215	-0.17304927	No	
row_80	DNAJB9	16445	-4.143954277038574	-0.18534069	No	
row_81	INSIG1	16940	-4.956562042236328	-0.20004304	No	
row_82	LMAN1	17254	-5.619132041931152	-0.20393875	No	
row_83	SPCS3	17299	-5.730565071105957	-0.19368325	No	
row_84	HERC3	17393	-5.931715965270996	-0.18552126	No	
row_85	KRT19	17480	-6.120368480682373	-0.17658485	No	
row_86	SLC38A2	17502	-6.178473949432373	-0.16416085	No	
row_87	INPP4B	17996	-7.643438339233398	-0.17293642	No	
row_88	ZMIZ1	18165	-8.316518783569336	-0.16343744	No	
row_89	UAP1	18198	-8.45736312866211	-0.14659916	No	
row_90	AZGP1	18438	-9.616532325744629	-0.13792837	No	
row_91	B2M	18605	-10.51386833190918	-0.1235213	No	
row_92	PIAS1	18663	-10.930191040039062	-0.10256851	No	
row_93	PMEPA1	18741	-11.50743293762207	-0.08138755	No	
row_94	H1-0	19109	-16.312753677368164	-0.064692646	No	
row_95	SEC24D	19139	-16.825178146362305	-0.029402358	No	
row_96	SCD	19261	-20.49287986755371	0.009151167	No	
