NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL16A1	3	50.25947570800781	0.054329533	No	
row_1	VAV2	247	17.022958755493164	0.060173485	No	
row_2	CLDN18	376	14.58902645111084	0.06934668	No	
row_3	PLCG1	455	13.494531631469727	0.07992807	No	
row_4	DHX16	535	12.65407657623291	0.08954645	No	
row_5	CLDN11	536	12.643961906433105	0.10325349	No	
row_6	B4GALT1	647	11.730595588684082	0.11026203	No	
row_7	MAP3K20	817	10.546771049499512	0.11292545	No	
row_8	PFN1	896	9.992931365966797	0.119710825	No	
row_9	CD99	955	9.73831844329834	0.12725806	No	
row_10	HADH	989	9.548444747924805	0.13589682	No	
row_11	FBN1	1227	8.391024589538574	0.13269444	No	
row_12	CRAT	1325	8.025470733642578	0.13636096	No	
row_13	EPB41L2	1471	7.544938564300537	0.13701561	No	
row_14	ARPC2	1472	7.543458461761475	0.14519331	No	
row_15	TNFRSF11B	1476	7.534142017364502	0.15320523	No	
row_16	CDK8	1488	7.4947662353515625	0.1607593	No	
row_17	TUBG1	1528	7.3483123779296875	0.16670159	No	
row_18	YWHAH	1713	6.820796489715576	0.16454734	No	
row_19	TSC1	1892	6.331379413604736	0.1621739	No	
row_20	ICAM2	2075	5.93092679977417	0.15915875	No	
row_21	MYH10	2305	5.429262161254883	0.15316075	No	
row_22	HRAS	2476	5.11203145980835	0.14988059	No	
row_23	ADAM15	2709	4.682126998901367	0.14291695	No	
row_24	ACTG1	2759	4.581570625305176	0.1453409	No	
row_25	SYMPK	2862	4.432347774505615	0.14485273	No	
row_26	SYK	2905	4.360232353210449	0.1474	No	
row_27	MMP2	2944	4.302180767059326	0.15009193	No	
row_28	NF2	3564	3.451556444168091	0.12171122	No	
row_29	ACTB	3995	2.9405593872070312	0.10258453	No	
row_30	IKBKG	4118	2.7984673976898193	0.099287204	No	
row_31	GTF2F1	4203	2.688274621963501	0.0978424	No	
row_32	GNAI1	4218	2.6742029190063477	0.10001493	No	
row_33	ACTN4	4591	2.2978157997131348	0.08320133	No	
row_34	NECTIN1	4625	2.2578952312469482	0.08393655	No	
row_35	CDH6	4674	2.214878797531128	0.08384674	No	
row_36	MPZL1	4752	2.1481852531433105	0.08217969	No	
row_37	MYH9	4772	2.129335641860962	0.08350207	No	
row_38	ATP1A3	4886	2.0237936973571777	0.07983198	No	
row_39	MAP4K2	5032	1.904768943786621	0.074372254	No	
row_40	CAP1	5195	1.7826136350631714	0.06789789	No	
row_41	FYB1	5397	1.6171590089797974	0.059220303	No	
row_42	ITGA9	5537	1.514559030532837	0.05364892	No	
row_43	MAPK14	5747	1.380439043045044	0.044299547	No	
row_44	MYL9	5764	1.370186448097229	0.04495463	No	
row_45	MDK	5795	1.3529026508331299	0.04486446	No	
row_46	PARD6G	6156	1.1420314311981201	0.027420623	No	
row_47	PIK3R3	6224	1.102961540222168	0.025139414	No	
row_48	GAMT	6366	1.0081000328063965	0.0189152	No	
row_49	GNAI2	7216	0.5952357649803162	-0.024497638	No	
row_50	AKT3	7426	0.5168898105621338	-0.034783162	No	
row_51	MYL12B	7526	0.474968284368515	-0.039405778	No	
row_52	JUP	7620	0.4395141303539276	-0.043755464	No	
row_53	DLG1	7911	0.3431646227836609	-0.058432747	No	
row_54	PARVA	8096	0.2903299033641815	-0.06766653	No	
row_55	CNN2	8157	0.27226802706718445	-0.07048502	No	
row_56	NRTN	8311	0.22846607863903046	-0.07817715	No	
row_57	AMH	8357	0.21199408173561096	-0.08028256	No	
row_58	ICAM5	8456	0.1892482042312622	-0.08516303	No	
row_59	LAYN	8734	0.12331454455852509	-0.09940402	No	
row_60	SIRPA	9004	0.06288773566484451	-0.11329537	No	
row_61	NECTIN3	9152	0.03543696179986	-0.12088539	No	
row_62	VCL	9197	0.02772071585059166	-0.12313867	No	
row_63	ICAM1	9326	0.003878174349665642	-0.12977692	No	
row_64	NFASC	9650	-0.05176891013979912	-0.1464826	No	
row_65	CLDN7	9746	-0.0675211101770401	-0.15133935	No	
row_66	LAMA3	9988	-0.12433484941720963	-0.16371104	No	
row_67	NEXN	10027	-0.1320171058177948	-0.1655399	No	
row_68	ACTN1	10050	-0.1382226049900055	-0.16653174	No	
row_69	RSU1	10141	-0.16178932785987854	-0.17102681	No	
row_70	WASL	10404	-0.2267456203699112	-0.18437727	No	
row_71	VCAM1	10426	-0.23331016302108765	-0.18521412	No	
row_72	SHROOM2	10592	-0.27051421999931335	-0.1934834	No	
row_73	MAPK13	10645	-0.28523948788642883	-0.19587266	No	
row_74	WNK4	10664	-0.29040825366973877	-0.19649193	No	
row_75	CERCAM	10780	-0.3201765716075897	-0.20211266	No	
row_76	LIMA1	10783	-0.32056039571762085	-0.20186894	No	
row_77	ADAM9	11377	-0.5035949945449829	-0.23209623	No	
row_78	EVL	11379	-0.5041789412498474	-0.23160155	No	
row_79	CLDN15	11544	-0.5497789978981018	-0.23951618	No	
row_80	CD86	11781	-0.6264868974685669	-0.25108403	No	
row_81	PECAM1	11839	-0.6442564725875854	-0.25334358	No	
row_82	AKT2	11863	-0.6543387174606323	-0.25382778	No	
row_83	ALOX15B	11880	-0.6576502919197083	-0.25394514	No	
row_84	EGFR	11939	-0.6732224225997925	-0.2562252	No	
row_85	TJP1	11958	-0.6805875897407532	-0.25642148	No	
row_86	JAM3	12186	-0.7568520903587341	-0.26738095	No	
row_87	PALS1	12191	-0.7584206461906433	-0.26676634	No	
row_88	PTK2	12266	-0.7909098267555237	-0.2697491	No	
row_89	CD274	12283	-0.7991905808448792	-0.269713	No	
row_90	CD34	12291	-0.8025397658348083	-0.26920626	No	
row_91	PTPRC	12333	-0.8191492557525635	-0.27044588	No	
row_92	CRB3	12593	-0.9315264225006104	-0.28287664	No	
row_93	MAPK11	12643	-0.9569814801216125	-0.284382	No	
row_94	VCAN	12690	-0.9712275862693787	-0.28571624	No	
row_95	NECTIN2	12933	-1.0740621089935303	-0.29711026	No	
row_96	LDLRAP1	13143	-1.1626874208450317	-0.3066957	No	
row_97	SKAP2	13506	-1.3628848791122437	-0.32400388	No	
row_98	VWF	13524	-1.3729795217514038	-0.32339767	No	
row_99	MADCAM1	13605	-1.4167523384094238	-0.32601333	No	
row_100	NLGN3	13812	-1.543460488319397	-0.3350303	No	
row_101	AMIGO2	13897	-1.6050225496292114	-0.33764943	No	
row_102	TGFBI	13943	-1.6337804794311523	-0.3382135	No	
row_103	EXOC4	14005	-1.6773725748062134	-0.33956066	No	
row_104	ARHGEF6	14063	-1.7114466428756714	-0.34066328	No	
row_105	BMP1	14501	-2.0409915447235107	-0.36112842	No	
row_106	VASP	14588	-2.1060774326324463	-0.36330816	No	
row_107	TMEM8B	14627	-2.1330642700195312	-0.36296773	No	
row_108	CTNNA1	14769	-2.2498011589050293	-0.36784583	No	
row_109	TSPAN4	15043	-2.481257438659668	-0.37932307	No	
row_110	NECTIN4	15139	-2.5591256618499756	-0.38147873	No	
row_111	PBX2	15177	-2.608813524246216	-0.38057065	No	
row_112	AMIGO1	15193	-2.62349009513855	-0.378505	No	
row_113	NRXN2	15342	-2.7726664543151855	-0.38317952	No	
row_114	PKD1	15369	-2.806323289871216	-0.3814865	No	
row_115	MVD	15404	-2.838214874267578	-0.38017404	No	
row_116	INPPL1	15561	-3.009403944015503	-0.3850071	No	
row_117	CTNND1	15597	-3.049785614013672	-0.3835172	No	
row_118	RASA1	15633	-3.100208282470703	-0.3819726	No	
row_119	PPP2R2C	15856	-3.3427445888519287	-0.38986933	No	
row_120	STX4	15930	-3.443098783493042	-0.389925	No	
row_121	SLC30A3	15941	-3.4520249366760254	-0.38670167	No	
row_122	KCNH2	16171	-3.7680227756500244	-0.3945006	No	
row_123	ZYX	16282	-3.9114062786102295	-0.39596868	No	
row_124	IRS1	16292	-3.928159236907959	-0.3921773	No	
row_125	PDZD3	16456	-4.156893730163574	-0.39612964	No	
