NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RTN1	429	13.81350326538086	0.051777337	No	
row_1	CDK5R1	856	10.28411865234375	0.084832594	No	
row_2	NKX6-1	929	9.81940746307373	0.13364133	No	
row_3	TLE1	1565	7.219051837921143	0.13953511	No	
row_4	ETS2	1786	6.597076416015625	0.16348414	No	
row_5	SCG2	2311	5.420351028442383	0.1654767	No	
row_6	AMOT	2720	4.661262512207031	0.16938592	No	
row_7	ACHE	4296	2.6032259464263916	0.10216117	No	
row_8	MYH9	4772	2.129335641860962	0.08907658	No	
row_9	HEY2	5996	1.2401329278945923	0.032697327	No	
row_10	CNTFR	7550	0.46650296449661255	-0.04482204	No	
row_11	SHH	7867	0.3575934171676636	-0.059190586	No	
row_12	L1CAM	8230	0.24997809529304504	-0.07650474	No	
row_13	CDK6	8695	0.13306871056556702	-0.09969947	No	
row_14	PTCH1	9481	-0.024009183049201965	-0.14001621	No	
row_15	SLIT1	11499	-0.5340693593025208	-0.24108064	No	
row_16	ADGRG1	11846	-0.6482656598091125	-0.2554402	No	
row_17	HEY1	12284	-0.7993500828742981	-0.27368027	No	
row_18	LDB1	14571	-2.0894463062286377	-0.38028544	No	
row_19	VEGFA	14799	-2.2734270095825195	-0.3798218	No	
row_20	RASA1	15633	-3.100208282470703	-0.4061588	No	
row_21	TLE3	15797	-3.269686460494995	-0.3970693	No	
row_22	OPHN1	16789	-4.6982831954956055	-0.42299968	No	
row_23	NF1	17949	-7.440352916717529	-0.44292006	Yes	
row_24	NRP2	18113	-8.11527156829834	-0.4079143	Yes	
row_25	CELSR1	18153	-8.270142555236816	-0.36569145	Yes	
row_26	PML	19014	-14.590508460998535	-0.33196455	Yes	
row_27	VLDLR	19208	-18.86517906188965	-0.24100938	Yes	
row_28	NRP1	19245	-20.024599075317383	-0.13576414	Yes	
row_29	DPYSL2	19362	-27.233516693115234	0.003915676	Yes	
