NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALCAM	24	33.280120849609375	0.040508486	No	
row_1	CCND2	34	30.096559524536133	0.07780143	No	
row_2	AMACR	97	22.82085418701172	0.103214785	No	
row_3	PUS1	165	19.691749572753906	0.12444271	No	
row_4	CASP3	216	17.900060653686523	0.1443052	No	
row_5	PLPP1	237	17.18560028076172	0.16482861	No	
row_6	ITGAE	872	10.186554908752441	0.14469787	No	
row_7	SCN9A	1173	8.647833824157715	0.13997464	No	
row_8	NOP2	1176	8.63348388671875	0.15070267	No	
row_9	GUCY1B1	1345	7.950649261474609	0.15195689	No	
row_10	MYC	1378	7.848800182342529	0.16014312	No	
row_11	NCS1	1482	7.515492916107178	0.16422555	No	
row_12	IL1RL1	1551	7.268635272979736	0.16981512	No	
row_13	UMPS	1554	7.264364719390869	0.17882541	No	
row_14	PDCD2L	1659	6.9413228034973145	0.18213555	No	
row_15	IGF2R	1774	6.639313697814941	0.18454768	No	
row_16	SOCS2	1849	6.4416327476501465	0.18878819	No	
row_17	IFNGR1	1873	6.382045269012451	0.19560139	No	
row_18	IL1R2	2170	5.704383373260498	0.18739285	No	
row_19	ENO3	2701	4.691316604614258	0.16576627	No	
row_20	IL18R1	2775	4.560996055603027	0.16769919	No	
row_21	UCK2	2841	4.466578483581543	0.16992894	No	
row_22	PTRH2	2867	4.4151611328125	0.17417058	No	
row_23	CISH	3051	4.139690399169922	0.16986479	No	
row_24	CCND3	3445	3.5818369388580322	0.15395793	No	
row_25	SNX14	3479	3.5449397563934326	0.15669249	No	
row_26	LRIG1	3630	3.375185012817383	0.15314057	No	
row_27	CD83	3664	3.3285443782806396	0.15560363	No	
row_28	SLC39A8	3687	3.299051284790039	0.1586007	No	
row_29	SH3BGRL2	4107	2.8083038330078125	0.14037368	No	
row_30	ODC1	4177	2.7249391078948975	0.14021066	No	
row_31	ITGA6	4271	2.627960681915283	0.13868013	No	
row_32	EEF1AKMT1	4282	2.6168770790100098	0.14144425	No	
row_33	CDC6	4401	2.4875245094299316	0.13843976	No	
row_34	BCL2	4435	2.4469521045684814	0.13979675	No	
row_35	HUWE1	4718	2.1826956272125244	0.12789653	No	
row_36	RGS16	4833	2.0779924392700195	0.124585874	No	
row_37	MAPKAPK2	4847	2.061974287033081	0.12649806	No	
row_38	FAH	4873	2.034959077835083	0.12775342	No	
row_39	SOCS1	4891	2.0221588611602783	0.12940802	No	
row_40	PNP	4940	1.983026385307312	0.12940429	No	
row_41	TIAM1	5052	1.8915997743606567	0.12601551	No	
row_42	HOPX	5296	1.6995434761047363	0.11553362	No	
row_43	CA2	5315	1.6823638677597046	0.116709985	No	
row_44	POU2F1	5489	1.5441516637802124	0.10966685	No	
row_45	PLAGL1	5494	1.5336934328079224	0.11138342	No	
