NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLA2G2A	69	25.047887802124023	0.069981694	No	
row_1	TLR2	173	19.395376205444336	0.12161092	No	
row_2	REG1A	859	10.25840950012207	0.116358235	No	
row_3	STAT1	1024	9.396777153015137	0.13547987	No	
row_4	HMOX1	1409	7.759583950042725	0.13843372	No	
row_5	IFNGR1	1873	6.382045269012451	0.13326338	No	
row_6	IL17RB	2003	6.081284046173096	0.14445755	No	
row_7	JUN	2055	5.971181869506836	0.15935633	No	
row_8	IL1R2	2170	5.704383373260498	0.17021845	No	
row_9	CXCL3	2707	4.686161994934082	0.15629901	No	
row_10	IL18R1	2775	4.560996055603027	0.16623102	No	
row_11	PTPN2	3099	4.072423934936523	0.16150877	No	
row_12	IL2RG	3205	3.905367374420166	0.16755342	No	
row_13	PTPN11	3460	3.5633699893951416	0.16489963	No	
row_14	BAK1	3641	3.3611373901367188	0.16547339	No	
row_15	STAM2	3901	3.0434062480926514	0.16103469	No	
row_16	CXCL1	4387	2.5006563663482666	0.14333186	No	
row_17	SOCS1	4891	2.0221588611602783	0.123294555	No	
row_18	A2M	5021	1.914495825767517	0.122254334	No	
row_19	MYD88	5054	1.8908348083496094	0.12615368	No	
row_20	TNF	5421	1.6012693643569946	0.111955196	No	
row_21	STAT3	6146	1.147526502609253	0.07793749	No	
row_22	TYK2	6810	0.7791571617126465	0.045988202	No	
row_23	ACVR1B	6827	0.7713457345962524	0.04742677	No	
row_24	CD9	7525	0.47511255741119385	0.012829012	No	
row_25	CNTFR	7550	0.46650296449661255	0.012959394	No	
row_26	GRB2	7992	0.3151477873325348	-0.008888323	No	
row_27	CSF1	8304	0.229681596159935	-0.02427384	No	
row_28	TNFRSF1B	8829	0.10092535614967346	-0.051036634	No	
row_29	LTB	9189	0.029558802023530006	-0.06948844	No	
row_30	IL1B	9285	0.01335251983255148	-0.074355	No	
row_31	CD36	9407	-0.010741590522229671	-0.080571845	No	
row_32	PF4	9680	-0.05760365352034569	-0.09444867	No	
row_33	CCR1	10716	-0.3052102029323578	-0.14699946	No	
row_34	HAX1	10841	-0.34056785702705383	-0.1524028	No	
row_35	CSF2RB	10889	-0.35126301646232605	-0.15379849	No	
row_36	ITGB3	11014	-0.3895277678966522	-0.15905808	No	
row_37	IL7	11255	-0.45822855830192566	-0.17010614	No	
row_38	PIM1	11513	-0.5388122200965881	-0.18179546	No	
row_39	CSF3R	11819	-0.6382753252983093	-0.19567144	No	
row_40	IRF1	11875	-0.6558769345283508	-0.19658585	No	
row_41	IL9R	12104	-0.730742871761322	-0.20621409	No	
row_42	FAS	12254	-0.7871719598770142	-0.21159711	No	
row_43	IL1R1	12296	-0.8049607276916504	-0.21135083	No	
row_44	PIK3R5	12453	-0.879507303237915	-0.21682422	No	
row_45	PTPN1	12737	-0.9907897114753723	-0.22852908	No	
row_46	CSF2RA	12814	-1.0223867893218994	-0.22945179	No	
row_47	IFNAR1	13336	-1.2621325254440308	-0.25265017	No	
row_48	ITGA4	13428	-1.314807415008545	-0.25348887	No	
row_49	TNFRSF21	14117	-1.7544760704040527	-0.28386545	No	
row_50	INHBE	14160	-1.7859700918197632	-0.2807904	No	
row_51	TNFRSF12A	14357	-1.9300521612167358	-0.2852448	No	
row_52	IL12RB1	14888	-2.351468801498413	-0.30570945	No	
row_53	IL6ST	14925	-2.3864800930023193	-0.30056137	No	
row_54	CBL	15302	-2.7354319095611572	-0.31194615	No	
row_55	ACVRL1	16188	-3.7964205741882324	-0.34650022	No	
row_56	CD44	16795	-4.7061567306518555	-0.36397573	No	
row_57	PDGFC	17103	-5.2837371826171875	-0.36431512	Yes	
row_58	LTBR	17261	-5.63226842880249	-0.35588524	Yes	
row_59	IL17RA	17415	-5.977790355682373	-0.3462343	Yes	
row_60	LEPR	17471	-6.096626281738281	-0.33117375	Yes	
row_61	CD14	17517	-6.221358299255371	-0.31523058	Yes	
row_62	MAP3K8	17972	-7.554879665374756	-0.31649253	Yes	
row_63	TGFB1	18058	-7.890524864196777	-0.297714	Yes	
row_64	IL10RB	18322	-9.072698593139648	-0.28465623	Yes	
row_65	SOCS3	18694	-11.128154754638672	-0.27114034	Yes	
row_66	TNFRSF1A	18696	-11.137959480285645	-0.23848906	Yes	
row_67	STAT2	18782	-11.89016342163086	-0.2079669	Yes	
row_68	IFNGR2	18812	-12.173336029052734	-0.17372148	Yes	
row_69	OSMR	18815	-12.196694374084473	-0.13801321	Yes	
row_70	IL13RA1	18857	-12.689163208007812	-0.10287291	Yes	
row_71	IL4R	18892	-13.020812034606934	-0.066397354	Yes	
row_72	IRF9	19021	-14.66307544708252	-0.029953955	Yes	
row_73	IL15RA	19160	-17.518070220947266	0.014355794	Yes	
