NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGK1	8	46.3754997253418	0.06597812	No	
row_1	SLC16A7	104	22.464139938354492	0.09321963	No	
row_2	NR4A2	150	20.180593490600586	0.11978076	No	
row_3	TFCP2L1	152	20.165584564208984	0.14859854	No	
row_4	GTF3C5	311	15.67124080657959	0.16285327	No	
row_5	IGFBP2	316	15.611644744873047	0.18499619	No	
row_6	TENT5C	646	11.748066902160645	0.18478075	No	
row_7	BARD1	1211	8.470741271972656	0.16770606	No	
row_8	VPS50	1391	7.806977272033691	0.16961482	No	
row_9	SPHK2	1393	7.790785312652588	0.18071653	No	
row_10	PAX4	1422	7.700392723083496	0.19029088	No	
row_11	LFNG	1535	7.336879730224609	0.19499564	No	
row_12	YBX2	1540	7.307761192321777	0.20525052	No	
row_13	SERPINA10	1550	7.273493766784668	0.21519744	No	
row_14	GP2	1718	6.804625511169434	0.21629253	No	
row_15	DLK2	2350	5.350081443786621	0.19128124	No	
row_16	NR6A1	2374	5.30142879486084	0.19768006	No	
row_17	CPA2	3047	4.141002178192139	0.168815	No	
row_18	NPHS1	3573	3.438058376312256	0.14655466	No	
row_19	AKR1B10	3607	3.389387607574463	0.14969839	No	
row_20	GPR3	3717	3.263936758041382	0.14872754	No	
row_21	SELENOP	3939	3.0002293586730957	0.14158027	No	
row_22	SLC38A3	4453	2.4309074878692627	0.118499376	No	
row_23	BTG2	4482	2.4063782691955566	0.12049468	No	
row_24	CDKAL1	5108	1.8536760807037354	0.0907885	No	
row_25	MX1	5142	1.8291043043136597	0.09169849	No	
row_26	COL2A1	5194	1.7835532426834106	0.091611296	No	
row_27	ENTPD7	5515	1.52279794216156	0.07722308	No	
row_28	ITGB1BP2	5525	1.5178200006484985	0.07893004	No	
row_29	KRT13	5526	1.517525315284729	0.08110257	No	
row_30	IRS4	6023	1.2193611860275269	0.057167385	No	
row_31	UGT2B17	6288	1.060178518295288	0.045016322	No	
row_32	GAMT	6366	1.0081000328063965	0.0424728	No	
row_33	C5	6379	1.0006812810897827	0.04328409	No	
row_34	TGM1	6543	0.9179667830467224	0.036158796	No	
row_35	CELSR2	7012	0.6898523569107056	0.012915279	No	
row_36	RIBC2	7097	0.6470260620117188	0.0094924	No	
row_37	BMPR1B	7182	0.6072418093681335	0.0060125664	No	
row_38	COQ8A	7400	0.5266260504722595	-0.004468876	No	
row_39	CNTFR	7550	0.46650296449661255	-0.01151563	No	
row_40	CCDC106	7721	0.4050343930721283	-0.019737678	No	
row_41	GPR19	7736	0.39914557337760925	-0.019891115	No	
row_42	STAG3	8529	0.17243152856826782	-0.06065078	No	
row_43	PKP1	8877	0.09167564660310745	-0.07848578	No	
row_44	PRODH	8959	0.0712754875421524	-0.082577586	No	
row_45	MSH5	8984	0.06718368828296661	-0.08372403	No	
row_46	KMT2D	8989	0.06621962785720825	-0.08383633	No	
row_47	SIDT1	9253	0.018930435180664062	-0.097426295	No	
row_48	HNF1A	9270	0.015241064131259918	-0.09823289	No	
row_49	EDN1	9423	-0.013682267628610134	-0.10608324	No	
row_50	CLDN16	9499	-0.0260279793292284	-0.109929174	No	
row_51	HTR1B	9879	-0.09585558623075485	-0.12941502	No	
row_52	TCL1A	9891	-0.09969033300876617	-0.12984183	No	
row_53	CAPN9	10276	-0.1933346837759018	-0.149447	No	
row_54	NUDT11	10326	-0.2076013684272766	-0.15168682	No	
row_55	FGF22	10556	-0.26307231187820435	-0.16316688	No	
row_56	ZC2HC1C	10565	-0.2647247016429901	-0.16320209	No	
row_57	CHST2	10789	-0.3218296766281128	-0.17428738	No	
row_58	MEFV	10821	-0.32987040281295776	-0.17542018	No	
row_59	SYNPO	11642	-0.583038866519928	-0.21704175	No	
row_60	ZBTB16	11750	-0.6131384372711182	-0.22170398	No	
row_61	RSAD2	11912	-0.6654224395751953	-0.22908726	No	
row_62	NPY4R	11999	-0.6934775710105896	-0.2325472	No	
row_63	UPK3B	12002	-0.6941157579421997	-0.23165704	No	
row_64	ZNF112	12114	-0.7333246469497681	-0.23635432	No	
row_65	CD207	12500	-0.8946830630302429	-0.2550072	No	
row_66	LYPD3	12872	-1.0496864318847656	-0.2727133	No	
row_67	TAS2R4	12887	-1.0558959245681763	-0.27192652	No	
row_68	TLX1	12890	-1.0579291582107544	-0.2705155	No	
row_69	KLHDC8A	13095	-1.1420460939407349	-0.27944282	No	
row_70	CAMK1D	13159	-1.1693334579467773	-0.28103065	No	
row_71	CD40LG	13316	-1.2492592334747314	-0.2873192	No	
row_72	SLC6A14	13419	-1.3091132640838623	-0.2907262	No	
row_73	FGFR3	13464	-1.3349111080169678	-0.29109326	No	
row_74	RYR1	13527	-1.3741084337234497	-0.29233617	No	
row_75	PNMT	13622	-1.4254206418991089	-0.2951624	No	
row_76	THRB	13628	-1.4276247024536133	-0.2933775	No	
row_77	PDK2	13991	-1.666837453842163	-0.30973408	No	
row_78	ADRA2C	14273	-1.8672078847885132	-0.32160997	No	
row_79	SNN	14560	-2.0800037384033203	-0.3334401	No	
row_80	P2RY4	14592	-2.1077470779418945	-0.33202764	No	
row_81	YPEL1	15245	-2.673320770263672	-0.36195835	No	
row_82	ATP6V1B1	15336	-2.7673230171203613	-0.3626564	No	
row_83	MFSD6	15435	-2.870002269744873	-0.36362168	No	
row_84	RYR2	15493	-2.9225029945373535	-0.36238897	No	
row_85	ARHGDIG	15546	-2.9954307079315186	-0.360793	No	
row_86	GPRC5C	15706	-3.1842288970947266	-0.36446673	No	
row_87	MAST3	15940	-3.451244592666626	-0.37158963	No	
row_88	SLC30A3	15941	-3.4520249366760254	-0.36664763	No	
row_89	KCND1	15971	-3.498084783554077	-0.36314118	No	
row_90	CYP39A1	16032	-3.588545322418213	-0.3611103	No	
row_91	HSD11B2	16139	-3.7239389419555664	-0.36126727	No	
row_92	HTR1D	16335	-3.986454963684082	-0.36565647	No	
row_93	TFF2	16659	-4.488812446594238	-0.3759538	Yes	
row_94	FGGY	16757	-4.633417129516602	-0.37434274	Yes	
row_95	CACNG1	16824	-4.744096755981445	-0.37096816	Yes	
