NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RRP9	7	46.78889083862305	0.040445656	Yes	
row_1	GNL3	151	20.16584587097168	0.050602715	Yes	
row_2	POLE3	157	20.002763748168945	0.06778935	Yes	
row_3	SET	168	19.594152450561523	0.08435974	Yes	
row_4	HDAC2	175	19.345407485961914	0.100921065	Yes	
row_5	EXOSC7	212	18.00996208190918	0.114758514	Yes	
row_6	DDX18	342	15.066067695617676	0.12119511	Yes	
row_7	HSPE1	392	14.345418930053711	0.13116072	Yes	
row_8	SRM	428	13.82364273071289	0.14139882	Yes	
row_9	PHB	435	13.764913558959961	0.1530928	Yes	
row_10	ORC2	487	13.062483787536621	0.16183549	Yes	
row_11	NOP56	498	12.991008758544922	0.1726466	Yes	
row_12	HDDC2	514	12.891278266906738	0.18311088	Yes	
row_13	GLO1	515	12.888951301574707	0.19435267	Yes	
row_14	NOP16	518	12.88078784942627	0.2054834	Yes	
row_15	SNRPD1	520	12.821060180664062	0.21661401	Yes	
row_16	RAD23B	588	12.174919128417969	0.22375105	Yes	
row_17	SERBP1	661	11.61180591583252	0.2301371	Yes	
row_18	TCP1	671	11.494322776794434	0.23969476	Yes	
row_19	PSMC4	712	11.206785202026367	0.24739057	Yes	
row_20	ETF1	723	11.11998462677002	0.25656977	Yes	
row_21	CCT5	729	11.062494277954102	0.26595867	Yes	
row_22	NCBP1	732	11.0077486038208	0.2754557	Yes	
row_23	SYNCRIP	744	10.9522066116333	0.2844366	Yes	
row_24	EIF3B	745	10.9512939453125	0.29398838	Yes	
row_25	HNRNPA3	750	10.923600196838379	0.3033081	Yes	
row_26	SSB	763	10.833037376403809	0.31213307	Yes	
row_27	C1QBP	784	10.698071479797363	0.3204246	Yes	
row_28	EIF1AX	807	10.594941139221191	0.3285222	Yes	
row_29	DEK	820	10.535436630249023	0.3370876	Yes	
row_30	KPNB1	844	10.366661071777344	0.34493414	Yes	
row_31	SRPK1	884	10.111815452575684	0.3517269	Yes	
row_32	FAM120A	894	10.00151252746582	0.35998252	Yes	
row_33	PSMD1	969	9.678352355957031	0.36457825	Yes	
row_34	PSMB2	980	9.621989250183105	0.3724509	Yes	
row_35	PRPS2	987	9.577314376831055	0.38049245	Yes	
row_36	PSMB3	1046	9.253804206848145	0.3855494	Yes	
row_37	AIMP2	1052	9.20671272277832	0.3933197	Yes	
row_38	HNRNPC	1058	9.175667762756348	0.40106288	Yes	
row_39	PSMD14	1066	9.104570388793945	0.40864015	Yes	
row_40	SMARCC1	1090	9.00456428527832	0.41529864	Yes	
row_41	RAN	1121	8.872525215148926	0.4214782	Yes	
row_42	TFDP1	1123	8.862360000610352	0.42915604	Yes	
row_43	YWHAE	1148	8.75265884399414	0.43554285	Yes	
row_44	CDK4	1150	8.731148719787598	0.44310623	Yes	
row_45	ILF2	1166	8.683289527893066	0.44990027	Yes	
row_46	EIF2S1	1177	8.631888389587402	0.45690933	Yes	
row_47	RANBP1	1184	8.595422744750977	0.4640945	Yes	
