NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCKDHB	22	35.502628326416016	0.04735949	No	
row_1	GCNT1	27	32.07085418701172	0.09096333	No	
row_2	VAV2	247	17.022958755493164	0.102873676	No	
row_3	MT1E	424	13.872705459594727	0.11270796	No	
row_4	PDGFRB	532	12.676729202270508	0.124482654	No	
row_5	SCAF8	605	12.059584617614746	0.1372273	No	
row_6	F3	616	11.970349311828613	0.15306163	No	
row_7	SDC2	806	10.611141204833984	0.15776698	No	
row_8	SFMBT1	1021	9.39965534210205	0.15952237	No	
row_9	COL5A2	1051	9.223958969116211	0.17062074	No	
row_10	KCNMA1	1357	7.9232707023620605	0.16564547	No	
row_11	MYC	1378	7.848800182342529	0.17533149	No	
row_12	FYN	1691	6.8637495040893555	0.16854623	No	
row_13	KIT	1981	6.129901885986328	0.16194989	No	
row_14	TENT4A	2216	5.6040520668029785	0.15748422	No	
row_15	SRI	3191	3.92516827583313	0.112393014	No	
row_16	APBB2	3444	3.5834507942199707	0.10423465	No	
row_17	PRDM2	3596	3.4053115844726562	0.101064734	No	
row_18	RND3	3767	3.2190403938293457	0.096656166	No	
row_19	NFKB1	4239	2.6594579219818115	0.075891346	No	
row_20	MRPS31	4572	2.314669609069824	0.06185573	No	
row_21	PHF3	4751	2.14847469329834	0.055570286	No	
row_22	MIOS	4775	2.127750873565674	0.057285544	No	
row_23	SCN8A	4893	2.0183801651000977	0.053982187	No	
row_24	PEX14	4967	1.9556145668029785	0.05287229	No	
row_25	PMP22	5368	1.6410573720932007	0.034394067	No	
row_26	ATP2B1	5471	1.56302011013031	0.031245658	No	
row_27	PLCB4	5484	1.5482902526855469	0.032739133	No	
row_28	DYRK1A	5556	1.50005042552948	0.0311105	No	
row_29	PLPP3	5648	1.4415857791900635	0.028366005	No	
row_30	MAPK14	5747	1.380439043045044	0.025175376	No	
row_31	DMAC2L	5811	1.3433969020843506	0.023747148	No	
row_32	PIK3R3	6224	1.102961540222168	0.003912249	No	
row_33	DDAH1	6258	1.0804955959320068	0.0036788802	No	
row_34	NIPBL	6294	1.0537816286087036	0.0033054182	No	
row_35	ABCC1	6371	1.0043390989303589	7.4061216E-4	No	
row_36	PPARG	6375	1.0029373168945312	0.001955295	No	
row_37	YTHDC1	6462	0.9581589698791504	-0.0011905971	No	
row_38	COL1A1	6552	0.9143378734588623	-0.004551752	No	
row_39	ACVR2A	6747	0.809390127658844	-0.013495279	No	
row_40	SYNJ2	6764	0.8021022081375122	-0.013228351	No	
row_41	GRK5	7062	0.6631472706794739	-0.02770706	No	
row_42	AKT3	7426	0.5168898105621338	-0.045804374	No	
row_43	SYNE1	7625	0.43801653385162354	-0.05546242	No	
row_44	BDNF	7657	0.4296218156814575	-0.056481328	No	
row_45	MTA1	7702	0.41343119740486145	-0.058195755	No	
row_46	CCN1	7781	0.3844456970691681	-0.06171098	No	
row_47	SIPA1L1	7821	0.37150880694389343	-0.063223675	No	
row_48	SPOP	7831	0.3677765727043152	-0.063187465	No	
