NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TBPL1	917	9.880812644958496	0.027517952	Yes	
row_1	TAF11	921	9.856761932373047	0.10195032	Yes	
row_2	GTF2E1	1093	8.999813079833984	0.16124141	Yes	
row_3	TBP	1103	8.93452262878418	0.22838596	Yes	
row_4	TAF9	1319	8.042749404907227	0.27816764	Yes	
row_5	GTF2H4	1611	7.086397171020508	0.31679642	Yes	
row_6	GTF2F2	1647	6.987070083618164	0.3678647	Yes	
row_7	TAF4	2094	5.8846755027771	0.38941312	Yes	
row_8	GTF2H3	2434	5.194291114807129	0.41125083	Yes	
row_9	GTF2H1	2474	5.119210720062256	0.44797876	Yes	
row_10	TAF9B	2741	4.618219375610352	0.46921882	Yes	
row_11	TAF13	3040	4.155411720275879	0.4853079	Yes	
row_12	GTF2H2	3110	4.054015636444092	0.51242954	Yes	
row_13	GTF2A2	3184	3.9409573078155518	0.5384896	Yes	
row_14	TAF6	3188	3.9311606884002686	0.5680824	Yes	
row_15	TAF6L	3382	3.6633713245391846	0.5858586	Yes	
row_16	GTF2F1	4203	2.688274621963501	0.5639482	No	
row_17	TAF5L	4783	2.1190378665924072	0.55014855	No	
row_18	TAF2	5530	1.5161556005477905	0.5231817	No	
row_19	TAF5	6071	1.1874815225601196	0.50434244	No	
row_20	GTF2B	6570	0.9027848839759827	0.48551303	No	
row_21	TAF4B	6634	0.8663759827613831	0.48882273	No	
row_22	GTF2E2	8782	0.1115063950419426	0.37903634	No	
row_23	STON1	10147	-0.162960946559906	0.30998555	No	
row_24	TAF12	10539	-0.2580496668815613	0.29179084	No	
row_25	GTF2A1	12611	-0.9385375380516052	0.19217877	No	
row_26	TAF1L	13059	-1.1288539171218872	0.17768799	No	
row_27	TAF10	13586	-1.4062139987945557	0.1612253	No	
row_28	GTF2IRD1	14137	-1.7713435888290405	0.14628892	No	
row_29	GTF2I	15230	-2.659515619277954	0.11014534	No	
row_30	TAF7	16143	-3.732180595397949	0.09139371	No	
row_31	TAF1	18585	-10.352590560913086	0.043953277	No	
