NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SUCLA2	375	14.59238052368164	0.09270448	Yes	
row_1	PDHB	505	12.9603853225708	0.1855547	Yes	
row_2	ACO1	796	10.65125560760498	0.25238267	Yes	
row_3	SDHB	950	9.760892868041992	0.3194339	Yes	
row_4	DLD	1197	8.542572975158691	0.37234053	Yes	
row_5	IDH3A	1260	8.253918647766113	0.4325113	Yes	
row_6	PDHA1	1699	6.851718902587891	0.46254498	Yes	
row_7	FH	1700	6.850931644439697	0.51513946	Yes	
row_8	IDH1	1755	6.6811604499816895	0.56364834	Yes	
row_9	IDH3B	1805	6.558606147766113	0.61147404	Yes	
row_10	OGDH	2526	5.024258136749268	0.612949	Yes	
row_11	SDHA	2612	4.872971057891846	0.6459793	Yes	
row_12	DLST	2967	4.258139133453369	0.66042995	Yes	
row_13	SDHC	3255	3.8346755504608154	0.67508173	Yes	
row_14	MDH2	3688	3.298707962036133	0.67814815	Yes	
row_15	DLAT	4413	2.475402593612671	0.65984946	No	
row_16	SUCLG1	4571	2.315397024154663	0.6695357	No	
row_17	OGDHL	5199	1.7783764600753784	0.6508837	No	
row_18	SDHD	5266	1.7246514558792114	0.66072327	No	
row_19	SUCLG2	5702	1.4063401222229004	0.64910746	No	
row_20	IDH3G	5718	1.3986589908599854	0.6590721	No	
row_21	MDH1	5754	1.377224087715149	0.66784173	No	
row_22	SUCLG2P2	6053	1.1966170072555542	0.66167444	No	
row_23	CS	6344	1.019960880279541	0.6545631	No	
row_24	ACO2	6786	0.7908070087432861	0.63791275	No	
row_25	PCK1	7382	0.5320384502410889	0.6113413	No	
row_26	ACLY	7735	0.39943286776542664	0.5962718	No	
row_27	PC	8945	0.07432965189218521	0.53455174	No	
row_28	IDH2	8970	0.06965066492557526	0.5338499	No	
row_29	PCK2	12041	-0.7080863118171692	0.38111183	No	
