NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRLR	28	31.44584846496582	0.049731944	No	
row_1	PDGFRB	532	12.676729202270508	0.04428583	No	
row_2	CCL20	650	11.710220336914062	0.05728003	No	
row_3	CXCL16	1122	8.864279747009277	0.047287628	No	
row_4	CCL15	1456	7.605400085449219	0.04240125	No	
row_5	TNFRSF11B	1476	7.534142017364502	0.053679284	No	
row_6	CXCL2	1577	7.1911211013793945	0.060199272	No	
row_7	IFNGR1	1873	6.382045269012451	0.055291906	No	
row_8	KIT	1981	6.129901885986328	0.05972163	No	
row_9	IL17RB	2003	6.081284046173096	0.068531185	No	
row_10	TNFRSF13C	2166	5.707763671875	0.06942214	No	
row_11	IL1R2	2170	5.704383373260498	0.07855149	No	
row_12	CXCL3	2707	4.686161994934082	0.058388315	No	
row_13	IL18R1	2775	4.560996055603027	0.062338304	No	
row_14	IL2RG	3205	3.905367374420166	0.046452023	No	
row_15	CCL28	3667	3.324176073074341	0.027960598	No	
row_16	CCL16	3827	3.135462999343872	0.024820227	No	
row_17	KDR	3859	3.091765880584717	0.028245324	No	
row_18	RELT	3889	3.059183359146118	0.031721085	No	
row_19	CCL24	3978	2.9612858295440674	0.031978443	No	
row_20	TGFB3	4381	2.5070390701293945	0.015216041	No	
row_21	CXCL1	4387	2.5006563663482666	0.019027062	No	
row_22	CCR6	5023	1.9119964838027954	-0.010784555	No	
row_23	TGFBR1	5380	1.630399227142334	-0.02658882	No	
row_24	TNF	5421	1.6012693643569946	-0.026056405	No	
row_25	TNFSF15	5562	1.4951250553131104	-0.030881599	No	
row_26	CXCL14	5691	1.4118072986602783	-0.035220224	No	
row_27	IL11RA	5990	1.242976188659668	-0.048647884	No	
row_28	CXCL8	6032	1.2142133712768555	-0.04879732	No	
row_29	TNFRSF9	6118	1.1609396934509277	-0.051314797	No	
row_30	IL12RB2	6365	1.0095287561416626	-0.062426314	No	
row_31	MPL	6468	0.9562984108924866	-0.0661583	No	
row_32	IL11	6631	0.8668577671051025	-0.07314678	No	
row_33	GHR	6716	0.8240482211112976	-0.07616076	No	
row_34	ACVR2A	6747	0.809390127658844	-0.07639879	No	
row_35	CXCR3	6769	0.7996724843978882	-0.076185994	No	
row_36	ACVR1B	6827	0.7713457345962524	-0.07788585	No	
row_37	CXCL12	6943	0.7200132608413696	-0.08267646	No	
row_38	BMPR1B	7182	0.6072418093681335	-0.09402799	No	
row_39	TNFRSF19	7339	0.5462304949760437	-0.10122725	No	
row_40	TNFRSF11A	7450	0.5053472518920898	-0.10610803	No	
row_41	CNTFR	7550	0.46650296449661255	-0.11048171	No	
row_42	CSF1	8304	0.229681596159935	-0.1491497	No	
row_43	IL23A	8351	0.21431700885295868	-0.15118589	No	
row_44	AMH	8357	0.21199408173561096	-0.15110007	No	
row_45	TNFRSF1B	8829	0.10092535614967346	-0.17535639	No	
row_46	NGFR	8833	0.10080781579017639	-0.17534785	No	
row_47	LIFR	8914	0.08384429663419724	-0.17935926	No	
row_48	LTB	9189	0.029558802023530006	-0.1935176	No	
row_49	IL1B	9285	0.01335251983255148	-0.19842146	No	
row_50	TNFRSF6B	9430	-0.01447327807545662	-0.20586407	No	
row_51	KITLG	9480	-0.023832017555832863	-0.20836586	No	
row_52	PDGFA	9484	-0.024226438254117966	-0.20848197	No	
row_53	IL18RAP	9513	-0.02795128896832466	-0.20988823	No	
row_54	PF4	9680	-0.05760365352034569	-0.2184013	No	
row_55	CXCL6	9718	-0.06264929473400116	-0.22021772	No	
row_56	EDA	10046	-0.1370285004377365	-0.2369491	No	
row_57	IL12A	10085	-0.14733490347862244	-0.23867953	No	
row_58	CSF1R	10242	-0.18507704138755798	-0.24646664	No	
row_59	XCL1	10354	-0.21488641202449799	-0.25187203	No	
row_60	CCR2	10423	-0.231620654463768	-0.25502074	No	
row_61	CCR7	10540	-0.2590632438659668	-0.26061347	No	
row_62	TGFBR2	10581	-0.26852235198020935	-0.26225033	No	
row_63	CNTF	10582	-0.26884907484054565	-0.26181275	No	
row_64	TNFRSF4	10590	-0.27007368206977844	-0.2617361	No	
row_65	TNFSF8	10608	-0.27501052618026733	-0.26216987	No	
row_66	CCR1	10716	-0.3052102029323578	-0.26722088	No	
row_67	TNFSF13B	10793	-0.3229280710220337	-0.27063572	No	
row_68	CSF2RB	10889	-0.35126301646232605	-0.27498958	No	
row_69	CXCR5	10892	-0.3516496419906616	-0.2745209	No	
row_70	LTA	10955	-0.37082865834236145	-0.27713192	No	
row_71	CXCR4	11106	-0.4181768000125885	-0.28422853	No	
row_72	IL21R	11229	-0.4505438506603241	-0.28982067	No	
row_73	IL7	11255	-0.45822855830192566	-0.29037106	No	
row_74	OSM	11591	-0.5670300722122192	-0.30681732	No	
row_75	CCR10	11636	-0.581073522567749	-0.30815285	No	
row_76	CD27	11754	-0.6151604056358337	-0.31321782	No	
row_77	CSF3R	11819	-0.6382753252983093	-0.31549722	No	
row_78	IL2RB	11904	-0.6621331572532654	-0.31877473	No	
row_79	EGFR	11939	-0.6732224225997925	-0.3194418	No	
row_80	IL9R	12104	-0.730742871761322	-0.32675552	No	
row_81	IFNLR1	12174	-0.7518296241760254	-0.3291093	No	
row_82	FAS	12254	-0.7871719598770142	-0.33192408	No	
row_83	IL1R1	12296	-0.8049607276916504	-0.33273965	No	
row_84	CXCL5	12324	-0.8171060085296631	-0.33280957	No	
row_85	CCL5	12336	-0.8202024102210999	-0.33204487	No	
row_86	PPBP	12415	-0.8595181107521057	-0.33469003	No	
row_87	INHBB	12440	-0.8699139356613159	-0.33451846	No	
row_88	IL7R	12471	-0.8848623037338257	-0.33463365	No	
row_89	CSF2RA	12814	-1.0223867893218994	-0.3507017	No	
row_90	CX3CR1	13144	-1.1627920866012573	-0.36586714	No	
row_91	TNFRSF10A	13171	-1.174920916557312	-0.3653028	No	
row_92	CD40LG	13316	-1.2492592334747314	-0.3707356	No	
row_93	IFNAR1	13336	-1.2621325254440308	-0.36966637	No	
row_94	BMP2	13800	-1.5359238386154175	-0.39117217	No	
row_95	IL10RA	13871	-1.5810537338256836	-0.39222813	No	
row_96	TNFRSF21	14117	-1.7544760704040527	-0.40207526	No	
row_97	TNFSF4	14140	-1.7718913555145264	-0.40033185	No	
row_98	INHBE	14160	-1.7859700918197632	-0.39841	No	
row_99	BMPR1A	14260	-1.8574682474136353	-0.40051964	No	
row_100	TNFRSF12A	14357	-1.9300521612167358	-0.40235558	No	
row_101	ACVR2B	14478	-2.0238635540008545	-0.40528318	No	
row_102	VEGFA	14799	-2.2734270095825195	-0.41817427	No	
row_103	IL12RB1	14888	-2.351468801498413	-0.4189095	No	
row_104	IL6ST	14925	-2.3864800930023193	-0.4168916	No	
row_105	IL1A	15039	-2.477895736694336	-0.41871727	No	
row_106	IL1RAP	15091	-2.5202107429504395	-0.41725942	No	
row_107	LIF	15097	-2.5225627422332764	-0.41341275	No	
row_108	VEGFB	15136	-2.5582275390625	-0.41121903	No	
row_109	TNFSF12	15460	-2.8906702995300293	-0.423261	No	
row_110	IFNE	15477	-2.903049945831299	-0.41936532	No	
row_111	TNFSF9	15632	-3.09832501411438	-0.4223069	No	
row_112	PDGFB	16081	-3.649695873260498	-0.43959445	No	
row_113	TNFRSF10C	16180	-3.7774109840393066	-0.4385272	No	
