NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLE3	157	20.002763748168945	0.09786638	Yes	
row_1	POLD1	733	11.004598617553711	0.12653013	Yes	
row_2	POLD3	777	10.765835762023926	0.18134193	Yes	
row_3	PRIM2	925	9.840888977050781	0.22589532	Yes	
row_4	RPA2	996	9.524344444274902	0.2727396	Yes	
row_5	MCM3	1030	9.353763580322266	0.3205868	Yes	
row_6	RFC5	1235	8.346321105957031	0.35428625	Yes	
row_7	RPA1	1454	7.608365535736084	0.38335532	Yes	
row_8	SSBP1	1674	6.9058074951171875	0.40865135	Yes	
row_9	RFC3	1714	6.8166399002075195	0.44275007	Yes	
row_10	RFC2	1859	6.418371677398682	0.4693287	Yes	
row_11	POLD2	1901	6.305777549743652	0.5006183	Yes	
row_12	MCM6	1913	6.284644603729248	0.5333417	Yes	
row_13	POLE	1951	6.201318740844727	0.5642841	Yes	
row_14	POLA1	2442	5.181334018707275	0.5664814	Yes	
row_15	MCM7	2467	5.127743244171143	0.5924068	Yes	
row_16	RNASEH2A	3077	4.113646030426025	0.58281666	Yes	
row_17	RFC4	3172	3.9551889896392822	0.59892404	Yes	
row_18	MCM5	3278	3.796969175338745	0.6136264	Yes	
row_19	MCM4	3405	3.639540433883667	0.62641287	Yes	
row_20	MCM2	3420	3.6142518520355225	0.6448365	Yes	
row_21	POLE2	3431	3.598290205001831	0.66338164	Yes	
row_22	LIG1	3672	3.319788932800293	0.66860014	Yes	
row_23	RPA3	3866	3.087667226791382	0.6750109	Yes	
row_24	PRIM1	3965	2.971740484237671	0.68570274	Yes	
row_25	POLE4	4103	2.811877727508545	0.6935381	Yes	
row_26	RPA4	4251	2.6517550945281982	0.7000101	Yes	
row_27	RNASEH2B	4456	2.4287848472595215	0.7023639	Yes	
row_28	RFC1	5707	1.404623031616211	0.64539456	No	
row_29	RNASEH2C	9193	0.029325488954782486	0.46597552	No	
row_30	RNASEH1	13180	-1.1777122020721436	0.26682416	No	
row_31	POLD4	18603	-10.493569374084473	0.04302569	No	
