NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SDC2	806	10.611141204833984	-0.010717932	No	
row_1	COL5A2	1051	9.223958969116211	0.0035334097	No	
row_2	FN1	1205	8.518939971923828	0.020429678	No	
row_3	COL4A4	1216	8.442703247070312	0.04448472	No	
row_4	SV2C	1557	7.244837284088135	0.0480213	No	
row_5	DAG1	1994	6.115890026092529	0.043317415	No	
row_6	COL5A1	2220	5.596677303314209	0.047992766	No	
row_7	COL4A2	2997	4.212275981903076	0.020200325	No	
row_8	LAMA1	3453	3.571547031402588	0.0071108835	No	
row_9	LAMA2	4074	2.838463544845581	-0.016628213	No	
row_10	ITGA6	4271	2.627960681915283	-0.019096073	No	
row_11	COL6A3	5103	1.8554376363754272	-0.056586433	No	
row_12	COL2A1	5194	1.7835532426834106	-0.056040842	No	
row_13	ITGA9	5537	1.514559030532837	-0.069284566	No	
row_14	COL5A3	5993	1.2412328720092773	-0.089156024	No	
row_15	HMMR	6421	0.9803317785263062	-0.108341634	No	
row_16	COL1A1	6552	0.9143378734588623	-0.11239027	No	
row_17	LAMC3	7294	0.5657012462615967	-0.14898905	No	
row_18	GP1BB	7485	0.4906530976295471	-0.15736753	No	
row_19	ITGA5	7647	0.43208834528923035	-0.16441968	No	
row_20	THBS1	8050	0.301750123500824	-0.18428987	No	
row_21	LAMB1	8743	0.12237361818552017	-0.21964985	No	
row_22	CD36	9407	-0.010741590522229671	-0.25383794	No	
row_23	ITGAV	9413	-0.011319912038743496	-0.25406307	No	
row_24	ITGB8	9637	-0.049106039106845856	-0.26542982	No	
row_25	ITGA1	9916	-0.10551901161670685	-0.27947113	No	
row_26	LAMA3	9988	-0.12433484941720963	-0.2827738	No	
row_27	COL11A2	10001	-0.12678006291389465	-0.28302416	No	
row_28	VTN	10213	-0.17875467240810394	-0.29339424	No	
row_29	ITGB3	11014	-0.3895277678966522	-0.3335509	No	
row_30	COL4A6	11632	-0.5805283188819885	-0.36370653	No	
row_31	LAMC1	12509	-0.8992617726325989	-0.40630227	No	
row_32	ITGA11	12991	-1.0953830480575562	-0.42794013	No	
row_33	CHAD	13181	-1.178375244140625	-0.4342655	No	
row_34	ITGA4	13428	-1.314807415008545	-0.44313574	No	
row_35	VWF	13524	-1.3729795217514038	-0.44404313	No	
row_36	TNXB	14067	-1.7175809144973755	-0.46701857	No	
row_37	SDC4	14884	-2.3475914001464844	-0.5023024	No	
row_38	ITGB7	14897	-2.3581361770629883	-0.49605876	No	
row_39	COL6A2	15584	-3.0314793586730957	-0.52264255	No	
row_40	LAMB2	16183	-3.7847135066986084	-0.5424923	No	
row_41	CD44	16795	-4.7061567306518555	-0.5603312	No	
row_42	ITGA2B	16871	-4.81798791885376	-0.5501802	No	
row_43	AGRN	17491	-6.165152549743652	-0.56418586	Yes	
row_44	LAMB3	17617	-6.45257043838501	-0.55185825	Yes	
row_45	THBS3	17657	-6.554923057556152	-0.5347941	Yes	
row_46	LAMA5	17716	-6.714399814605713	-0.5182464	Yes	
row_47	COL6A1	17744	-6.796192646026611	-0.49986073	Yes	
row_48	THBS4	17792	-6.929344654083252	-0.48211977	Yes	
row_49	ITGA3	17876	-7.209871292114258	-0.46542042	Yes	
row_50	CD47	17907	-7.290529251098633	-0.44575086	Yes	
row_51	LAMC2	17998	-7.64840030670166	-0.42813656	Yes	
row_52	ITGA7	18169	-8.332841873168945	-0.41265932	Yes	
row_53	ITGA2	18175	-8.370545387268066	-0.3885562	Yes	
row_54	SDC3	18415	-9.505486488342285	-0.37322748	Yes	
row_55	HSPG2	18489	-9.854716300964355	-0.34831458	Yes	
row_56	SV2A	18589	-10.389669418334961	-0.32318676	Yes	
row_57	ITGB6	18591	-10.392037391662598	-0.29299396	Yes	
row_58	LAMA4	18628	-10.666644096374512	-0.26380843	Yes	
row_59	ITGA10	18963	-13.951377868652344	-0.24044384	Yes	
row_60	ITGB5	19027	-14.771424293518066	-0.20070553	Yes	
row_61	ITGB1	19145	-17.087215423583984	-0.15701456	Yes	
row_62	ITGB4	19168	-17.67280387878418	-0.10671611	Yes	
row_63	SDC1	19433	-41.438323974609375	2.5784757E-4	Yes	
