NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	B4GALT1	647	11.730595588684082	0.114799425	No	
row_1	FUT8	2635	4.823915004730225	0.07340933	No	
row_2	B3GNT7	2949	4.291334629058838	0.11147699	No	
row_3	B4GALT3	6971	0.7085692286491394	-0.08658866	No	
row_4	B4GAT1	7942	0.33324551582336426	-0.13231938	No	
row_5	CHST1	8030	0.3058416247367859	-0.13293685	No	
row_6	ST3GAL3	10343	-0.21012097597122192	-0.24931191	No	
row_7	CHST2	10789	-0.3218296766281128	-0.26815835	No	
row_8	B4GALT2	11049	-0.40175727009773254	-0.27641982	No	
row_9	CHST4	11441	-0.5185908079147339	-0.2900019	No	
row_10	ST3GAL2	13210	-1.1928818225860596	-0.36596218	No	
row_11	B4GALT4	18229	-8.583012580871582	-0.5159345	Yes	
row_12	CHST6	18871	-12.79157543182373	-0.38743046	Yes	
row_13	B3GNT2	19098	-16.16481590270996	-0.19497101	Yes	
row_14	ST3GAL1	19138	-16.824512481689453	0.015444916	Yes	
