NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFRSF13C	2166	5.707763671875	-0.049303897	No	
row_1	CCL28	3667	3.324176073074341	-0.09030989	No	
row_2	MAP3K14	5685	1.414811611175537	-0.17880146	No	
row_3	HLA-DOB	6551	0.9144876003265381	-0.21339194	No	
row_4	CXCL12	6943	0.7200132608413696	-0.22568004	No	
row_5	ICOSLG	7123	0.6368128061294556	-0.22795196	No	
row_6	HLA-DRA	8196	0.26069432497024536	-0.28034663	No	
row_7	HLA-DPB1	9907	-0.10318708419799805	-0.36733723	No	
row_8	HLA-DOA	10533	-0.25667181611061096	-0.39674172	No	
row_9	TNFSF13B	10793	-0.3229280710220337	-0.40656272	No	
row_10	HLA-DQA1	11040	-0.39926543831825256	-0.41488048	No	
row_11	CD28	11062	-0.4049569368362427	-0.41154173	No	
row_12	CXCR4	11106	-0.4181768000125885	-0.40919235	No	
row_13	HLA-DRB5	11195	-0.4428495466709137	-0.40889248	No	
row_14	HLA-DPA1	11338	-0.4878474175930023	-0.41088402	No	
row_15	CCR10	11636	-0.581073522567749	-0.41984507	No	
row_16	HLA-DRB1	11667	-0.5896677374839783	-0.41495362	No	
row_17	CD86	11781	-0.6264868974685669	-0.41393727	No	
row_18	HLA-DQB1	12318	-0.8129659295082092	-0.43268254	No	
row_19	HLA-DMB	12401	-0.8533326387405396	-0.4275923	No	
row_20	HLA-DRB4	12473	-0.8859227299690247	-0.42157942	No	
row_21	CD40LG	13316	-1.2492592334747314	-0.45133004	No	
row_22	ITGA4	13428	-1.314807415008545	-0.4426963	No	
row_23	MADCAM1	13605	-1.4167523384094238	-0.43629912	No	
row_24	PIGR	14487	-2.027913808822632	-0.45955893	No	
row_25	ITGB7	14897	-2.3581361770629883	-0.45489135	No	
row_26	IL15	16703	-4.557437896728516	-0.49815074	Yes	
row_27	LTBR	17261	-5.63226842880249	-0.4653663	Yes	
row_28	TNFSF13	17869	-7.179649829864502	-0.41826582	Yes	
row_29	TGFB1	18058	-7.890524864196777	-0.3418135	Yes	
row_30	CD40	18439	-9.617941856384277	-0.25639698	Yes	
row_31	HLA-DMA	18630	-10.674253463745117	-0.14965805	Yes	
row_32	IL15RA	19160	-17.518070220947266	0.014325279	Yes	
