NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VAV3	205	18.228933334350586	0.02314766	No	
row_1	CASP3	216	17.900060653686523	0.055769205	No	
row_2	VAV2	247	17.022958755493164	0.08573283	No	
row_3	RAF1	446	13.61773681640625	0.100705676	No	
row_4	PLCG1	455	13.494531631469727	0.12527461	No	
row_5	MICB	991	9.54182243347168	0.11527664	No	
row_6	NFATC2	1536	7.3359785079956055	0.1007296	No	
row_7	KRAS	1633	7.027275562286377	0.108775474	No	
row_8	FYN	1691	6.8637495040893555	0.11853516	No	
row_9	IFNGR1	1873	6.382045269012451	0.120991476	No	
row_10	ICAM2	2075	5.93092679977417	0.121578515	No	
row_11	PIK3R1	2162	5.7357988357543945	0.12775053	No	
row_12	BID	2322	5.400402069091797	0.12952705	No	
row_13	HRAS	2476	5.11203145980835	0.13107996	No	
row_14	NRAS	2718	4.662802219390869	0.12725104	No	
row_15	SYK	2905	4.360232353210449	0.12570582	No	
row_16	PTPN11	3460	3.5633699893951416	0.10365744	No	
row_17	ULBP3	3772	3.2126402854919434	0.093524374	No	
row_18	RAC3	4067	2.846532106399536	0.08359254	No	
row_19	RAET1L	4416	2.4737205505371094	0.070178375	No	
row_20	CHP2	4603	2.2839434146881104	0.064789295	No	
row_21	PPP3CA	5178	1.7990885972976685	0.03844055	No	
row_22	TNF	5421	1.6012693643569946	0.028892076	No	
row_23	PLCG2	5772	1.3648443222045898	0.01332162	No	
row_24	PIK3R3	6224	1.102961540222168	-0.007955998	No	
row_25	MAPK1	6292	1.055545449256897	-0.009466177	No	
row_26	ULBP2	7809	0.37541663646698	-0.08715793	No	
row_27	MAP2K2	7909	0.3441573977470398	-0.09163971	No	
row_28	GRB2	7992	0.3151477873325348	-0.09529619	No	
row_29	PPP3R1	8255	0.2441329061985016	-0.10839128	No	
row_30	ULBP1	8866	0.0937088206410408	-0.13975865	No	
row_31	RAC1	8884	0.08997422456741333	-0.14047107	No	
row_32	LAT	8912	0.0846208781003952	-0.14171049	No	
row_33	ICAM1	9326	0.003878174349665642	-0.16305801	No	
row_34	SH2D1B	9366	-0.003942072857171297	-0.16506726	No	
row_35	BRAF	9699	-0.06063986197113991	-0.1821215	No	
row_36	MICA	9888	-0.09925750643014908	-0.19165853	No	
row_37	CD244	10020	-0.12974998354911804	-0.19819184	No	
row_38	PPP3CB	10612	-0.2753821015357971	-0.22824045	No	
row_39	PRKCB	10631	-0.27951890230178833	-0.22865368	No	
row_40	FCER1G	10891	-0.3515968322753906	-0.24139471	No	
row_41	SH2D1A	11023	-0.3920775055885315	-0.24744238	No	
row_42	KLRK1	11147	-0.4310723841190338	-0.2530042	No	
row_43	TYROBP	11284	-0.4667702317237854	-0.2591721	No	
row_44	CD247	11424	-0.5142878890037537	-0.2654072	No	
row_45	KLRD1	11837	-0.6437791585922241	-0.28551835	No	
row_46	RAET1G	11861	-0.6530898213386536	-0.28549853	No	
row_47	PIK3CG	12011	-0.6977429986000061	-0.29191104	No	
row_48	GZMB	12109	-0.7315313816070557	-0.29557225	No	
row_49	LCP2	12201	-0.7620514631271362	-0.29886672	No	
row_50	FAS	12254	-0.7871719598770142	-0.30009815	No	
row_51	ITGAL	12335	-0.8194947838783264	-0.3027175	No	
row_52	PIK3R5	12453	-0.879507303237915	-0.30713892	No	
row_53	PRF1	12495	-0.8920127749443054	-0.30760747	No	
row_54	PIK3R2	12553	-0.9136269092559814	-0.3088633	No	
row_55	ZAP70	12591	-0.9314297437667847	-0.30905208	No	
row_56	CD48	12870	-1.0487765073776245	-0.32148483	No	
row_57	FCGR3A	12985	-1.0935206413269043	-0.3253549	No	
row_58	TNFRSF10A	13171	-1.174920916557312	-0.33274543	No	
row_59	HCST	13236	-1.2052662372589111	-0.3338233	No	
row_60	IFNAR1	13336	-1.2621325254440308	-0.3366056	No	
row_61	PTPN6	13338	-1.26449716091156	-0.33431634	No	
row_62	LCK	13385	-1.2877284288406372	-0.33431086	No	
row_63	ARAF	13887	-1.5935174226760864	-0.35726562	No	
row_64	SHC2	13965	-1.6511152982711792	-0.35819027	No	
row_65	NFAT5	14006	-1.6774601936340332	-0.35715303	No	
row_66	PIK3CD	15425	-2.861424207687378	-0.42517516	No	
row_67	PTK2B	16031	-3.5867438316345215	-0.4498173	No	
row_68	TNFRSF10C	16180	-3.7774109840393066	-0.45047668	No	
row_69	ITGB2	16413	-4.101524353027344	-0.45487934	No	
row_70	CHP1	16572	-4.359711170196533	-0.45497775	Yes	
row_71	PIK3CA	16695	-4.5437493324279785	-0.452874	Yes	
row_72	SHC1	16771	-4.6613874435424805	-0.4481223	Yes	
row_73	VAV1	16812	-4.733750820159912	-0.4414269	Yes	
row_74	MAP2K1	16969	-5.021719932556152	-0.4401963	Yes	
row_75	PPP3CC	17109	-5.294206619262695	-0.43758225	Yes	
row_76	TNFRSF10B	17565	-6.326387405395508	-0.4493965	Yes	
row_77	HLA-C	17715	-6.713386058807373	-0.44467217	Yes	
row_78	PIK3CB	17977	-7.583179473876953	-0.4441287	Yes	
row_79	HLA-E	18126	-8.181218147277832	-0.43663523	Yes	
row_80	NFATC1	18134	-8.208824157714844	-0.42180008	Yes	
row_81	RAC2	18195	-8.451391220092773	-0.40925628	Yes	
row_82	SOS2	18236	-8.615341186523438	-0.39537483	Yes	
row_83	TNFRSF10D	18329	-9.095338821411133	-0.3832935	Yes	
row_84	IFNAR2	18504	-9.924729347229004	-0.37391663	Yes	
row_85	NFATC4	18535	-10.101259231567383	-0.35676724	Yes	
row_86	NFATC3	18636	-10.719489097595215	-0.34209272	Yes	
row_87	SHC3	18676	-11.018004417419434	-0.3237115	Yes	
row_88	IFNGR2	18812	-12.173336029052734	-0.3081552	Yes	
row_89	SOS1	18859	-12.696107864379883	-0.28702924	Yes	
row_90	PRKCG	18996	-14.427245140075684	-0.26735196	Yes	
row_91	SH3BP2	19026	-14.768879890441895	-0.24150962	Yes	
row_92	PAK1	19079	-15.472042083740234	-0.21555476	Yes	
row_93	HLA-B	19170	-17.705915451049805	-0.18742914	Yes	
row_94	HLA-A	19184	-18.035036087036133	-0.15471284	Yes	
row_95	TNFSF10	19258	-20.419919967651367	-0.120683745	Yes	
row_96	HLA-G	19305	-22.699440002441406	-0.08103848	Yes	
row_97	MAPK3	19306	-22.72773551940918	-0.038962334	Yes	
row_98	PRKCA	19333	-24.70450782775879	0.0054290667	Yes	
