NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UGT2A3	125	21.287513732910156	0.22118214	Yes	
row_1	RPE	560	12.436973571777344	0.3318157	Yes	
row_2	UGDH	710	11.252640724182129	0.4444627	Yes	
row_3	UGT1A8	1101	8.949055671691895	0.52006716	Yes	
row_4	XYLB	1677	6.891753196716309	0.5641464	Yes	
row_5	UGT1A10	2632	4.82890510559082	0.56665045	Yes	
row_6	UGT1A1	2664	4.759121894836426	0.61594146	Yes	
row_7	AKR1B1	2913	4.348663330078125	0.64966846	Yes	
row_8	DCXR	3119	4.0391974449157715	0.6823009	Yes	
row_9	UGT1A7	4105	2.809715509414673	0.661618	No	
row_10	UGT1A6	5126	1.8409981727600098	0.6287745	No	
row_11	UGT2B7	5973	1.2526719570159912	0.59860104	No	
row_12	UGT2B17	6288	1.060178518295288	0.5937666	No	
row_13	UGT1A3	6367	1.0076926946640015	0.6005246	No	
row_14	UGT1A9	6655	0.8550965785980225	0.59488773	No	
row_15	RPEL1	7016	0.687358021736145	0.5836979	No	
row_16	GUSB	7180	0.6074316501617432	0.5817987	No	
row_17	UGT2B15	8497	0.17770089209079742	0.5159266	No	
row_18	DHDH	9802	-0.07822751253843307	0.44960883	No	
row_19	CRYL1	13327	-1.257521390914917	0.28157395	No	
row_20	UGP2	15627	-3.093951463699341	0.19626112	No	
