NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RRP9	7	46.78889083862305	0.05909032	Yes	
row_1	MSANTD3	88	23.328136444091797	0.084585644	Yes	
row_2	POLE3	157	20.002763748168945	0.106477566	Yes	
row_3	NCL	184	19.142892837524414	0.12945406	Yes	
row_4	CEMIP2	295	16.048786163330078	0.14414461	Yes	
row_5	BRPF1	302	15.86754035949707	0.16399598	Yes	
row_6	NIFK	306	15.787351608276367	0.18390095	Yes	
row_7	PTP4A1	378	14.561750411987305	0.19872364	Yes	
row_8	DNAJA1	396	14.28016185760498	0.21598776	Yes	
row_9	TIMM22	506	12.951281547546387	0.22679424	Yes	
row_10	NOP16	518	12.88078784942627	0.24259125	Yes	
row_11	ZBTB2	610	12.016254425048828	0.25314268	Yes	
row_12	F3	616	11.970349311828613	0.26809385	Yes	
row_13	MAPRE1	617	11.956683158874512	0.28328684	Yes	
row_14	RFK	654	11.683157920837402	0.2962661	Yes	
row_15	AMD1	655	11.675847053527832	0.31110224	Yes	
row_16	UGDH	710	11.252640724182129	0.32260138	Yes	
row_17	MRPS35	757	10.88103199005127	0.33404306	Yes	
row_18	DSP	814	10.558372497558594	0.34455633	Yes	
row_19	DKC1	855	10.295644760131836	0.3555652	Yes	
row_20	EMC6	1017	9.407025337219238	0.35917252	Yes	
row_21	ADRM1	1136	8.790329933166504	0.3642253	Yes	
row_22	VTA1	1141	8.77769660949707	0.37517148	Yes	
row_23	ILF2	1166	8.683289527893066	0.38496095	Yes	
row_24	DHX33	1203	8.521011352539062	0.39392218	Yes	
row_25	NIP7	1403	7.770176410675049	0.39347982	Yes	
row_26	YOD1	1414	7.724982738494873	0.40277734	Yes	
row_27	DNTTIP2	1438	7.662318706512451	0.41132134	Yes	
row_28	CRISPLD2	1473	7.538506031036377	0.4191378	Yes	
row_29	SMTN	1504	7.439133167266846	0.42703533	Yes	
row_30	PPIF	1598	7.117953300476074	0.431259	Yes	
row_31	DCBLD1	1651	6.9774250984191895	0.43742946	Yes	
row_32	EIF4A1	1792	6.584183216094971	0.4385385	Yes	
row_33	AMMECR1L	1842	6.4544219970703125	0.4441999	Yes	
row_34	TDG	1935	6.230823516845703	0.44734812	Yes	
row_35	RGMB	1942	6.220895767211914	0.4549418	Yes	
row_36	EIF4A3	2038	6.005360126495361	0.45764804	Yes	
row_37	GNL2	2160	5.736963272094727	0.45866546	Yes	
row_38	TENT4A	2216	5.6040520668029785	0.4629353	Yes	
row_39	KPNA4	2329	5.383179187774658	0.4639697	Yes	
row_40	NUP54	2450	5.156267166137695	0.4643011	Yes	
row_41	HLX	2525	5.02645206451416	0.46685207	Yes	
row_42	CTPS1	2534	5.004471302032471	0.4727964	Yes	
row_43	LRRC8A	2765	4.574929237365723	0.46668696	Yes	
row_44	IRAK1	2881	4.396251201629639	0.4663118	Yes	
row_45	PTGS2	2888	4.37766695022583	0.47156334	Yes	
row_46	ELOC	2947	4.297390937805176	0.47401732	Yes	
row_47	TRMT10C	3007	4.200049877166748	0.47629577	Yes	
row_48	GTPBP4	3241	3.851142406463623	0.46911114	Yes	
row_49	ACTR3	3245	3.844944477081299	0.47384128	Yes	
row_50	ZNF697	3262	3.824333429336548	0.47787133	Yes	
row_51	GAL	3271	3.8095734119415283	0.48229733	Yes	
row_52	RIPK2	3531	3.492493152618408	0.4733092	No	
row_53	ELOA	3686	3.303570508956909	0.46952394	No	
row_54	DDX21	3806	3.1666035652160645	0.46737894	No	
row_55	SMARCA4	3892	3.0549261569976807	0.46685457	No	
row_56	UBE2N	3909	3.0302000045776367	0.46987554	No	
row_57	POM121	4180	2.7207655906677246	0.45933655	No	
row_58	DOT1L	4417	2.4692273139953613	0.45024046	No	
row_59	SHB	4544	2.3466317653656006	0.4466907	No	
row_60	PANX1	4743	2.1574313640594482	0.4391682	No	
row_61	TIMM23	4779	2.1219639778137207	0.4400502	No	
row_62	CHUK	4836	2.0735859870910645	0.43978214	No	
row_63	PNP	4940	1.983026385307312	0.43696263	No	
row_64	SOX9	5088	1.8649132251739502	0.4317122	No	
row_65	C21orf91	5104	1.855077862739563	0.43329182	No	
row_66	HECTD2	5106	1.8542004823684692	0.43559605	No	
row_67	TOP1	5561	1.4951268434524536	0.4139616	No	
row_68	UTP3	5622	1.456752896308899	0.41270238	No	
row_69	NSG1	5666	1.4262280464172363	0.41228563	No	
row_70	SRP72	5689	1.4126430749893188	0.4129402	No	
row_71	RNPS1	5889	1.297785758972168	0.40427357	No	
row_72	PUM3	6153	1.142909288406372	0.39209253	No	
row_73	C8orf76	6154	1.142756462097168	0.39354458	No	
row_74	DLX2	6300	1.049463152885437	0.38736165	No	
row_75	GATA2	6387	0.9962661862373352	0.38416952	No	
row_76	ZNF324	6600	0.8867166638374329	0.37430668	No	
row_77	IL11	6631	0.8668577671051025	0.37385303	No	
row_78	FOXD1	7226	0.5922849774360657	0.34381407	No	
row_79	TBX2	7243	0.5842046737670898	0.343727	No	
row_80	MOB1B	7264	0.5776327252388	0.34342423	No	
row_81	VGLL4	7321	0.5558302998542786	0.3412276	No	
row_82	SLC16A1	7457	0.503667414188385	0.3348695	No	
row_83	FJX1	7519	0.476443886756897	0.33231282	No	
row_84	YWHAG	7835	0.36608096957206726	0.3164491	No	
row_85	CSRNP2	8147	0.2756543457508087	0.30067787	No	
row_86	USP36	8259	0.2421787530183792	0.29523164	No	
row_87	MAP2K3	8310	0.22846752405166626	0.29293007	No	
row_88	CCDC59	8346	0.21648219227790833	0.2913908	No	
row_89	PHF20L1	8832	0.10081671178340912	0.26637766	No	
row_90	PCSK7	9201	0.02738696150481701	0.24733621	No	
row_91	NRIP1	9272	0.014543421566486359	0.24372604	No	
row_92	GABPB2	9324	0.004013372119516134	0.24108744	No	
row_93	SREK1IP1	9682	-0.05800296366214752	0.2226551	No	
row_94	TXNDC12	9897	-0.10130592435598373	0.21169056	No	
row_95	THAP12	10271	-0.19205276668071747	0.19259916	No	
row_96	NMD3	10305	-0.20290102064609528	0.19114634	No	
row_97	ETS1	10692	-0.29551151394844055	0.1715125	No	
row_98	PTPN12	10698	-0.2968966066837311	0.17163058	No	
row_99	MYO9B	10801	-0.3251301050186157	0.16675627	No	
row_100	ZBTB12	11288	-0.4680597186088562	0.14215793	No	
row_101	CD33	11579	-0.5617449283599854	0.12783879	No	
row_102	EHD4	11606	-0.5712264776229858	0.12721686	No	
row_103	USP12	11655	-0.5851137042045593	0.12547213	No	
row_104	ATG101	11937	-0.67229825258255	0.11176003	No	
row_105	DIS3	12175	-0.7520632147789001	0.10043013	No	
row_106	CD274	12283	-0.7991905808448792	0.09589901	No	
row_107	SPRY4	12383	-0.8431133031845093	0.0918384	No	
row_108	B3GNT6	12465	-0.8823992609977722	0.088760786	No	
row_109	HMGA1	12666	-0.9619516134262085	0.07961558	No	
row_110	PTPN1	12737	-0.9907897114753723	0.077245906	No	
row_111	ZNF800	12947	-1.0781246423721313	0.06778178	No	
row_112	SLC28A1	13106	-1.147138237953186	0.061049066	No	
row_113	BCAR1	13239	-1.2059416770935059	0.055738848	No	
row_114	SEC24A	13417	-1.3052217960357666	0.04822209	No	
row_115	CBFB	13552	-1.3881529569625854	0.043039728	No	
row_116	SCHIP1	13729	-1.4962025880813599	0.03581748	No	
row_117	FZD8	14336	-1.9144072532653809	0.0068364465	No	
row_118	TNFRSF12A	14357	-1.9300521612167358	0.00825215	No	
row_119	HBEGF	14387	-1.952734112739563	0.009230137	No	
row_120	ELL	14883	-2.34745192527771	-0.013446663	No	
row_121	TFG	15256	-2.6861629486083984	-0.029317044	No	
row_122	REST	15708	-3.18626070022583	-0.04864714	No	
row_123	KLF13	15750	-3.22772216796875	-0.046671115	No	
row_124	SNAI1	15773	-3.2499239444732666	-0.043681968	No	
row_125	FAM107B	15790	-3.2642323970794678	-0.040363614	No	
row_126	FRMD6	16077	-3.6447060108184814	-0.050557964	No	
row_127	PXN	16236	-3.863413095474243	-0.053839196	No	
row_128	STC1	16303	-3.940150737762451	-0.052253854	No	
row_129	PHLPP2	16409	-4.097625255584717	-0.05249008	No	
row_130	SLC30A1	16550	-4.331135272979736	-0.05424391	No	
row_131	KLF10	16671	-4.511166572570801	-0.054732233	No	
