NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MME	49	27.675809860229492	0.044591464	No	
row_1	ADGRB2	229	17.38614273071289	0.06492884	No	
row_2	ANKRD29	471	13.225400924682617	0.07497031	No	
row_3	ME1	878	10.156990051269531	0.07124227	No	
row_4	DAAM2	1036	9.331366539001465	0.079002485	No	
row_5	GAS1	1497	7.466275215148926	0.06789611	No	
row_6	KIT	1981	6.129901885986328	0.053323016	No	
row_7	NFKBIE	2365	5.32114315032959	0.042551085	No	
row_8	HMGCS1	2413	5.2353057861328125	0.049032394	No	
row_9	TOX	2725	4.6503143310546875	0.04084656	No	
row_10	PDE5A	2922	4.334194183349609	0.038077563	No	
row_11	SCML1	3199	3.910104751586914	0.030443672	No	
row_12	SOD2	3409	3.635467767715454	0.02581163	No	
row_13	LRIG1	3630	3.375185012817383	0.020166729	No	
row_14	BTG2	4482	2.4063782691955566	-0.019803619	No	
row_15	GAS6	4970	1.9538111686706543	-0.041695282	No	
row_16	HHEX	5377	1.6317369937896729	-0.059940897	No	
row_17	FDXR	5535	1.5147390365600586	-0.06549154	No	
row_18	CCN3	5782	1.3595561981201172	-0.075915225	No	
row_19	TRIM22	5946	1.2674599885940552	-0.08219766	No	
row_20	SLC25A1	6322	1.0338244438171387	-0.09985615	No	
row_21	ACKR4	6473	0.9546440243721008	-0.10599809	No	
row_22	FTH1	6594	0.8901792764663696	-0.11069629	No	
row_23	OLFML2A	7003	0.6925875544548035	-0.13064474	No	
row_24	PLBD2	7018	0.6859148740768433	-0.13020168	No	
row_25	F8	7127	0.6344367265701294	-0.13471398	No	
row_26	PRKCI	7242	0.5853468179702759	-0.13962056	No	
row_27	ASS1	7366	0.5388965010643005	-0.14507231	No	
row_28	CAVIN2	7399	0.5269866585731506	-0.145832	No	
row_29	HMGCR	7456	0.5039038062095642	-0.1478738	No	
row_30	C2orf27A	7656	0.42999887466430664	-0.15744656	No	
row_31	EPHB6	7756	0.39195963740348816	-0.16190572	No	
row_32	DRAM1	7908	0.3448176980018616	-0.16913791	No	
row_33	GSN	8099	0.289619505405426	-0.17848366	No	
row_34	L1CAM	8230	0.24997809529304504	-0.1847899	No	
row_35	SUMF1	8465	0.18758061528205872	-0.19658792	No	
row_36	EPSTI1	8562	0.16507360339164734	-0.20127808	No	
row_37	SHTN1	8582	0.16042056679725647	-0.20198879	No	
row_38	ALPI	8671	0.13957102596759796	-0.20630811	No	
row_39	EXOC6	8732	0.1234065368771553	-0.20920499	No	
row_40	MAMLD1	8886	0.08996400237083435	-0.21697474	No	
row_41	TSKU	8916	0.08319074660539627	-0.21833481	No	
row_42	DPP4	9183	0.030481206253170967	-0.23205744	No	
