NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GCNT1	27	32.07085418701172	0.0322984	No	
row_1	VAV3	205	18.228933334350586	0.042263452	No	
row_2	TUBB2A	485	13.065587043762207	0.04150688	No	
row_3	WNT5A	598	12.116868019104004	0.048424203	No	
row_4	GCLM	698	11.330028533935547	0.055189688	No	
row_5	CARMIL1	836	10.408141136169434	0.059013445	No	
row_6	GABBR2	883	10.112186431884766	0.06725103	No	
row_7	MGAT4A	1018	9.405210494995117	0.07017666	No	
row_8	COL5A2	1051	9.223958969116211	0.07820778	No	
row_9	RCAN1	1107	8.92818832397461	0.084733926	No	
row_10	APOBEC3B	1292	8.146307945251465	0.083740644	No	
row_11	CASP7	1421	7.704942226409912	0.08519115	No	
row_12	CRISPLD2	1473	7.538506031036377	0.09046469	No	
row_13	TNFRSF11B	1476	7.534142017364502	0.09827777	No	
row_14	ETS2	1786	6.597076416015625	0.08916641	No	
row_15	SOCS2	1849	6.4416327476501465	0.09271622	No	
row_16	ATF3	2499	5.074633598327637	0.064351894	No	
row_17	MAP2K4	2656	4.783843994140625	0.0612791	No	
row_18	SLC4A7	2824	4.493813514709473	0.05733041	No	
row_19	CSGALNACT1	2834	4.473817348480225	0.061564237	No	
row_20	GAL	3271	3.8095734119415283	0.042929772	No	
row_21	TAF1A	3427	3.6025784015655518	0.03866762	No	
row_22	S100P	3790	3.181025505065918	0.023214828	No	
row_23	MAOA	4155	2.74822735786438	0.0072034113	No	
row_24	SDCBP	4221	2.672806978225708	0.006637145	No	
row_25	CLDN1	4230	2.6679670810699463	0.009025294	No	
row_26	RGS16	4833	2.0779924392700195	-0.020047627	No	
row_27	RND1	5016	1.9171667098999023	-0.027482692	No	
row_28	A2M	5021	1.914495825767517	-0.025678612	No	
row_29	PDE4B	5120	1.843458652496338	-0.028829759	No	
row_30	CMAHP	5212	1.7660366296768188	-0.031698816	No	
row_31	SLC9A6	5256	1.7340372800827026	-0.032109283	No	
row_32	SNX16	5396	1.6172538995742798	-0.037626892	No	
row_33	PLAGL1	5494	1.5336934328079224	-0.041051622	No	
row_34	NFIL3	5555	1.500688076019287	-0.04258995	No	
row_35	CEBPD	5735	1.3892420530319214	-0.050424002	No	
row_36	PIGA	5737	1.3869224786758423	-0.049018536	No	
row_37	SEC23A	5796	1.3527933359146118	-0.050608434	No	
row_38	DUSP4	5830	1.3360974788665771	-0.05091785	No	
row_39	SGPP1	5902	1.2923650741577148	-0.05324622	No	
row_40	AKAP12	5953	1.2642498016357422	-0.054513793	No	
row_41	SLC12A2	6259	1.079712152481079	-0.069215156	No	
row_42	SCCPDH	6491	0.9415133595466614	-0.080219574	No	
row_43	TAP1	6710	0.8278647661209106	-0.09066844	No	
row_44	LRP8	6763	0.8025870323181152	-0.092524976	No	
row_45	COTL1	6822	0.7732406258583069	-0.09472387	No	
row_46	PMAIP1	6823	0.7732107639312744	-0.09391138	No	
row_47	NFKB2	7379	0.5329083204269409	-0.122167595	No	
row_48	ALAS1	7404	0.525511622428894	-0.12286149	No	
row_49	PLAC1	7499	0.48534896969795227	-0.12723206	No	
row_50	CCN1	7781	0.3844456970691681	-0.1414179	No	
row_51	DRAM1	7908	0.3448176980018616	-0.14759763	No	
row_52	KLF4	8017	0.30787357687950134	-0.15288159	No	
row_53	ENPP1	8058	0.29996734857559204	-0.15464322	No	
row_54	EXT1	8073	0.2956465482711792	-0.15505946	No	
row_55	ZNF281	8087	0.2911953032016754	-0.15542844	No	
row_56	ETHE1	8233	0.24925188720226288	-0.16269508	No	
row_57	MEIS3P1	8261	0.24188300967216492	-0.16384277	No	
row_58	PHLDA1	8302	0.23023587465286255	-0.16567768	No	
row_59	IMPA1	8531	0.17190417647361755	-0.17733505	No	
row_60	MIR22HG	8627	0.15084929764270782	-0.18210904	No	
row_61	SUSD6	8942	0.07500618696212769	-0.19833344	No	
row_62	CTNNAL1	8962	0.07084847241640091	-0.1992455	No	
row_63	GBP1	9058	0.05291373282670975	-0.2041224	No	
row_64	TMEM45A	9073	0.05013617128133774	-0.20479661	No	
row_65	ELL2	9308	0.00802802573889494	-0.2169377	No	
row_66	ICAM1	9326	0.003878174349665642	-0.2178163	No	
row_67	EDN1	9423	-0.013682267628610134	-0.22278634	No	
row_68	HOMER1	9660	-0.05373590812087059	-0.23498324	No	
row_69	PGM3	9669	-0.054981768131256104	-0.23534083	No	
row_70	SEL1L3	9690	-0.05956641584634781	-0.23631667	No	
row_71	CYP1B1	9745	-0.0675060972571373	-0.23904946	No	
row_72	ARNT2	9761	-0.06979367882013321	-0.23975495	No	
row_73	F2RL1	9774	-0.0720452219247818	-0.2403023	No	
row_74	BCL3	9984	-0.1236099973320961	-0.25102392	No	
row_75	SNAPC1	10113	-0.15600872039794922	-0.25750586	No	
row_76	GLRX	10135	-0.160631000995636	-0.2584274	No	
row_77	RAB27A	10358	-0.21587875485420227	-0.26972705	No	
row_78	LHFPL2	10381	-0.22162477672100067	-0.27063644	No	
row_79	RPS6KA3	10521	-0.2538580894470215	-0.2775867	No	
row_80	TNS3	10728	-0.3086085319519043	-0.28795817	No	
row_81	SOWAHC	10795	-0.3233630657196045	-0.29104516	No	
row_82	TNFAIP8	11127	-0.4272873103618622	-0.30778205	No	
row_83	IQCG	11131	-0.42790985107421875	-0.30748814	No	
row_84	CYP27B1	11719	-0.60399329662323	-0.33733115	No	
row_85	SPAG1	11734	-0.6090347170829773	-0.33741808	No	
row_86	IRF1	11875	-0.6558769345283508	-0.3439978	No	
row_87	SAT1	11927	-0.6691364645957947	-0.34594265	No	
row_88	EGFR	11939	-0.6732224225997925	-0.34580636	No	
row_89	ARID5B	12093	-0.7265285849571228	-0.35298684	No	
row_90	S100A8	12143	-0.7424650192260742	-0.35475078	No	
row_91	LPAR6	12281	-0.7987713813781738	-0.36102462	No	
row_92	IL1R1	12296	-0.8049607276916504	-0.36090568	No	
row_93	PDLIM7	12527	-0.9050511121749878	-0.37189648	No	
row_94	DBNDD2	12763	-1.0011805295944214	-0.38304588	No	
row_95	S100A9	12789	-1.0130748748779297	-0.38327938	No	
row_96	FHOD1	13138	-1.1615197658538818	-0.40012738	No	
row_97	ISG20	13145	-1.162931203842163	-0.3992169	No	
row_98	AGO2	13247	-1.209289312362671	-0.4031902	No	
row_99	KRT81	13352	-1.270769715309143	-0.40725464	No	
row_100	FGFR3	13464	-1.3349111080169678	-0.41161513	No	
row_101	TNFRSF21	14117	-1.7544760704040527	-0.44362408	No	
row_102	ABCC3	14207	-1.8201578855514526	-0.44633242	No	
row_103	ARAP2	14349	-1.923426866531372	-0.45163214	No	
row_104	HSPA2	14379	-1.9462708234786987	-0.4510927	No	
row_105	HBEGF	14387	-1.952734112739563	-0.4494042	No	
row_106	RNF19A	14531	-2.0610430240631104	-0.45466316	No	
row_107	EPAS1	14538	-2.0674307346343994	-0.4528022	No	
row_108	CADPS2	14608	-2.121384620666504	-0.4541556	No	
row_109	GK3P	14640	-2.15019154548645	-0.45350572	No	
row_110	SPTLC2	14659	-2.163309097290039	-0.4521671	No	
row_111	SQOR	14868	-2.33711576461792	-0.46051082	No	
row_112	HIVEP2	15054	-2.487905263900757	-0.4675019	No	
row_113	LIF	15097	-2.5225627422332764	-0.46703187	No	
row_114	SAMD4A	15102	-2.52663254737854	-0.46458453	No	
row_115	MALL	15160	-2.581693649291992	-0.46483117	No	
row_116	IFIT3	15350	-2.781684637069702	-0.47172126	No	
row_117	PAPSS2	15370	-2.808159351348877	-0.46975693	No	
row_118	FADS3	15389	-2.824838161468506	-0.46772313	No	
row_119	SGMS1	15645	-3.1143906116485596	-0.4776904	No	
row_120	LOXL2	15728	-3.206697463989258	-0.4785783	No	
row_121	SLC7A11	15868	-3.3537402153015137	-0.4822712	No	
row_122	TMEM121	15904	-3.403700828552246	-0.4805118	No	
row_123	NT5C2	16300	-3.938781976699829	-0.49688172	No	
row_124	PSMB9	16394	-4.0702805519104	-0.4974333	No	
row_125	KRT7	16395	-4.072851181030273	-0.49315354	No	
row_126	SLCO2A1	16493	-4.24257755279541	-0.49373177	No	
row_127	GRAMD2B	16508	-4.284450531005859	-0.48995653	No	
row_128	MAP3K5	16624	-4.436721324920654	-0.4912653	No	
row_129	SEPTIN10	16806	-4.725018501281738	-0.49569795	No	
row_130	TCIM	16907	-4.899399757385254	-0.49574172	No	
row_131	CAPN2	17158	-5.391445636749268	-0.50305665	Yes	
row_132	ETV5	17264	-5.642744064331055	-0.5025789	Yes	
row_133	DUSP5	17271	-5.662198543548584	-0.49694055	Yes	
row_134	TBC1D8	17370	-5.885830402374268	-0.49584395	Yes	
row_135	MMP1	17400	-5.946291923522949	-0.49110126	Yes	
row_136	GK	17407	-5.955947399139404	-0.48515424	Yes	
row_137	CCN2	17447	-6.050776481628418	-0.48082095	Yes	
row_138	ARFGAP3	17512	-6.207841396331787	-0.47762066	Yes	
row_139	CEACAM6	17539	-6.2737250328063965	-0.47237813	Yes	
row_140	MMP10	17757	-6.825277328491211	-0.47647297	Yes	
row_141	ITGA3	17876	-7.209871292114258	-0.47502348	Yes	
row_142	CEMIP	17933	-7.390946865081787	-0.4701646	Yes	
row_143	PSMB10	17981	-7.603265762329102	-0.46461535	Yes	
row_144	ATXN1	18023	-7.746187210083008	-0.45860437	Yes	
row_145	ANGPTL4	18070	-7.941305637359619	-0.45264795	Yes	
row_146	MGLL	18141	-8.235337257385254	-0.44762868	Yes	
row_147	KTN1	18158	-8.290691375732422	-0.43974748	Yes	
row_148	ADM	18171	-8.347719192504883	-0.43159872	Yes	
row_149	ITGA2	18175	-8.370545387268066	-0.42295864	Yes	
row_150	MBNL2	18205	-8.477198600769043	-0.41555646	Yes	
row_151	RHOQ	18224	-8.556133270263672	-0.4075002	Yes	
row_152	WIPI1	18257	-8.73499584197998	-0.39998287	Yes	
row_153	JUNB	18265	-8.790214538574219	-0.3911095	Yes	
row_154	TFPI	18316	-9.041522026062012	-0.3842047	Yes	
row_155	PTPRE	18555	-10.184316635131836	-0.38586015	Yes	
row_156	ITGB6	18591	-10.392037391662598	-0.37675735	Yes	
row_157	SMCO4	18644	-10.828117370605469	-0.368079	Yes	
row_158	HK2	18699	-11.174711227416992	-0.35914028	Yes	
row_159	CXADR	18752	-11.610902786254883	-0.34963936	Yes	
row_160	CBLB	18788	-11.912346839904785	-0.338939	Yes	
row_161	CCDC68	18829	-12.36079216003418	-0.32802707	Yes	
row_162	LPP	18852	-12.595635414123535	-0.31593373	Yes	
row_163	ERO1A	18891	-13.020744323730469	-0.30422446	Yes	
row_164	IL4R	18892	-13.020812034606934	-0.2905421	Yes	
row_165	BACE2	18929	-13.461627960205078	-0.27826568	Yes	
row_166	FERMT2	18933	-13.557080268859863	-0.2641756	Yes	
row_167	TNNT1	19123	-16.566801071166992	-0.25658014	Yes	
row_168	DUSP6	19158	-17.46668243408203	-0.23999137	Yes	
row_169	IL15RA	19160	-17.518070220947266	-0.22163518	Yes	
row_170	FNDC3B	19165	-17.59317970275879	-0.20335583	Yes	
row_171	ELK3	19217	-19.111297607421875	-0.18592153	Yes	
row_172	EGLN3	19235	-19.64269256591797	-0.16616352	Yes	
row_173	TGFB2	19267	-20.772010803222656	-0.1459457	Yes	
row_174	GBP2	19338	-24.845783233642578	-0.12347206	Yes	
row_175	LPIN1	19360	-26.873470306396484	-0.09632358	Yes	
row_176	ASPH	19374	-28.584306716918945	-0.066961974	Yes	
row_177	MPZL2	19376	-28.67001724243164	-0.036887243	Yes	
row_178	IGF2BP2	19426	-38.11792755126953	6.2319805E-4	Yes	
