NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HAUS7	362	14.783052444458008	0.030023005	Yes	
row_1	MON1A	399	14.253744125366211	0.07514706	Yes	
row_2	NOP16	518	12.88078784942627	0.11150819	Yes	
row_3	MTX2	573	12.358292579650879	0.14945418	Yes	
row_4	SRXN1	715	11.184306144714355	0.17903471	Yes	
row_5	MRPS35	757	10.88103199005127	0.212783	Yes	
row_6	TMEM11	778	10.734630584716797	0.24713385	Yes	
row_7	TAF11	921	9.856761932373047	0.27228677	Yes	
row_8	PNO1	1379	7.848248481750488	0.27454165	Yes	
row_9	METTL1	1400	7.7746686935424805	0.29913566	Yes	
row_10	ATP5MF	1468	7.555527687072754	0.3205786	Yes	
row_11	IDH1	1755	6.6811604499816895	0.32782277	Yes	
row_12	SLC25A30	1895	6.326312065124512	0.34149334	Yes	
row_13	AHSA1	1983	6.128704071044922	0.3571996	Yes	
row_14	EIF4A3	2038	6.005360126495361	0.37420455	Yes	
row_15	MRPL30	2243	5.556560039520264	0.381979	Yes	
row_16	UBL4A	2373	5.302839756011963	0.39279264	Yes	
row_17	UCHL3	2654	4.788248062133789	0.39410725	Yes	
row_18	C8orf33	3020	4.183131694793701	0.38903493	Yes	
row_19	DNAJB5	3149	3.9890668392181396	0.3955697	Yes	
row_20	MDH2	3688	3.298707962036133	0.37864244	No	
row_21	GTF2H5	3798	3.1746740341186523	0.38347456	No	
row_22	SNRNP25	4465	2.420579433441162	0.3570384	No	
row_23	SNX8	4472	2.415618658065796	0.36469093	No	
row_24	PTS	4475	2.4113986492156982	0.3725362	No	
row_25	NUDCD2	4645	2.240628242492676	0.37118903	No	
row_26	PRSS1	4678	2.2081692218780518	0.3768142	No	
row_27	PFDN2	5085	1.866213321685791	0.361986	No	
row_28	TALDO1	5087	1.8652880191802979	0.36808285	No	
row_29	TUFM	5383	1.626328468322754	0.35819978	No	
row_30	OSBPL10	5528	1.5165989398956299	0.3557578	No	
row_31	VPS72	5544	1.5082961320877075	0.35995448	No	
row_32	FN3KRP	5705	1.4061399698257446	0.35632163	No	
row_33	NKX2-8	6171	1.1310969591140747	0.3360215	No	
row_34	C16orf91	6852	0.7573161125183105	0.30337936	No	
row_35	ZNF576	7187	0.6052520275115967	0.28811523	No	
row_36	ITPK1	7285	0.5702131390571594	0.2849824	No	
row_37	LAMC3	7294	0.5657012462615967	0.28643373	No	
row_38	DNPH1	7348	0.5429428815841675	0.28548467	No	
row_39	MRPL17	7374	0.5343199968338013	0.2859541	No	
row_40	PPCS	7787	0.3826829195022583	0.26592574	No	
row_41	UROS	7843	0.3640463352203369	0.26428366	No	
row_42	NPM3	8080	0.29303890466690063	0.25305447	No	
row_43	MAP2K3	8310	0.22846752405166626	0.24197416	No	
row_44	FBXO4	8391	0.2028907835483551	0.23850901	No	
row_45	TP53I11	8920	0.08272495120763779	0.2114977	No	
row_46	CHCHD1	8963	0.07073979824781418	0.20956056	No	
row_47	NTPCR	9704	-0.061220113188028336	0.1715234	No	
row_48	CAMK2N2	9851	-0.08886942267417908	0.1642719	No	
row_49	DXO	9864	-0.09197946637868881	0.163955	No	
row_50	FAM117A	10047	-0.13728179037570953	0.15500282	No	
row_51	JOSD1	10525	-0.2548883259296417	0.13119438	No	
row_52	CKMT2	10534	-0.2566852867603302	0.1316271	No	
row_53	ZNRD2	10669	-0.29151275753974915	0.12566365	No	
row_54	TAX1BP3	11138	-0.42905545234680176	0.102894396	No	
row_55	ISOC2	11208	-0.4448980391025543	0.10079538	No	
row_56	ACYP1	11320	-0.4797634780406952	0.096640974	No	
row_57	PAGR1	11382	-0.5045711994171143	0.09515206	No	
row_58	MS4A1	11500	-0.5345866084098816	0.09086832	No	
row_59	ANKRD16	11891	-0.6593446731567383	0.07288875	No	
row_60	GEMIN6	12136	-0.7394634485244751	0.062717706	No	
row_61	RSAD1	12353	-0.8265787363052368	0.054280706	No	
row_62	FOXD2	12443	-0.8723677396774292	0.052557267	No	
row_63	PMM2	12470	-0.8844724297523499	0.054129206	No	
row_64	NDRG1	12586	-0.9298043847084045	0.051251564	No	
row_65	MAPK8IP1	12741	-0.9925580024719238	0.046565477	No	
row_66	SNTB1	12796	-1.0149654150009155	0.04712068	No	
row_67	LST1	12834	-1.0286526679992676	0.04859946	No	
row_68	RGS3	13310	-1.2450977563858032	0.028158383	No	
row_69	FBXL13	13448	-1.3257135152816772	0.025448935	No	
row_70	CCDC187	13656	-1.443937063217163	0.019511988	No	
row_71	BOLA1	14350	-1.925431728363037	-0.009951501	No	
row_72	RIPOR3	14356	-1.928941011428833	-0.0038515422	No	
row_73	TMEM230	14403	-1.9649864435195923	2.48588E-4	No	
row_74	C6orf226	14473	-2.019747257232666	0.0033407176	No	
row_75	DEDD	14494	-2.0319266319274902	0.009005032	No	
row_76	UBFD1	14943	-2.4007089138031006	-0.0062316204	No	
row_77	TST	15183	-2.6130781173706055	-0.009968327	No	
row_78	VPS28	16336	-3.986616849899292	-0.05635605	No	
row_79	DPY30	17249	-5.602012634277344	-0.08501716	No	
row_80	BHLHE40	17465	-6.090081691741943	-0.07605251	No	
row_81	ATP8B3	17582	-6.379451274871826	-0.061018262	No	
row_82	IL18	17656	-6.553649425506592	-0.043187816	No	
row_83	FKBP1B	17784	-6.902929306030273	-0.026996458	No	
row_84	PHYKPL	17892	-7.2487006187438965	-0.008631855	No	
row_85	MIRLET7BHG	18844	-12.498701095581055	-0.016574843	No	
row_86	CACNB3	18991	-14.324563026428223	0.02309849	No	
