NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	E2F3	76	24.527437210083008	0.033406045	Yes	
row_1	OXNAD1	98	22.780094146728516	0.06700224	Yes	
row_2	GNL3	151	20.16584587097168	0.0950113	Yes	
row_3	DOLPP1	178	19.23788833618164	0.12295504	Yes	
row_4	TRAIP	243	17.086166381835938	0.14565307	Yes	
row_5	MRPL50	271	16.599891662597656	0.16952841	Yes	
row_6	TMEM250	368	14.706164360046387	0.18694414	Yes	
row_7	UPF3B	413	14.007007598876953	0.2059905	Yes	
row_8	DCAF1	441	13.69140625	0.22543742	Yes	
row_9	CYP2C19	575	12.35250473022461	0.2373518	Yes	
row_10	CDC23	709	11.260313034057617	0.24760325	Yes	
row_11	LUC7L2	754	10.900888442993164	0.26192027	Yes	
row_12	CKS2	805	10.615633964538574	0.27549198	Yes	
row_13	SMC2	839	10.399599075317383	0.28961587	Yes	
row_14	REG1A	859	10.25840950012207	0.30425042	Yes	
row_15	OXSM	1029	9.364524841308594	0.30974948	Yes	
row_16	TBP	1103	8.93452262878418	0.3195695	Yes	
row_17	ARL5A	1118	8.879960060119629	0.33236438	Yes	
row_18	SEH1L	1137	8.789252281188965	0.34481382	Yes	
row_19	NVL	1599	7.116513729095459	0.33175588	Yes	
row_20	RPL39L	1600	7.115635395050049	0.34259003	Yes	
row_21	ZNF101	1750	6.689603328704834	0.3450529	Yes	
row_22	SPDL1	1824	6.508945941925049	0.35117975	Yes	
row_23	MCM6	1913	6.284644603729248	0.35618764	Yes	
row_24	XPO1	1922	6.266836166381836	0.3653148	Yes	
row_25	FTSJ3	1955	6.198452949523926	0.37309393	Yes	
row_26	MRPL9	1978	6.142993927001953	0.3813069	Yes	
row_27	SGO1	2049	5.981019020080566	0.38678545	Yes	
row_28	TNPO1	2134	5.80692720413208	0.3912733	Yes	
row_29	FBXO45	2458	5.1399455070495605	0.38235834	Yes	
row_30	GTF2H1	2474	5.119210720062256	0.38937533	Yes	
row_31	RC3H2	2550	4.970767498016357	0.3930565	Yes	
row_32	CCNJ	2639	4.818604946136475	0.39583224	Yes	
row_33	EPB41L4B	2663	4.763653755187988	0.40189323	Yes	
row_34	RUNX1T1	2682	4.726830959320068	0.4081573	Yes	
row_35	VHL	2694	4.698063850402832	0.41474035	Yes	
row_36	CR2	2723	4.6548590660095215	0.42037654	Yes	
row_37	LATS1	2744	4.61391019821167	0.42636502	Yes	
row_38	TMPRSS2	2746	4.609190940856934	0.43333107	Yes	
row_39	INTS7	2835	4.473653793334961	0.4355816	Yes	
row_40	FIP1L1	2836	4.471375942230225	0.44238964	Yes	
row_41	NUP107	2982	4.2359819412231445	0.441324	Yes	
row_42	TOP2B	3029	4.172423839569092	0.44529268	Yes	
row_43	MYB	3105	4.065873146057129	0.4475961	Yes	
row_44	LARP7	3171	3.9553306102752686	0.4502495	Yes	
row_45	COX7B	3242	3.8483998775482178	0.45248094	Yes	
row_46	MCM5	3278	3.796969175338745	0.4564481	Yes	
row_47	MSH6	3361	3.6866376399993896	0.4578113	Yes	
row_48	PDS5B	3390	3.655452251434326	0.4619258	Yes	
row_49	UBE2T	3399	3.64463472366333	0.46706045	Yes	
row_50	KIFC1	3443	3.5840866565704346	0.47028884	Yes	
row_51	GPATCH2	3514	3.5074915885925293	0.47200122	Yes	
row_52	AURKA	3528	3.495922803878784	0.47665027	Yes	
row_53	DHODH	3869	3.083672046661377	0.46372336	No	
row_54	TYMS	3990	2.951230764389038	0.46199733	No	
row_55	PRMT9	4089	2.825800895690918	0.46122053	No	
row_56	MATR3	4449	2.43279767036438	0.44631785	No	
row_57	LBR	4464	2.420633554458618	0.44927785	No	
row_58	E2F8	4511	2.376046657562256	0.45051143	No	
row_59	ANKRD13C	4553	2.34002423286438	0.4519493	No	
row_60	SRSF1	4684	2.204184055328369	0.4485675	No	
row_61	AURKB	4704	2.18937349319458	0.45091626	No	
row_62	SRSF10	5187	1.7916653156280518	0.42866236	No	
row_63	ELOVL2	5239	1.744681477546692	0.42867547	No	
row_64	FOSL1	5299	1.6963849067687988	0.42820042	No	
row_65	KIF4A	5312	1.6842252016067505	0.43014285	No	
row_66	MCM10	5361	1.6445316076278687	0.43015894	No	
row_67	WFDC21P	5547	1.50642728805542	0.42286414	No	
row_68	MAPK14	5747	1.380439043045044	0.4146519	No	
row_69	PLCG2	5772	1.3648443222045898	0.41548607	No	
row_70	RLIM	5783	1.3590022325515747	0.41703698	No	
row_71	MAN1A1	6725	0.8189110159873962	0.3695122	No	
