NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFAIP3	211	18.065587997436523	0.025654644	No	
row_1	SPINK1	226	17.477577209472656	0.06029819	No	
row_2	KCNK3	845	10.365826606750488	0.049342666	No	
row_3	KIF24	891	10.024320602416992	0.06730237	No	
row_4	ANO2	1233	8.364476203918457	0.06660928	No	
row_5	IL1RL1	1551	7.268635272979736	0.06493875	No	
row_6	CXCL2	1577	7.1911211013793945	0.078198686	No	
row_7	TERT	1590	7.139706134796143	0.09202627	No	
row_8	MYCN	1671	6.910801887512207	0.101877175	No	
row_9	IL17RB	2003	6.081284046173096	0.0970806	No	
row_10	IL1R2	2170	5.704383373260498	0.100046724	No	
row_11	CXCL3	2707	4.686161994934082	0.08183491	No	
row_12	IL2RG	3205	3.905367374420166	0.06405821	No	
row_13	PDE3B	3208	3.9027087688446045	0.07185223	No	
row_14	OSGIN1	3423	3.610586404800415	0.06810132	No	
row_15	SYP	3583	3.4264414310455322	0.06681957	No	
row_16	GULP1	3585	3.424428701400757	0.07369743	No	
row_17	SNAP25	3588	3.420232057571411	0.08051514	No	
row_18	CYB5R2	3601	3.396615505218506	0.08676836	No	
row_19	CCL16	3827	3.135462999343872	0.081487656	No	
row_20	KCNAB3	4130	2.788416862487793	0.07152617	No	
row_21	A2M	5021	1.914495825767517	0.029414935	No	
row_22	NALF2	5114	1.8471108675003052	0.028399134	No	
row_23	CRCT1	5322	1.6756088733673096	0.021094363	No	
row_24	HSD17B2	5580	1.4822319746017456	0.010814838	No	
row_25	BIRC3	5880	1.306569218635559	-0.001990245	No	
row_26	AKAP12	5953	1.2642498016357422	-0.0031521223	No	
row_27	GPR37L1	6145	1.14787757396698	-0.010698086	No	
row_28	BMP6	6177	1.1299432516098022	-0.010013315	No	
row_29	NRL	6242	1.0881431102752686	-0.011118203	No	
row_30	ACKR4	6473	0.9546440243721008	-0.021070274	No	
row_31	ALPP	6738	0.813092827796936	-0.033065524	No	
row_32	PRDM1	7592	0.45198360085487366	-0.07622448	No	
row_33	IGF2	7952	0.3297189772129059	-0.09410642	No	
row_34	ETV2	8037	0.30462658405303955	-0.09783018	No	
row_35	DNAJA4	8362	0.21145261824131012	-0.114143014	No	
row_36	PDE2A	8684	0.13594333827495575	-0.13045365	No	
row_37	NR1H4	9097	0.04461481049656868	-0.15165095	No	
row_38	TAPT1	9223	0.02405071258544922	-0.1580609	No	
row_39	IL1B	9285	0.01335251983255148	-0.16118568	No	
row_40	FCRL2	9304	0.008247701451182365	-0.16209903	No	
row_41	KCNJ14	9666	-0.05405694991350174	-0.18064213	No	
row_42	CMKLR1	10100	-0.15180769562721252	-0.20270756	No	
row_43	GLRX	10135	-0.160631000995636	-0.20413926	No	
row_44	CASS4	10219	-0.18024538457393646	-0.20806305	No	
row_45	GFI1	11261	-0.4616735875606537	-0.26091614	No	
row_46	TLR8	11341	-0.4885047674179077	-0.26400948	No	
row_47	ACP3	11543	-0.5491917729377747	-0.2732836	No	
row_48	LILRA6	11998	-0.6931166052818298	-0.29533872	No	
row_49	LYL1	12276	-0.7950507998466492	-0.3080422	No	
row_50	S100A5	12345	-0.8240063190460205	-0.30988824	No	
row_51	PPBP	12415	-0.8595181107521057	-0.3117141	No	
row_52	H2AC13	12853	-1.040042519569397	-0.33218884	No	
row_53	SAMD14	12932	-1.0734148025512695	-0.3340469	No	
row_54	TMEM176A	13294	-1.237552523612976	-0.3501951	No	
row_55	FAM30A	13309	-1.2448432445526123	-0.34839946	No	
row_56	PPP1R15A	13982	-1.6615015268325806	-0.3797588	No	
row_57	STX1A	14488	-2.028730869293213	-0.40174636	No	
row_58	KLK6	14587	-2.1057965755462646	-0.4025487	No	
row_59	LIF	15097	-2.5225627422332764	-0.42374364	No	
row_60	CEACAM3	15148	-2.570497751235962	-0.42112553	No	
row_61	CFAP43	15789	-3.2640600204467773	-0.4475886	No	
row_62	NPAS1	16001	-3.5444769859313965	-0.4513183	No	
row_63	STC1	16303	-3.940150737762451	-0.4588975	No	
row_64	KIF5A	16576	-4.365622520446777	-0.46411735	No	
row_65	PSCA	16581	-4.373513698577881	-0.45547396	No	
row_66	COL9A3	16601	-4.4015984535217285	-0.44754878	No	
row_67	TRAF1	17134	-5.328157901763916	-0.4642548	Yes	
row_68	DHRS9	17230	-5.544521808624268	-0.45794368	Yes	
row_69	SPON2	17352	-5.8449788093566895	-0.45236796	Yes	
row_70	HAS2	17417	-5.979395389556885	-0.4435751	Yes	
row_71	KCNK15	17458	-6.079644680023193	-0.43333933	Yes	
row_72	NFE2	17731	-6.75928258895874	-0.43371546	Yes	
row_73	MMP10	17757	-6.825277328491211	-0.42119583	Yes	
row_74	SPRY2	18098	-8.073891639709473	-0.42242527	Yes	
row_75	MGLL	18141	-8.235337257385254	-0.40793067	Yes	
row_76	TMPRSS4	18172	-8.353896141052246	-0.39257616	Yes	
row_77	TFPI	18316	-9.041522026062012	-0.38166875	Yes	
row_78	MACF1	18483	-9.833239555358887	-0.37034765	Yes	
row_79	EFNA5	18597	-10.452608108520508	-0.35503477	Yes	
row_80	SCEL	18639	-10.73076057434082	-0.33543885	Yes	
row_81	CDSN	18967	-14.007880210876465	-0.32398883	Yes	
row_82	CEACAM1	19312	-22.97298240661621	-0.29527575	Yes	
row_83	BAIAP3	19358	-26.416950225830078	-0.24414459	Yes	
row_84	NDUFA4L2	19437	-122.66820526123047	5.1579183E-5	Yes	
