NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPRC5B	0	106.17578125	0.1910083	Yes	
row_1	CCND2	34	30.096559524536133	0.24344648	Yes	
row_2	ASPA	114	21.815433502197266	0.2786104	Yes	
row_3	TSPAN7	264	16.729843139648438	0.30100882	Yes	
row_4	RTN1	429	13.81350326538086	0.3173858	Yes	
row_5	CPE	477	13.144352912902832	0.33860394	Yes	
row_6	DNM3	792	10.664328575134277	0.34156567	Yes	
row_7	CDK5R1	856	10.28411865234375	0.35681164	Yes	
row_8	SORBS1	916	9.884267807006836	0.37154496	Yes	
row_9	GPR37	993	9.532050132751465	0.3847663	Yes	
row_10	EPB41L3	1264	8.247814178466797	0.3856541	Yes	
row_11	ALDH1A1	1275	8.206352233886719	0.3999005	Yes	
row_12	KIT	1981	6.129901885986328	0.3745034	No	
row_13	CHGB	2500	5.072161674499512	0.35686502	No	
row_14	ERC2	2768	4.570844650268555	0.351293	No	
row_15	SATB1	2877	4.406219005584717	0.35363975	No	
row_16	CAB39L	2996	4.212932586669922	0.35512212	No	
row_17	DYNC1I1	3504	3.5250980854034424	0.3352689	No	
row_18	GPNMB	3535	3.4898736476898193	0.33999714	No	
row_19	SNAP25	3588	3.420232057571411	0.34346345	No	
row_20	SERPINI1	3599	3.3996663093566895	0.3490627	No	
row_21	TRIM2	3779	3.196319341659546	0.34556457	No	
row_22	KIF5C	3852	3.1017932891845703	0.3474247	No	
row_23	SELENOP	3939	3.0002293586730957	0.34837875	No	
row_24	FGF9	4216	2.676102876663208	0.3389331	No	
row_25	ESRRG	4263	2.6405134201049805	0.34130672	No	
row_26	AK5	4313	2.5815978050231934	0.3434193	No	
row_27	MAP7	4455	2.4290263652801514	0.34050414	No	
row_28	TMOD1	4539	2.3489737510681152	0.3404416	No	
row_29	A2M	5021	1.914495825767517	0.3190343	No	
row_30	ANK2	5047	1.896863579750061	0.32115507	No	
row_31	NSG2	5169	1.807157278060913	0.31815448	No	
row_32	GATM	5280	1.714505910873413	0.31555557	No	
row_33	SLC1A3	5303	1.6911431550979614	0.31746125	No	
row_34	CA2	5315	1.6823638677597046	0.31991947	No	
row_35	ADCY1	5335	1.6648494005203247	0.32193282	No	
row_36	RAPGEF4	5578	1.4837512969970703	0.31209886	No	
row_37	NSG1	5666	1.4262280464172363	0.31016964	No	
row_38	NAP1L2	6066	1.1887727975845337	0.2916934	No	
row_39	SIGLEC15	7496	0.4856138825416565	0.21873596	No	
row_40	GPR19	7736	0.39914557337760925	0.20710579	No	
row_41	XK	7900	0.34729212522506714	0.19930896	No	
row_42	NRN1	8064	0.29871782660484314	0.19142474	No	
row_43	CRYAB	8131	0.28092581033706665	0.18852016	No	
row_44	SCN2A	8211	0.25458529591560364	0.18489651	No	
row_45	TRIM9	8404	0.19979798793792725	0.17533603	No	
row_46	MAFB	8618	0.1522529274225235	0.16460502	No	
row_47	FZD3	8635	0.14972344040870667	0.16404772	No	
row_48	NUDT11	10326	-0.2076013684272766	0.07710525	No	
row_49	GAD1	10408	-0.2282005250453949	0.07333081	No	
row_50	RNLS	10562	-0.2639865279197693	0.06590078	No	
row_51	PLCB1	11111	-0.419923335313797	0.03834312	No	
row_52	TUBB4A	11344	-0.489143043756485	0.027236512	No	
row_53	PECAM1	11839	-0.6442564725875854	0.0028723967	No	
row_54	TRIL	12206	-0.7648457288742065	-0.014661502	No	
row_55	HEY1	12284	-0.7993500828742981	-0.017201787	No	
row_56	GABRR2	12821	-1.025496006011963	-0.04305004	No	
row_57	WSCD1	13040	-1.1161729097366333	-0.052305307	No	
row_58	RCAN2	13223	-1.2001171112060547	-0.05954957	No	
row_59	CFAP69	14025	-1.6867237091064453	-0.09789984	No	
row_60	HPCAL4	14294	-1.8773765563964844	-0.10836903	No	
row_61	GCGR	14651	-2.157383918762207	-0.122881114	No	
row_62	ANK3	14670	-2.169724225997925	-0.11990781	No	
row_63	SOBP	14995	-2.4468472003936768	-0.13224584	No	
row_64	DDX6	15427	-2.86496639251709	-0.14935996	No	
row_65	METTL7A	16093	-3.665471076965332	-0.17712389	No	
row_66	SCN1B	16377	-4.036888599395752	-0.18448316	No	
row_67	ETV1	16480	-4.20525598526001	-0.18218793	No	
row_68	MEF2C	16914	-4.909801006317139	-0.19572677	No	
row_69	CPEB3	17371	-5.885958194732666	-0.20869784	No	
row_70	EMP1	17378	-5.896918773651123	-0.19839938	No	
row_71	PNMA2	17774	-6.877368450164795	-0.2064353	No	
row_72	FAM153B	17878	-7.212680816650391	-0.19878143	No	
row_73	TRIB2	17967	-7.53890323638916	-0.1897657	No	
row_74	PLSCR4	18393	-9.408231735229492	-0.19479862	No	
row_75	NMNAT2	18447	-9.662454605102539	-0.18015435	No	
row_76	LIMCH1	18466	-9.764283180236816	-0.16351858	No	
row_77	PELI2	18734	-11.46261978149414	-0.15669242	No	
row_78	CRYM	18801	-12.065958023071289	-0.13839595	No	
row_79	SORL1	18902	-13.126925468444824	-0.11994747	No	
row_80	NEBL	19118	-16.43609619140625	-0.10148747	No	
row_81	DUSP6	19158	-17.46668243408203	-0.07208022	No	
row_82	CP	19228	-19.38131332397461	-0.040778555	No	
row_83	MPZL2	19376	-28.67001724243164	0.0032033464	No	
