NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VAV3	205	18.228933334350586	0.020955788	No	
row_1	EPHA3	221	17.73593521118164	0.050889272	No	
row_2	DMD	300	15.955462455749512	0.07448002	No	
row_3	STK17B	476	13.192342758178711	0.088267304	No	
row_4	TENT5A	761	10.847618103027344	0.09235464	No	
row_5	MAF	1099	8.963181495666504	0.090436675	No	
row_6	AK1	1106	8.930249214172363	0.105588876	No	
row_7	EPB41L3	1264	8.247814178466797	0.11174613	No	
row_8	PROM1	1395	7.78532075881958	0.11849967	No	
row_9	SOCS2	1849	6.4416327476501465	0.106213376	No	
row_10	DUSP2	1898	6.3153767585754395	0.1146647	No	
row_11	OAS1	1919	6.268641471862793	0.124483936	No	
row_12	PDE7B	2278	5.47907018661499	0.115446635	No	
row_13	TSFM	2349	5.350894451141357	0.12108961	No	
row_14	GPD1L	2364	5.3212056159973145	0.12957881	No	
row_15	COL14A1	2514	5.052541255950928	0.13061744	No	
row_16	PDE5A	2922	4.334194183349609	0.117062345	No	
row_17	DDC	3397	3.647099494934082	0.09885073	No	
row_18	GULP1	3585	3.424428701400757	0.09510402	No	
row_19	SERPINI1	3599	3.3996663093566895	0.10031784	No	
row_20	TRIM2	3779	3.196319341659546	0.09659012	No	
row_21	ZCCHC24	3851	3.101839303970337	0.09828712	No	
row_22	SELENOP	3939	3.0002293586730957	0.098980285	No	
row_23	IFI6	4240	2.6593594551086426	0.08806182	No	
row_24	MAP7	4455	2.4290263652801514	0.08119449	No	
row_25	TMOD1	4539	2.3489737510681152	0.08096699	No	
row_26	A2M	5021	1.914495825767517	0.05939317	No	
row_27	PDE4B	5120	1.843458652496338	0.057514217	No	
row_28	KANSL3	5202	1.7757368087768555	0.056397647	No	
row_29	CA2	5315	1.6823638677597046	0.053515345	No	
row_30	OSBPL10	5528	1.5165989398956299	0.04517165	No	
row_31	CXCL14	5691	1.4118072986602783	0.039233692	No	
row_32	PID1	5931	1.2757781744003296	0.029075932	No	
row_33	GAS2	5977	1.249830961227417	0.028911535	No	
row_34	PKP2	6502	0.9388101100921631	0.0034233446	No	
row_35	PRPF6	6596	0.8894512057304382	1.5125255E-4	No	
row_36	APOE	7218	0.5948197841644287	-0.0309517	No	
row_37	PHYH	7431	0.5144743323326111	-0.04103057	No	
row_38	JUP	7620	0.4395141303539276	-0.049997382	No	
row_39	DIRAS3	7793	0.3817136883735657	-0.058236375	No	
row_40	SH3BGRL	7878	0.3550027906894684	-0.061968166	No	
row_41	CREM	8708	0.13075464963912964	-0.10463735	No	
row_42	FANCF	8713	0.1294482797384262	-0.10462018	No	
row_43	MCTS1	8880	0.09115457534790039	-0.11305182	No	
row_44	SULF1	9139	0.037694476544857025	-0.12633644	No	
row_45	NDRG2	9170	0.03255780041217804	-0.12783238	No	
row_46	GLS2	9211	0.026299746707081795	-0.12985659	No	
row_47	BLNK	9261	0.016957692801952362	-0.13236268	No	
row_48	PDLIM5	9341	5.492225755006075E-4	-0.13644949	No	
row_49	AQP3	9536	-0.032199226319789886	-0.14643201	No	
row_50	ALDH6A1	9674	-0.05672520399093628	-0.1534227	No	
row_51	C1orf54	10022	-0.130348801612854	-0.17115209	No	
row_52	STON1	10147	-0.162960946559906	-0.17728615	No	
row_53	RBP4	10262	-0.18997822701931	-0.182856	No	
row_54	ESRP1	10367	-0.21779726445674896	-0.18786022	No	
row_55	VPS8	10796	-0.3235427737236023	-0.20944634	No	
row_56	PLCB1	11111	-0.419923335313797	-0.2249668	No	
row_57	PIK3C2B	11215	-0.4458327293395996	-0.22952445	No	
row_58	RGS2	11508	-0.5363249778747559	-0.24370499	No	
row_59	CDH22	11897	-0.660347044467926	-0.26263818	No	
row_60	EGR1	12279	-0.7961483001708984	-0.28097403	No	
row_61	IL1R1	12296	-0.8049607276916504	-0.28040814	No	
row_62	CHN2	12340	-0.821768045425415	-0.28121024	No	
row_63	GAS7	12580	-0.9274518489837646	-0.29197112	No	
row_64	TCAF1	12672	-0.964115560054779	-0.29501045	No	
row_65	MAOB	12766	-1.0018850564956665	-0.29808787	No	
row_66	CFAP20	12951	-1.0810399055480957	-0.3057369	No	
row_67	H4C8	13120	-1.1520353555679321	-0.31243512	No	
row_68	TMEM176A	13294	-1.237552523612976	-0.31924397	No	
row_69	SKAP2	13506	-1.3628848791122437	-0.3278021	No	
row_70	MIA	14047	-1.7016310691833496	-0.35279736	No	
row_71	FOS	14214	-1.829890489578247	-0.35821837	No	
row_72	CRIP1	14790	-2.266496419906616	-0.3840466	No	
row_73	TMEM176B	15203	-2.6318106651306152	-0.4008081	No	
row_74	GTF2I	15230	-2.659515619277954	-0.3975485	No	
row_75	PPARGC1A	15311	-2.7410402297973633	-0.3969419	No	
row_76	ATXN3	15399	-2.8329272270202637	-0.39653844	No	
row_77	UBE2L6	15644	-3.1133534908294678	-0.40377316	No	
row_78	IFI27	15661	-3.1284518241882324	-0.39918417	No	
row_79	LY6E	15991	-3.5236778259277344	-0.41010666	No	
row_80	WFDC2	16162	-3.753314733505249	-0.41240424	No	
row_81	SEMA3E	16525	-4.304569244384766	-0.42368215	No	
row_82	COL9A3	16601	-4.4015984535217285	-0.4199416	No	
row_83	PLGRKT	16844	-4.76942777633667	-0.42420536	No	
row_84	DDX60	16926	-4.936139106750488	-0.41984972	No	
row_85	GPR137B	17183	-5.45114803314209	-0.4236575	No	
row_86	SLC16A4	17571	-6.351247787475586	-0.43268523	Yes	
row_87	IFIT2	17619	-6.455233097076416	-0.42393997	Yes	
row_88	IFITM1	17777	-6.883230209350586	-0.42014548	Yes	
row_89	IFIT1	17815	-7.031321048736572	-0.40988532	Yes	
row_90	CLIP3	17871	-7.194336414337158	-0.4002743	Yes	
row_91	PLEKHA4	17904	-7.281458854675293	-0.3893223	Yes	
row_92	SLPI	18094	-8.056008338928223	-0.38515297	Yes	
row_93	PCGF2	18102	-8.090507507324219	-0.3715065	Yes	
row_94	SYT17	18196	-8.45164966583252	-0.3616847	Yes	
row_95	TFAP2A	18340	-9.142144203186035	-0.35325453	Yes	
row_96	DPYD	18358	-9.228983879089355	-0.33815426	Yes	
row_97	MVP	18359	-9.233739852905273	-0.3221661	Yes	
row_98	EEF1A2	18361	-9.245783805847168	-0.30620885	Yes	
row_99	BAG3	18420	-9.543933868408203	-0.29268473	Yes	
row_100	NMNAT2	18447	-9.662454605102539	-0.27729958	Yes	
row_101	CRABP2	18609	-10.554022789001465	-0.26735613	Yes	
row_102	BST2	18890	-13.015645027160645	-0.2593079	Yes	
row_103	FRMD4B	18942	-13.717637062072754	-0.23819484	Yes	
row_104	TRAPPC6A	18944	-13.749918937683105	-0.2144387	Yes	
row_105	SCNN1A	18965	-13.961252212524414	-0.19129978	Yes	
row_106	PTER	19019	-14.65898323059082	-0.16866028	Yes	
row_107	IRF9	19021	-14.66307544708252	-0.14332302	Yes	
row_108	TSPAN1	19030	-14.80202865600586	-0.11810736	Yes	
row_109	B3GAT1	19192	-18.206314086914062	-0.09491402	Yes	
row_110	GNG7	19237	-19.656766891479492	-0.0631552	Yes	
row_111	CRABP1	19252	-20.313526153564453	-0.02870689	Yes	
row_112	ID2	19294	-22.107696533203125	0.007450926	Yes	
