NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MME	49	27.675809860229492	0.032181058	No	
row_1	ZNF711	86	23.6431827545166	0.059977222	No	
row_2	GALNT6	250	16.918367385864258	0.07274357	No	
row_3	SENP6	276	16.388349533081055	0.09200816	No	
row_4	TMEM250	368	14.706164360046387	0.105736226	No	
row_5	HES1	377	14.583763122558594	0.12361905	No	
row_6	FAM13B	559	12.443509101867676	0.12983651	No	
row_7	DACH1	1417	7.722792625427246	0.095041394	No	
row_8	ACTR8	1436	7.675899982452393	0.10373792	No	
row_9	ST18	2333	5.379759311676025	0.063978635	No	
row_10	BRIP1	2786	4.550358295440674	0.04622568	No	
row_11	FBXL4	2938	4.310819625854492	0.043796368	No	
row_12	ZNF180	3220	3.883110761642456	0.034082428	No	
row_13	MIS18BP1	3299	3.767719268798828	0.03476095	No	
row_14	ZNF124	3369	3.6783812046051025	0.03579455	No	
row_15	ZNF271P	3595	3.405531406402588	0.028388219	No	
row_16	MAML1	3807	3.1653995513916016	0.021407306	No	
row_17	MEPCE	4072	2.839449167251587	0.011266323	No	
row_18	EOGT	4138	2.7779664993286133	0.011377812	No	
row_19	CEP135	4150	2.7548725605010986	0.014263337	No	
row_20	ZNF544	4273	2.624887704849243	0.011224027	No	
row_21	ZNF443	4404	2.4855780601501465	0.007594665	No	
row_22	BTG2	4482	2.4063782691955566	0.0066170353	No	
row_23	POLH	4710	2.185403347015381	-0.0024239898	No	
row_24	TRA2A	4809	2.099210739135742	-0.004877079	No	
row_25	ZNF268	4901	2.012937307357788	-0.0070750606	No	
row_26	CRBN	5075	1.8746615648269653	-0.01370296	No	
row_27	DMXL1	5349	1.6519360542297363	-0.02580107	No	
row_28	GALNT7	5370	1.6389659643173218	-0.024782829	No	
row_29	FAIM	5663	1.4331278800964355	-0.03814172	No	
row_30	ZNF14	6230	1.0970910787582397	-0.06614492	No	
row_31	EPM2A	6432	0.9714622497558594	-0.07535946	No	
row_32	ATF7IP	6485	0.9444788694381714	-0.07687363	No	
row_33	ATF1	6925	0.7237259745597839	-0.09875302	No	
row_34	LRRC37A4P	6939	0.7204260230064392	-0.09852391	No	
row_35	TM7SF3	7043	0.6759241223335266	-0.103022315	No	
row_36	DCAF16	7065	0.6624857783317566	-0.10328116	No	
row_37	ELAC1	7535	0.4717337489128113	-0.12703395	No	
row_38	SLC35D1	8000	0.3120698630809784	-0.15072753	No	
row_39	ZNF117	8009	0.3093549311161041	-0.15075465	No	
row_40	CBFA2T3	8706	0.13092222809791565	-0.18671808	No	
row_41	LZTFL1	8707	0.1308165192604065	-0.18655394	No	
row_42	CEP295	8740	0.12279663234949112	-0.18806091	No	
row_43	TRMT1L	8954	0.07237277925014496	-0.19902642	No	
row_44	ZNF394	9044	0.05447140336036682	-0.20357786	No	
row_45	ZSCAN26	9045	0.05444661155343056	-0.20350954	No	
row_46	LTB	9189	0.029558802023530006	-0.21089524	No	
row_47	SRGAP2	9316	0.006053919903934002	-0.21742801	No	
row_48	CLK1	9376	-0.005058352369815111	-0.22048421	No	
row_49	CLK4	9457	-0.018145596608519554	-0.22461405	No	
row_50	H2AC17	9902	-0.10222683101892471	-0.24753277	No	
row_51	H2BC12	10007	-0.1282673329114914	-0.25277022	No	
row_52	GPA33	10108	-0.15376195311546326	-0.25776806	No	
row_53	HSPBAP1	10110	-0.15494203567504883	-0.25762555	No	
row_54	ELF2	10115	-0.15657223761081696	-0.25763676	No	
row_55	KAT2B	10140	-0.16175520420074463	-0.25867957	No	
row_56	ANGEL2	10175	-0.1704290360212326	-0.2602306	No	
row_57	MSANTD2	10321	-0.2067183554172516	-0.26749784	No	
row_58	HOXA7	10333	-0.20878095924854279	-0.26780686	No	
row_59	LINC00342	10387	-0.22257570922374725	-0.2702787	No	
row_60	CHIC2	10448	-0.2391517609357834	-0.2730931	No	
row_61	HSD17B11	10478	-0.24472098052501678	-0.27429137	No	
row_62	MRE11	10571	-0.2653985023498535	-0.27873388	No	
row_63	CD1C	10611	-0.2752729654312134	-0.28041288	No	
row_64	DPY19L2P2	10706	-0.29905158281326294	-0.284917	No	
row_65	MNT	10764	-0.3174823522567749	-0.28747737	No	
row_66	GCC2	10939	-0.3665783107280731	-0.29604936	No	
row_67	VEZF1	11074	-0.4066482484340668	-0.30249476	No	
row_68	NR1D2	11155	-0.433586984872818	-0.30610335	No	
row_69	FRAT2	11186	-0.44128066301345825	-0.3071069	No	
row_70	RAD51B	11213	-0.44563108682632446	-0.3078974	No	
row_71	GIMAP6	11231	-0.45090609788894653	-0.30821407	No	
row_72	EVI2A	11242	-0.45364072918891907	-0.30816397	No	
row_73	RPS28	11490	-0.5314079523086548	-0.3203184	No	
row_74	ATP6V1G2	11518	-0.5405997037887573	-0.3210416	No	
row_75	PCNX2	11524	-0.5428109765052795	-0.3206201	No	
row_76	TRAT1	11536	-0.5466127991676331	-0.32050523	No	
row_77	PTPRCAP	11561	-0.5556866526603699	-0.3210538	No	
row_78	ZBTB16	11750	-0.6131384372711182	-0.33004314	No	
