NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RRP9	7	46.78889083862305	0.05087628	Yes	
row_1	RABEPK	52	27.445411682128906	0.078647606	Yes	
row_2	TRPM6	73	24.711956024169922	0.104671754	Yes	
row_3	YRDC	290	16.128847122192383	0.11111819	Yes	
row_4	RBM28	321	15.508049011230469	0.1265436	Yes	
row_5	NIBAN1	430	13.807677268981934	0.13605641	Yes	
row_6	TUBB2A	485	13.065587043762207	0.14756072	Yes	
row_7	VARS1	516	12.887871742248535	0.1601167	Yes	
row_8	LARS2	552	12.505501747131348	0.17199428	Yes	
row_9	MRPL58	619	11.947307586669922	0.18165079	Yes	
row_10	PAK1IP1	684	11.406064987182617	0.19081841	Yes	
row_11	CCDC86	719	11.140983581542969	0.20125361	Yes	
row_12	NQO2	768	10.807711601257324	0.21059683	Yes	
row_13	NUP155	785	10.697113990783691	0.22148065	Yes	
row_14	IFI30	802	10.63190746307373	0.23229308	Yes	
row_15	SSTR2	821	10.533863067626953	0.24289428	Yes	
row_16	TIMM44	831	10.481162071228027	0.25390512	Yes	
row_17	HYAL3	918	9.858750343322754	0.2602358	Yes	
row_18	DNMT3B	977	9.633416175842285	0.26777372	Yes	
row_19	TBRG4	1011	9.44025707244873	0.27639833	Yes	
row_20	MGAT4A	1018	9.405210494995117	0.28638667	Yes	
row_21	CDRT1	1047	9.247489929199219	0.29505983	Yes	
row_22	MRPL22	1055	9.190567016601562	0.30476114	Yes	
row_23	CDK16	1085	9.011839866638184	0.31312433	Yes	
row_24	NANS	1221	8.413300514221191	0.31532753	Yes	
row_25	IDH3A	1260	8.253918647766113	0.3223933	Yes	
row_26	COX10	1287	8.154894828796387	0.3299738	Yes	
row_27	KLHL7	1463	7.579679012298584	0.3291869	Yes	
row_28	GRM2	1524	7.367518424987793	0.3341395	Yes	
row_29	GUCY1A1	1529	7.3430495262146	0.34197336	Yes	
row_30	GCH1	1567	7.208048343658447	0.34794572	Yes	
row_31	SLC31A1	1634	7.024300575256348	0.35221088	Yes	
row_32	MRPL39	1722	6.7896199226379395	0.35512856	Yes	
row_33	IDH1	1755	6.6811604499816895	0.36078355	Yes	
row_34	RRP15	1760	6.66509485244751	0.36787495	Yes	
row_35	EBNA1BP2	1787	6.596971035003662	0.37374932	Yes	
row_36	ADARB1	2150	5.767374038696289	0.36126694	Yes	
row_37	BCHE	2158	5.7452006340026855	0.3671952	Yes	
row_38	SLC25A32	2299	5.433817386627197	0.3658758	Yes	
row_39	PCCA	2314	5.408451557159424	0.37107176	Yes	
row_40	RPAP1	2359	5.329585075378418	0.37462345	Yes	
row_41	ATF3	2499	5.074633598327637	0.37296265	Yes	
row_42	RRP12	2527	5.020568370819092	0.3770587	Yes	
row_43	GLRX2	2535	5.002617359161377	0.38217372	Yes	
row_44	DDN	2583	4.9210662841796875	0.38512224	Yes	
row_45	GAS2L1	2584	4.9202799797058105	0.39051056	Yes	
row_46	PHACTR2	2873	4.410878658294678	0.38038546	No	
row_47	BSPRY	3018	4.187166690826416	0.3774931	No	
