NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL16A1	3	50.25947570800781	0.10596702	Yes	
row_1	BICC1	384	14.500555992126465	0.11693431	Yes	
row_2	DYNLT1	708	11.262624740600586	0.124012314	Yes	
row_3	POLD1	733	11.004598617553711	0.14600728	Yes	
row_4	GMNN	920	9.857391357421875	0.15720266	Yes	
row_5	PRIM2	925	9.840888977050781	0.17777471	Yes	
row_6	RPA2	996	9.524344444274902	0.19426541	Yes	
row_7	FBN1	1227	8.391024589538574	0.20008926	Yes	
row_8	RFC5	1235	8.346321105957031	0.21735041	Yes	
row_9	SIVA1	1284	8.168449401855469	0.23211582	Yes	
row_10	DNAJC9	1324	8.028785705566406	0.24705173	Yes	
row_11	PTMA	1377	7.859833717346191	0.26095864	Yes	
row_12	RPA1	1454	7.608365535736084	0.27309352	Yes	
row_13	TUBG1	1528	7.3483123779296875	0.2848344	Yes	
row_14	SLBP	1648	6.986955642700195	0.29343358	Yes	
row_15	RFC3	1714	6.8166399002075195	0.30446556	Yes	
row_16	LYPD1	1788	6.593255996704102	0.31461218	Yes	
row_17	RFC2	1859	6.418371677398682	0.32454467	Yes	
row_18	MCM6	1913	6.284644603729248	0.3350739	Yes	
row_19	POLE	1951	6.201318740844727	0.34625456	Yes	
row_20	HMGN2	1985	6.127995491027832	0.35748723	Yes	
row_21	CHAF1B	2115	5.847032070159912	0.36316237	Yes	
row_22	INCENP	2126	5.817187309265137	0.37492815	Yes	
row_23	IPO9	2207	5.619616985321045	0.38265696	Yes	
row_24	COL5A1	2220	5.596677303314209	0.39385372	Yes	
row_25	GINS4	2280	5.478409767150879	0.40237033	Yes	
row_26	MCM7	2467	5.127743244171143	0.40357912	Yes	
row_27	MAD2L1	2475	5.118807315826416	0.41402543	Yes	
row_28	H2AZ2	2552	4.968877792358398	0.42058703	Yes	
row_29	KHDRBS3	2555	4.962625503540039	0.43096212	Yes	
row_30	FANCA	2819	4.507907867431641	0.42688036	Yes	
row_31	WDHD1	2923	4.333265781402588	0.43070367	Yes	
row_32	CENPH	2971	4.254505157470703	0.43725654	Yes	
row_33	TSSC4	2981	4.236391067504883	0.44573623	Yes	
row_34	STMN1	3131	4.024412155151367	0.44652867	Yes	
row_35	SI	3258	3.8332302570343018	0.44810683	Yes	
row_36	MCM5	3278	3.796969175338745	0.45514154	Yes	
row_37	CENPK	3360	3.687570810317993	0.45873916	Yes	
row_38	TCFL5	3386	3.6590516567230225	0.4651724	Yes	
row_39	MCM2	3420	3.6142518520355225	0.47109735	Yes	
row_40	POLE2	3431	3.598290205001831	0.47817796	Yes	
row_41	NXT1	3521	3.50307035446167	0.48097232	Yes	
row_42	LIG1	3672	3.319788932800293	0.48022527	Yes	
row_43	ASF1B	3695	3.286717414855957	0.48602745	Yes	
row_44	PIDD1	3699	3.282111644744873	0.49280244	Yes	
row_45	RPA3	3866	3.087667226791382	0.4907379	Yes	
row_46	PRIM1	3965	2.971740484237671	0.49194494	Yes	
row_47	CDK2	4112	2.80586838722229	0.49031958	Yes	
row_48	CDC25B	4114	2.803191661834717	0.49618676	Yes	
row_49	E2F8	4511	2.376046657562256	0.48072594	No	
row_50	NCAPH	4631	2.25091552734375	0.47932503	No	
row_51	ANAPC11	4670	2.2190492153167725	0.48204547	No	
row_52	NRM	4848	2.0616331100463867	0.47724563	No	
row_53	SERPINF1	4902	2.0120902061462402	0.4787534	No	
row_54	BLVRB	5069	1.8792307376861572	0.47413725	No	
row_55	PRDX4	5156	1.817068338394165	0.47352675	No	
row_56	KIF4A	5312	1.6842252016067505	0.46906766	No	
row_57	CA2	5315	1.6823638677597046	0.4725165	No	
row_58	DCLRE1A	5570	1.489411473274231	0.46252662	No	
row_59	GTSE1	5595	1.4725784063339233	0.46439487	No	
row_60	NELFE	5986	1.2450724840164185	0.4468563	No	
row_61	COL1A1	6552	0.9143378734588623	0.41956982	No	
row_62	S100A4	7080	0.6551519632339478	0.3937011	No	
row_63	SYCE2	7545	0.4679470956325531	0.37069497	No	
row_64	PAQR4	7680	0.4212803244590759	0.36465514	No	
row_65	FSTL1	8108	0.2880086600780487	0.34318238	No	
row_66	DUSP1	8192	0.26205697655677795	0.33944365	No	
row_67	ETHE1	8233	0.24925188720226288	0.33790147	No	
row_68	TAGLN	8896	0.0886518731713295	0.30385554	No	
row_69	CD81	9105	0.0434395894408226	0.29319122	No	
row_70	LOXL1	9284	0.01336584985256195	0.2840148	No	
row_71	FANCL	9870	-0.0936717614531517	0.25396127	No	
