NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MYC_UP.V1_UP	MYC_UP.V1_UP	Details ...	157	0.5947738	2.0859687	0.0	0.0	0.0	3406	tags=48%, list=18%, signal=57%	
CSR_LATE_UP.V1_UP	CSR_LATE_UP.V1_UP	Details ...	139	0.58111703	2.0064719	0.0	0.0	0.0	3994	tags=56%, list=21%, signal=70%	
E2F1_UP.V1_UP	E2F1_UP.V1_UP	Details ...	173	0.50206894	1.782279	0.0	0.004270068	0.02	4730	tags=50%, list=24%, signal=65%	
ESC_J1_UP_LATE.V1_DN	ESC_J1_UP_LATE.V1_DN	Details ...	140	0.514604	1.7410921	0.0	0.0055708773	0.035	3620	tags=34%, list=19%, signal=41%	
CSR_EARLY_UP.V1_UP	CSR_EARLY_UP.V1_UP	Details ...	148	0.48229733	1.6706812	0.0020408162	0.010903365	0.082	3271	tags=35%, list=17%, signal=42%	
GCNP_SHH_UP_LATE.V1_UP	GCNP_SHH_UP_LATE.V1_UP	Details ...	156	0.47509763	1.6644324	0.0	0.009291694	0.084	3797	tags=42%, list=20%, signal=51%	
RB_P107_DN.V1_UP	RB_P107_DN.V1_UP	Details ...	101	0.49618676	1.6449101	0.0020833334	0.010424045	0.111	4114	tags=49%, list=21%, signal=61%	
GCNP_SHH_UP_EARLY.V1_UP	GCNP_SHH_UP_EARLY.V1_UP	Details ...	145	0.47665027	1.6420913	0.0	0.0092653455	0.112	3528	tags=37%, list=18%, signal=44%	
BCAT_GDS748_UP	BCAT_GDS748_UP	Details ...	41	0.55826926	1.5764803	0.014285714	0.016856503	0.22	3524	tags=34%, list=18%, signal=42%	
BCAT.100_UP.V1_DN	BCAT.100_UP.V1_DN	Details ...	28	0.595411	1.5589259	0.018	0.019121625	0.263	2771	tags=36%, list=14%, signal=42%	
NFE2L2.V2	NFE2L2.V2	Details ...	335	0.39819282	1.5097277	0.0	0.029732164	0.406	4164	tags=38%, list=21%, signal=47%	
RPS14_DN.V1_DN	RPS14_DN.V1_DN	Details ...	166	0.42622143	1.4988521	0.006048387	0.030461771	0.442	2319	tags=28%, list=12%, signal=32%	
VEGF_A_UP.V1_DN	VEGF_A_UP.V1_DN	Details ...	169	0.39990506	1.4107624	0.008908686	0.07488549	0.786	4201	tags=43%, list=22%, signal=54%	
MTOR_UP.N4.V1_UP	MTOR_UP.N4.V1_UP	Details ...	182	0.39051056	1.3847197	0.008658009	0.0911472	0.868	2584	tags=25%, list=13%, signal=29%	
KRAS.KIDNEY_UP.V1_UP	KRAS.KIDNEY_UP.V1_UP	Details ...	84	0.3999005	1.2828523	0.06561086	0.21831122	0.997	1275	tags=14%, list=7%, signal=15%	
EIF4E_UP	EIF4E_UP	Details ...	87	0.3955697	1.2735745	0.08639309	0.22252768	0.997	3149	tags=23%, list=16%, signal=27%	
AKT_UP_MTOR_DN.V1_DN	AKT_UP_MTOR_DN.V1_DN	Details ...	159	0.35614333	1.2565906	0.04025424	0.24358721	0.999	2586	tags=22%, list=13%, signal=25%	
ESC_V6.5_UP_LATE.V1_DN	ESC_V6.5_UP_LATE.V1_DN	Details ...	148	0.3597242	1.2517579	0.06652807	0.23901838	0.999	2527	tags=21%, list=13%, signal=24%	
AKT_UP.V1_DN	AKT_UP.V1_DN	Details ...	154	0.35306266	1.2333407	0.077405855	0.26577458	1.0	2327	tags=14%, list=12%, signal=16%	
E2F3_UP.V1_UP	E2F3_UP.V1_UP	Details ...	159	0.34187713	1.2165824	0.06736842	0.28977728	1.0	3456	tags=31%, list=18%, signal=37%	
GLI1_UP.V1_UP	GLI1_UP.V1_UP		23	0.481802	1.214935	0.2263056	0.2802784	1.0	1570	tags=17%, list=8%, signal=19%	
P53_DN.V1_DN	P53_DN.V1_DN		155	0.3315297	1.1665924	0.13552362	0.39116552	1.0	1446	tags=9%, list=7%, signal=10%	
RB_P107_DN.V1_DN	RB_P107_DN.V1_DN		120	0.33921883	1.1505628	0.15853658	0.42017946	1.0	3191	tags=22%, list=16%, signal=26%	
SRC_UP.V1_DN	SRC_UP.V1_DN		138	0.32776427	1.1218516	0.21822034	0.49403456	1.0	4580	tags=42%, list=24%, signal=55%	
PRC2_EZH2_UP.V1_DN	PRC2_EZH2_UP.V1_DN		147	0.32234952	1.1124128	0.19821826	0.50671464	1.0	4100	tags=36%, list=21%, signal=45%	
TBK1.DF_DN	TBK1.DF_DN		279	0.2959722	1.0970684	0.19522777	0.53978515	1.0	4389	tags=31%, list=23%, signal=40%	
PGF_UP.V1_UP	PGF_UP.V1_UP		176	0.3104189	1.0857035	0.24070022	0.55934817	1.0	4165	tags=32%, list=21%, signal=41%	
ESC_V6.5_UP_EARLY.V1_DN	ESC_V6.5_UP_EARLY.V1_DN		133	0.31362596	1.0774009	0.27272728	0.56915957	1.0	2248	tags=16%, list=12%, signal=18%	
CYCLIN_D1_UP.V1_DN	CYCLIN_D1_UP.V1_DN		156	0.29998368	1.0615017	0.30846775	0.6077259	1.0	3074	tags=21%, list=16%, signal=25%	
ERBB2_UP.V1_DN	ERBB2_UP.V1_DN		186	0.29580808	1.0611377	0.2801724	0.5889321	1.0	4317	tags=33%, list=22%, signal=42%	
RPS14_DN.V1_UP	RPS14_DN.V1_UP		155	0.30189097	1.0570983	0.3070707	0.58435494	1.0	1453	tags=10%, list=7%, signal=10%	
CYCLIN_D1_KE_.V1_DN	CYCLIN_D1_KE_.V1_DN		136	0.3070439	1.0542123	0.3257732	0.5767418	1.0	3170	tags=23%, list=16%, signal=27%	
SIRNA_EIF4GI_UP	SIRNA_EIF4GI_UP		91	0.32351884	1.0525604	0.33962265	0.564666	1.0	3082	tags=23%, list=16%, signal=27%	
JNK_DN.V1_UP	JNK_DN.V1_UP		142	0.30527332	1.0520784	0.31236896	0.55035216	1.0	1628	tags=12%, list=8%, signal=13%	
JAK2_DN.V1_UP	JAK2_DN.V1_UP		105	0.3170289	1.0468559	0.33877552	0.5524406	1.0	1273	tags=9%, list=7%, signal=9%	
RB_P130_DN.V1_UP	RB_P130_DN.V1_UP		104	0.30855224	1.0220103	0.39285713	0.62131387	1.0	3856	tags=27%, list=20%, signal=33%	
KRAS.DF.V1_DN	KRAS.DF.V1_DN		153	0.2855508	0.99053246	0.4889868	0.7186753	1.0	3583	tags=27%, list=18%, signal=33%	
BMI1_DN_MEL18_DN.V1_UP	BMI1_DN_MEL18_DN.V1_UP		118	0.29113075	0.9879303	0.44747898	0.7096579	1.0	1676	tags=14%, list=9%, signal=15%	
BCAT_BILD_ET_AL_DN	BCAT_BILD_ET_AL_DN		46	0.3451099	0.98734945	0.46777546	0.69380367	1.0	2045	tags=17%, list=11%, signal=19%	
PGF_UP.V1_DN	PGF_UP.V1_DN		150	0.28296465	0.9813827	0.4989899	0.69794273	1.0	1569	tags=11%, list=8%, signal=12%	
TBK1.DN.48HRS_UP	TBK1.DN.48HRS_UP		47	0.3337508	0.9743582	0.4625	0.70623136	1.0	1577	tags=17%, list=8%, signal=18%	
KRAS.LUNG_UP.V1_UP	KRAS.LUNG_UP.V1_UP		92	0.2944891	0.9607907	0.5435685	0.7385128	1.0	2688	tags=20%, list=14%, signal=23%	
ATF2_UP.V1_UP	ATF2_UP.V1_UP		126	0.2857597	0.957206	0.58598727	0.734457	1.0	4419	tags=29%, list=23%, signal=38%	
