NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLE3	157	20.002763748168945	0.02002068	Yes	
row_1	ORC3	198	18.597820281982422	0.04412711	Yes	
row_2	ENDOG	234	17.26401138305664	0.06661511	Yes	
row_3	TRAIP	243	17.086166381835938	0.09025203	Yes	
row_4	STOML2	272	16.54039192199707	0.11208419	Yes	
row_5	SETMAR	319	15.562891960144043	0.13160753	Yes	
row_6	CIZ1	443	13.657869338989258	0.14445879	Yes	
row_7	ORC2	487	13.062483787536621	0.16061787	Yes	
row_8	TONSL	685	11.397329330444336	0.16645207	Yes	
row_9	POLD1	733	11.004598617553711	0.17950705	Yes	
row_10	CDK9	740	10.985072135925293	0.19465935	Yes	
row_11	POLD3	777	10.765835762023926	0.20794831	Yes	
row_12	CENPX	793	10.663039207458496	0.22218087	Yes	
row_13	GMNN	920	9.857391357421875	0.22952688	Yes	
row_14	MMS22L	923	9.848052024841309	0.24328592	Yes	
row_15	PRIM2	925	9.840888977050781	0.25708672	Yes	
row_16	ALYREF	976	9.641216278076172	0.26806706	Yes	
row_17	ORC5	1015	9.421614646911621	0.27936018	Yes	
row_18	MCM3	1030	9.353763580322266	0.29180154	Yes	
row_19	TEFM	1034	9.338072776794434	0.3047909	Yes	
row_20	WDR18	1060	9.158032417297363	0.3163867	Yes	
row_21	ZRANB3	1087	9.008162498474121	0.3277197	Yes	
row_22	RFC5	1235	8.346321105957031	0.3318503	Yes	
row_23	ORC4	1241	8.335963249206543	0.34332538	Yes	
row_24	INO80	1318	8.048365592956543	0.3507161	Yes	
row_25	DACH1	1417	7.722792625427246	0.3565084	Yes	
row_26	FBXO5	1447	7.6179351806640625	0.36572894	Yes	
row_27	RPA1	1454	7.608365535736084	0.376128	Yes	
row_28	ZGRF1	1564	7.229333400726318	0.3806556	Yes	
row_29	LRWD1	1664	6.926973819732666	0.3852758	Yes	
row_30	SSBP1	1674	6.9058074951171875	0.39453042	Yes	
row_31	RFC3	1714	6.8166399002075195	0.4021048	Yes	
row_32	KAT7	1770	6.646944522857666	0.4086111	Yes	
row_33	TOPBP1	1853	6.4339599609375	0.41341832	Yes	
row_34	RFC2	1859	6.418371677398682	0.4221941	Yes	
row_35	SMARCAL1	1864	6.408942222595215	0.4310084	Yes	
row_36	FANCM	1879	6.365805625915527	0.43924376	Yes	
row_37	POLD2	1901	6.305777549743652	0.44703183	Yes	
row_38	MCM6	1913	6.284644603729248	0.4553084	Yes	
row_39	RECQL4	1932	6.240607738494873	0.46316022	Yes	
row_40	CDC34	1948	6.2024383544921875	0.47111377	Yes	
row_41	POLE	1951	6.201318740844727	0.4797395	Yes	
row_42	ZMPSTE24	1961	6.183203220367432	0.4879769	Yes	
row_43	REV3L	1982	6.129811763763428	0.4955691	Yes	
row_44	MCM9	2008	6.074477672576904	0.5028243	Yes	
row_45	TWNK	2042	5.994487285614014	0.5095523	Yes	
row_46	CHTF18	2113	5.849658012390137	0.5141589	Yes	
row_47	THOC1	2124	5.825292587280273	0.5218407	Yes	
row_48	RFWD3	2125	5.822576522827148	0.5300369	Yes	
row_49	DBF4B	2136	5.805206298828125	0.5376904	Yes	
row_50	SRPK2	2191	5.6585493087768555	0.5428572	Yes	
row_51	ATAD5	2221	5.595534801483154	0.54923093	Yes	
row_52	DBF4	2272	5.494621276855469	0.5543743	Yes	
row_53	GINS4	2280	5.478409767150879	0.56172323	Yes	
row_54	TIMELESS	2415	5.234001159667969	0.5621465	Yes	
row_55	POLA1	2442	5.181334018707275	0.56809264	Yes	
row_56	MCM7	2467	5.127743244171143	0.57406694	Yes	
row_57	RAD51	2595	4.903407573699951	0.5743876	Yes	
row_58	BRCA2	2617	4.859335422515869	0.5801396	Yes	
row_59	MGME1	2631	4.832685470581055	0.58626866	Yes	
row_60	GINS1	2659	4.769039630889893	0.5915826	Yes	
row_61	DDX11	2711	4.6778764724731445	0.59552443	Yes	
row_62	DDX23	2827	4.492764472961426	0.5958889	Yes	
row_63	WDHD1	2923	4.333265781402588	0.5970654	Yes	
row_64	RFC4	3172	3.9551889896392822	0.5897805	Yes	
row_65	ZNF830	3216	3.8910939693450928	0.59302944	Yes	
row_66	TIPIN	3219	3.8832314014434814	0.598392	Yes	
row_67	MCM5	3278	3.796969175338745	0.6007311	Yes	
row_68	ZPR1	3292	3.7774293422698975	0.6053747	Yes	
row_69	ORC1	3378	3.6664671897888184	0.6061308	Yes	
row_70	MCM4	3405	3.639540433883667	0.60990655	Yes	
row_71	NUCKS1	3411	3.6312482357025146	0.614759	Yes	
row_72	POLB	3414	3.62184476852417	0.6197537	Yes	
row_73	MCM2	3420	3.6142518520355225	0.62458223	Yes	
row_74	POLE2	3431	3.598290205001831	0.6291291	Yes	
row_75	WRN	3534	3.4903881549835205	0.62875634	Yes	
row_76	MCIDAS	3540	3.481318950653076	0.63339776	Yes	
row_77	GINS3	3648	3.3507089614868164	0.6325692	Yes	
row_78	LIG1	3672	3.319788932800293	0.6360504	Yes	
row_79	DDX21	3806	3.1666035652160645	0.63361526	Yes	
row_80	CDT1	3817	3.1519699096679688	0.6375339	Yes	
row_81	WRNIP1	3836	3.123939037322998	0.64099854	Yes	
row_82	SAMHD1	3863	3.089698553085327	0.64400035	Yes	
row_83	POLQ	3876	3.07785964012146	0.64771104	Yes	
row_84	PRIM1	3965	2.971740484237671	0.6473337	Yes	
row_85	NOC3L	4001	2.928154230117798	0.6496417	Yes	
row_86	DSCC1	4100	2.8139665126800537	0.64852405	Yes	
row_87	POLE4	4103	2.811877727508545	0.65237856	Yes	
row_88	CDK2	4112	2.80586838722229	0.65591365	Yes	
row_89	CENPS	4193	2.708038330078125	0.6555797	Yes	
row_90	RPA4	4251	2.6517550945281982	0.6563585	Yes	
row_91	DONSON	4264	2.6390225887298584	0.6594514	Yes	
row_92	BLM	4375	2.5152363777160645	0.6572914	Yes	
row_93	CDC6	4401	2.4875245094299316	0.6594974	Yes	
row_94	EME1	4503	2.377882719039917	0.65761036	Yes	
row_95	E2F8	4511	2.376046657562256	0.66059226	Yes	
row_96	MCM10	5361	1.6445316076278687	0.61890846	No	
row_97	TICRR	5391	1.6198869943618774	0.6196858	No	
row_98	PNKP	5492	1.534491777420044	0.6166634	No	
row_99	MCMBP	5636	1.4503216743469238	0.6112941	No	
row_100	WIZ	5640	1.4484320878982544	0.61317754	No	
row_101	RFC1	5707	1.404623031616211	0.6117344	No	
row_102	GEN1	5750	1.3790498971939087	0.611499	No	
row_103	RPAIN	6031	1.214676022529602	0.5986981	No	
row_104	RECQL	6191	1.123170018196106	0.59203905	No	
row_105	TERF1	6215	1.1093119382858276	0.59240866	No	
row_106	UPF1	6251	1.0840201377868652	0.5921207	No	
row_107	CDK2AP1	6279	1.0645275115966797	0.59221995	No	
row_108	RTEL1	6348	1.018013834953308	0.5901289	No	
row_109	SIRT7	6440	0.9677916765213013	0.58677524	No	
row_110	RECQL5	6787	0.7893087863922119	0.56995517	No	
row_111	NUGGC	7155	0.6222273707389832	0.5518115	No	
row_112	ATR	7181	0.6073870658874512	0.5513709	No	
row_113	DNAJA3	7261	0.5788583159446716	0.54809165	No	
row_114	SLFN11	7640	0.4346442222595215	0.52911395	No	
row_115	NBN	7786	0.3828812539577484	0.5221384	No	
row_116	POLN	7841	0.36438512802124023	0.5198528	No	
row_117	HELB	8146	0.27613627910614014	0.504487	No	
row_118	FAM111A	8246	0.24585846066474915	0.49970245	No	
row_119	RTF2	8270	0.2396537959575653	0.49884784	No	
row_120	METTL4	9067	0.05093429610133171	0.45766747	No	
row_121	BAZ1A	9137	0.03810126706957817	0.45414522	No	
row_122	TERF2	9300	0.008583051152527332	0.4457618	No	
row_123	EXD2	9455	-0.018057648092508316	0.43780628	No	
row_124	RRM2B	10434	-0.23545704782009125	0.38745365	No	
row_125	MRE11	10571	-0.2653985023498535	0.38077915	No	
row_126	LIG3	10946	-0.3682886064052582	0.36191532	No	
row_127	PRIMPOL	11072	-0.4063524007797241	0.35600927	No	
row_128	POLG2	11201	-0.44435492157936096	0.35000128	No	
row_129	SENP2	11761	-0.6180505752563477	0.32190156	No	
row_130	MUS81	12638	-0.9547052979469299	0.27784744	No	
row_131	HMGA1	12666	-0.9619516134262085	0.2778023	No	
row_132	EME2	12812	-1.0219299793243408	0.2717263	No	
row_133	POLG	13163	-1.1715410947799683	0.25523698	No	
row_134	BOD1L1	13866	-1.5789597034454346	0.221079	No	
row_135	OOEP	13938	-1.6307436227798462	0.21969502	No	
row_136	PURA	14911	-2.3690919876098633	0.17265676	No	
row_137	ATRX	15613	-3.0802173614501953	0.14066389	No	
row_138	CHTF8	17534	-6.259841442108154	0.049973127	No	
row_139	FBH1	17875	-7.208320617675781	0.042499755	No	
row_140	BCL6	17980	-7.602335453033447	0.047811538	No	
row_141	ETAA1	18341	-9.145054817199707	0.042027943	No	
row_142	POLD4	18603	-10.493569374084473	0.043273196	No	
